# THE ANSWER KEY -- do not read before scanning (feedback: blind_the_scan_sheet)
event	cluster	npts	directions
0	63	9	STM_gained
0	101	3943	TGM_gained
0	118	4518	TGM_gained
0	124	4594	TGM_gained
0	132	7976	TGM_gained
1	32	630	STM_lost
1	77	12870	TGM_gained
1	83	12289	TGM_gained
1	98	7740	TGM_gained
1	110	7898	TGM_gained
1	111	7794	TGM_gained
1	112	13013	STM_lost_to_TGM+TGM_gained
1	113	1955	STM_lost
12	21	275	STM_gained
12	25	13547	STM_gained
12	31	12407	TGM_gained
12	47	15042	TGM_gained
12	102	2638	TGM_gained
12	103	6376	STM_lost_to_TGM+TGM_gained
12	108	6714	STM_lost
12	128	11517	TGM_gained
16	53	88	STM_gained
16	86	10158	TGM_gained
16	90	5676	TGM_gained
16	91	8153	TGM_gained
16	97	11360	TGM_gained
16	111	32	STM_lost
16	129	4897	STM_gained
20	13	4	TGM_gained
20	31	11432	TGM_gained
20	63	6221	TGM_gained
20	105	1770	STM_gained
20	150	6204	STM_lost_to_TGM+TGM_gained
22	27	3337	STM_gained
22	36	163	STM_gained
22	47	3	TGM_gained
22	48	4262	STM_lost_to_TGM+TGM_gained
22	107	6496	TGM_gained
22	119	518	STM_lost
