label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
all	rms	U	0	194.461	1073	1.1232e+08	4.24945	2.27652	1.19556	14.1897	1.4591	14.3047	1.01532	0	0.452414
all	rms	U	1	512.211	974	1.1246e+08	4.26106	2.54355	1.39663	13.5712	1.27045	13.6376	1.18601	0	0.444484
all	rms	U	2	797.186	949	1.12244e+08	4.32095	2.6621	1.55501	13.9507	1.23401	14.0019	1.21633	0	0.436027
all	rms	U	3	1107.19	929	1.1249e+08	4.22181	2.75319	1.71072	13.1244	1.27366	13.1702	1.21201	0	0.435724
all	rms	U	4	1508.08	928	1.12528e+08	4.53747	2.99301	1.89319	15.1742	1.58085	15.2147	1.35946	0	0.424463
all	rms	U	5	1972.47	891	1.12451e+08	4.40998	3.1097	2.08468	14.0849	1.1235	14.1236	1.34804	0	0.422813
all	share	U	0	194.461	1073	1.1232e+08	4.24945	2.27652	1.19556	11.1511	0.809008	14.3047	1.01532	0	0.452414
all	share	U	1	512.211	974	1.1246e+08	4.26106	2.54355	1.39663	10.9684	1.10645	13.6376	1.18601	0	0.444484
all	share	U	2	797.186	949	1.12244e+08	4.32095	2.6621	1.55501	11.5144	0.935904	14.0019	1.21633	0	0.436027
all	share	U	3	1107.19	929	1.1249e+08	4.22181	2.75319	1.71072	11.5623	1.14029	13.1702	1.21201	0	0.435724
all	share	U	4	1508.08	928	1.12528e+08	4.53747	2.99301	1.89319	11.733	1.04225	15.2147	1.35946	0	0.424463
all	share	U	5	1972.47	891	1.12451e+08	4.40998	3.1097	2.08468	11.9486	0.997254	14.1236	1.34804	0	0.422813
all	rms	V	0	201.556	904	9.66376e+07	4.00474	2.73958	1.84798	11.9029	1.39274	11.9476	1.08147	0	0.50374
all	rms	V	1	597.592	903	9.67953e+07	4.15062	3.04339	2.0161	11.994	1.35456	12.0301	1.32321	0	0.481473
all	rms	V	2	1029.38	882	9.67196e+07	4.12626	3.01965	2.18471	12.6464	1.57523	12.6807	1.13916	0	0.474235
all	rms	V	3	1297.88	815	9.67185e+07	4.14439	3.06848	2.28328	12.9391	1.82985	12.9738	1.10698	0	0.473937
all	rms	V	4	1584.41	806	9.6795e+07	3.77335	3.00342	2.38399	10.8648	0.97891	10.901	0.878093	0	0.489177
all	rms	V	5	1928.66	771	9.6763e+07	4.11299	3.27549	2.49961	12.4025	1.25741	12.4359	1.17064	0	0.460664
all	share	V	0	201.556	904	9.66376e+07	4.00474	2.73958	1.84798	7.5188	1.08032	11.9476	1.08147	0	0.50374
all	share	V	1	597.592	903	9.67953e+07	4.15062	3.04339	2.0161	7.54235	1.55425	12.0301	1.32321	0	0.481473
all	share	V	2	1029.38	882	9.67196e+07	4.12626	3.01965	2.18471	9.03608	1.30457	12.6807	1.13916	0	0.474235
all	share	V	3	1297.88	815	9.67185e+07	4.14439	3.06848	2.28328	9.20976	1.41333	12.9738	1.10698	0	0.473937
all	share	V	4	1584.41	806	9.6795e+07	3.77335	3.00342	2.38399	9.19696	1.22387	10.901	0.878093	0	0.489177
all	share	V	5	1928.66	771	9.6763e+07	4.11299	3.27549	2.49961	9.82055	1.05955	12.4359	1.17064	0	0.460664
all	rms	W	0	202.444	1347	6.0907e+07	4.34195	1.36385	0.578793	16.2382	4.00495	17.3275	0.560241	0	0.611425
all	rms	W	1	549.415	1055	6.11348e+07	2.64119	1.48317	0.950869	5.0485	1.91979	5.68026	1.45519e-11	0	0.75324
