# BLIND scan sheet -- doc pdhd/stm-tagger-chain sec 13
# Gate on retile_wrapped_channel_activity.  Doc sec 12 measured that this knob
# raises the Steiner terminal ceiling 3.6x (0.134 -> 0.484 eligible points) and
# is the only knob that moves the sec 8.6 coverage number.  This scan decides
# whether the STM verdicts it moves get BETTER.
#
# Population: run 029107, 30 events, all 224 clusters whose STM verdict differs
# between the knob off and on (of 2246 verdicts, 10.0%).  130 gain the tag, 94
# lose it.  The (event, cluster) key sets of the two arms are identical, so the
# knob changes no cluster partition -- only the Steiner stage.
#
# The arms' verdicts are NOT here.  They are in pdhd_retile_scan_key.tsv, which
# should stay closed until the labels are in.
#
# QUESTION, per cluster, from the RAW CHARGE alone: does this track enter the
# detector and STOP inside it, or does it pass through / exit?
#   label = STM      enters and stops inside the active volume
#           THRU     through-going, or exits any face (incl. anode / cathode)
#           UNCLEAR  cannot tell -- fragment, too sparse, overlapping, ambiguous
#
# Please do NOT switch on steiner_graph / steiner_terminals / stm_fit /
# stm_tagged while labelling.  Those layers differ between the arms and would
# reveal which arm you are seeing.  The clustering and dead-area layers are
# byte-identical between the arms (verified by member hash), so raw charge is
# genuinely blind.
#
# STRATA -- please label BOTH, they answer different questions:
#   A  npts >= 200  (n=174 of 224)  do the knob's changes on real tracks improve?
#   B  npts <  200  (n= 50 of 224)  the knob's new tags are 47 gain / 3 lose on
#                                   these, i.e. 36% of ALL its gains are on small
#                                   clusters.  Are those real stoppers, or is it
#                                   manufacturing STM tags on fragments?  This is
#                                   the half most likely to argue against the knob.
# tranche 1 = rows 1-63 (A: 20 gain + 20 lose; B: 20 gain + all 3 lose).
# Coordinates are cm.  PDHD active volume x -358..358, y 7.6..606, z 0.2..462.
scan_id	stratum	tranche	event	cluster	npts	length_cm	cx	cy	cz	xlo	xhi	ylo	yhi	zlo	zhi	label	notes
1	A	1	21	125	16345	628.0	-54.3	295.4	161.4	-191.9	253.1	7.6	503.0	2.9	354.1		
2	A	1	20	150	4750	439.0	71.0	308.7	346.1	10.9	131.0	134.7	494.2	232.5	455.5		
3	B	1	11	15	11	2.0	-1.4	172.4	410.5	-2.1	-0.9	171.6	173.5	410.1	410.8		
4	A	1	21	126	6297	600.5	-8.8	392.7	289.7	-133.6	117.0	155.1	601.8	134.6	457.0		
5	A	1	9	61	24823	512.7	-258.4	465.3	261.8	-269.9	-231.1	274.9	604.6	54.6	461.6		
6	B	1	2	117	4	1.6	324.0	18.7	70.0	323.6	324.5	17.8	19.5	70.0	70.0		
7	A	1	15	24	575	117.9	-15.0	54.2	61.9	-62.1	-0.3	15.2	119.6	23.5	95.0		
8	B	1	27	117	12	29.0	348.6	40.3	440.2	347.5	349.3	21.8	50.4	437.2	442.0		
9	A	1	20	108	650	80.5	336.4	583.6	97.7	300.5	351.9	553.0	606.0	82.3	119.8		
10	A	1	24	44	5094	608.4	-155.7	290.9	309.2	-208.4	-97.2	18.3	605.6	243.4	379.4		
11	B	1	5	27	162	82.6	-273.1	25.9	248.6	-276.1	-256.9	7.7	48.7	183.8	256.0		
12	A	1	5	119	1494	119.3	24.5	285.1	423.6	0.3	44.1	242.3	335.8	390.7	454.1		
13	A	1	29	117	1191	109.1	109.3	210.8	38.3	95.4	124.1	175.8	247.5	9.6	114.5		
14	A	1	23	42	283	269.7	-218.5	25.0	444.0	-345.2	-75.4	7.7	94.4	407.4	460.6		
15	B	1	3	89	117	164.5	54.9	517.1	32.9	20.0	71.7	443.6	602.2	17.6	50.8		
16	A	1	18	135	3231	390.8	287.7	442.0	274.8	232.8	351.9	261.4	602.2	196.2	348.0		
17	A	1	19	95	8312	626.2	172.8	333.9	131.2	105.0	251.2	34.3	605.8	9.0	262.3		
18	B	1	28	32	199	298.5	-196.3	18.9	441.9	-352.1	-53.3	8.9	80.1	399.2	462.1		
19	A	1	14	46	1039	118.1	-36.4	541.6	23.7	-45.1	-27.4	487.4	601.4	1.4	42.2		
20	A	1	26	39	1054	136.6	-22.9	58.7	59.0	-43.8	-0.3	7.9	151.6	23.4	91.5		
21	B	1	5	41	188	172.6	-58.3	231.4	462.0	-125.7	-0.3	139.6	318.8	461.0	462.2		
22	A	1	20	66	7261	337.4	-317.5	504.0	183.2	-351.9	-292.9	326.1	606.0	65.1	249.4		
23	B	1	20	143	21	51.6	13.4	63.1	443.7	1.1	48.4	48.6	70.9	440.3	450.6		
24	B	1	7	33	32	45.6	-181.6	588.5	139.1	-184.5	-178.8	580.6	596.2	117.7	160.5		
25	A	1	26	115	7523	621.2	-12.8	453.8	321.4	-259.7	223.5	317.8	592.6	181.5	461.3		
26	A	1	8	108	15241	540.5	141.3	476.0	208.4	102.5	233.3	259.2	605.8	9.6	459.3		
27	A	1	14	116	696	131.5	40.3	553.7	336.4	21.5	87.0	491.3	602.2	270.4	387.3		
28	A	1	22	48	4262	401.7	-203.2	181.0	367.2	-265.7	-120.7	7.7	345.2	266.9	450.7		
29	B	1	10	146	48	40.3	155.7	27.2	242.6	145.8	173.3	13.7	44.7	238.5	250.3		
30	B	1	3	92	26	39.2	227.7	36.8	13.0	213.2	240.3	27.1	47.9	1.8	22.5		
31	B	1	14	45	191	88.7	-76.7	584.1	416.1	-83.2	-41.0	525.4	605.8	407.4	418.5		
32	B	1	10	122	27	52.8	30.0	594.9	210.8	17.8	49.3	575.8	605.8	182.6	224.7		
33	A	1	26	53	486	87.8	-159.2	567.3	456.6	-187.0	-142.0	523.8	605.8	375.8	462.1		
34	B	1	27	36	57	96.1	-52.1	12.3	451.6	-101.8	-6.0	7.9	20.5	434.6	462.2		
35	A	1	23	33	473	16.8	-6.6	592.4	222.2	-14.1	-0.3	583.0	600.0	216.1	227.6		
36	B	1	16	111	32	46.8	21.8	28.9	290.5	1.4	48.4	10.1	53.1	285.3	296.3		
37	A	1	16	120	271	94.9	60.6	99.6	442.7	57.0	81.6	49.1	143.1	431.7	453.5		
38	A	1	27	109	1730	121.1	45.5	37.8	234.5	44.1	60.8	7.7	119.2	199.8	264.4		
39	B	1	2	38	5	24.1	-351.6	49.1	191.0	-351.8	-351.5	41.1	60.7	182.7	196.7		
40	A	1	25	34	9554	355.9	-38.6	377.4	300.3	-97.5	-1.1	295.0	496.4	131.3	449.8		
41	A	1	5	127	8494	691.0	162.5	236.6	299.2	-69.1	335.9	7.9	512.2	156.7	448.4		
42	A	1	28	93	7032	450.7	241.9	493.3	275.3	140.4	350.6	431.2	561.8	75.7	455.0		
43	A	1	0	35	11827	351.6	-333.5	370.4	289.4	-351.8	-245.9	312.5	413.6	114.5	462.2		
44	B	1	16	1	13	3.0	-347.6	154.4	50.0	-348.5	-347.0	153.3	156.0	49.3	50.3		
45	A	1	23	108	7648	712.5	257.6	255.9	184.8	113.7	330.5	20.7	598.5	1.0	401.7		
46	A	1	15	121	5457	458.9	102.6	405.1	119.6	38.9	151.4	206.7	595.4	1.8	229.2		
47	A	1	14	115	5248	398.6	48.0	213.5	299.2	14.5	111.6	12.7	399.4	246.0	382.2		
48	B	1	5	121	117	38.4	15.1	16.1	233.5	0.9	27.4	7.9	37.9	232.5	235.9		
49	A	1	23	128	744	73.1	73.8	562.0	383.1	0.2	82.5	544.2	606.0	379.1	403.1		
50	A	1	18	75	1015	278.1	-311.7	144.6	181.3	-350.5	-275.5	13.1	275.9	154.5	215.1		
51	B	1	11	35	4	2.4	-298.4	35.7	462.1	-298.6	-298.3	34.5	36.9	462.1	462.1		
52	B	1	22	36	163	192.7	-97.2	16.9	445.3	-194.8	-1.9	8.3	32.8	427.1	457.7		
53	A	1	10	38	3618	236.7	-319.5	400.5	97.1	-352.0	-280.8	309.0	454.4	0.7	233.0		
54	B	1	3	48	10	51.7	-20.7	31.0	303.5	-46.8	-0.2	23.5	43.5	300.6	310.6		
55	A	1	21	63	876	169.6	-24.5	22.5	375.2	-62.3	-2.1	7.9	40.7	290.5	457.8		
56	B	1	24	39	34	66.1	-327.9	18.9	276.1	-349.3	-311.8	7.7	50.7	252.6	311.8		
57	A	1	20	149	3608	513.6	45.4	389.5	221.7	-94.9	138.5	114.1	593.0	188.7	258.9		
58	A	1	7	82	796	106.5	321.0	568.0	140.1	288.3	351.9	525.8	606.0	123.7	154.8		
59	B	1	20	46	172	312.2	-165.7	16.7	447.2	-311.5	-0.4	7.7	49.6	422.8	460.7		
60	A	1	16	48	2721	218.5	-143.7	546.0	85.4	-194.5	-102.8	480.6	606.0	7.6	165.7		
61	A	1	16	37	9013	579.6	-119.3	306.5	16.7	-182.1	-70.8	10.0	583.4	0.7	31.1		
62	A	1	18	58	5094	599.4	-170.1	292.2	425.3	-197.5	-105.2	8.3	605.4	409.3	458.7		
63	A	1	15	53	5324	610.4	-316.1	303.6	279.8	-350.6	-235.3	7.6	605.8	229.0	337.7		
64	A	2	0	59	690	44.3	-340.3	193.3	432.4	-351.9	-331.1	187.1	201.1	412.1	450.1		
65	A	2	0	124	4594	607.6	275.1	289.4	416.8	192.0	321.9	7.8	604.6	320.7	462.1		
66	B	2	1	29	142	27.5	-347.8	19.4	303.7	-351.9	-341.8	7.7	33.1	299.4	306.9		
67	A	2	1	32	630	126.0	-284.7	286.1	189.4	-324.1	-255.1	238.7	329.4	157.9	221.5		
68	A	2	1	36	2650	349.8	-181.1	274.7	210.0	-351.9	-49.6	212.3	373.0	131.8	234.5		
69	B	2	1	57	53	42.3	-172.1	43.9	71.1	-174.7	-169.9	23.1	64.7	64.5	78.6		
70	A	2	1	77	12870	549.6	119.9	449.7	247.8	58.1	152.7	258.2	605.8	1.0	461.3		
71	A	2	1	88	2392	281.4	258.0	119.0	81.8	169.4	351.9	7.7	240.4	1.0	147.3		
72	A	2	1	98	7740	595.1	206.3	235.9	337.3	176.8	242.0	7.9	554.4	222.6	459.3		
73	A	2	1	104	1188	179.3	37.3	78.6	449.7	0.8	73.6	7.9	179.3	421.8	461.1		
74	A	2	1	112	13013	776.9	-32.4	269.2	217.2	-216.3	152.2	7.9	549.8	1.9	462.1		
75	A	2	2	28	1467	168.2	-125.4	537.9	181.8	-153.3	-95.9	424.6	606.0	108.2	196.9		
76	A	2	2	35	3035	252.1	-267.7	93.9	137.0	-351.9	-177.6	7.9	177.5	83.8	173.0		
77	A	2	2	108	2959	374.2	224.7	402.3	218.5	167.1	301.4	248.1	605.9	187.3	302.0		
78	A	2	3	24	9991	349.4	-138.8	500.3	191.6	-168.9	-114.1	444.2	542.9	1.4	346.3		
79	A	2	3	25	1012	114.4	-23.9	52.5	124.1	-42.2	-1.2	7.9	103.5	94.4	147.6		
80	A	2	3	32	12696	680.8	-121.2	260.0	264.2	-218.6	-73.3	7.8	599.0	82.4	452.0		
81	B	2	3	45	100	107.2	-42.2	20.2	448.7	-107.2	-0.3	11.1	51.5	438.9	458.7		
82	B	2	3	46	59	60.9	-238.5	20.6	450.7	-269.2	-210.6	8.1	37.3	438.6	462.2		
83	A	2	3	90	5853	597.4	102.0	337.6	46.8	58.1	123.0	14.3	605.8	5.7	118.8		
84	A	2	3	102	1733	82.2	128.0	574.7	40.4	120.7	144.0	549.0	605.8	8.6	71.1		
85	A	2	3	109	5568	486.4	82.9	395.7	336.8	16.4	145.6	183.5	594.6	222.8	448.7		
86	A	2	4	22	428	141.3	-88.9	88.1	193.0	-105.7	-0.4	15.1	104.7	152.2	223.3		
87	A	2	4	28	206	139.6	-25.6	117.8	88.7	-132.8	-0.5	87.9	185.1	40.3	110.2		
88	A	2	4	32	2195	363.2	-118.4	488.4	144.9	-269.3	-2.3	344.6	596.4	90.4	164.8		
89	A	2	4	39	5427	327.7	-156.1	197.1	49.8	-219.8	-85.5	61.9	351.8	3.0	90.7		
90	B	2	4	62	163	92.4	-31.3	79.2	445.5	-58.7	-0.4	9.3	102.9	419.9	462.1		
91	A	2	4	117	705	71.7	98.4	569.6	312.4	73.6	121.8	545.8	590.6	297.2	328.5		
92	A	2	5	90	383	32.6	11.4	400.1	437.6	0.3	21.4	386.2	407.4	428.5	444.3		
93	B	2	5	91	153	59.2	152.8	210.9	441.2	148.0	160.7	175.1	234.3	438.6	444.9		
94	A	2	5	95	4084	523.2	136.4	430.2	206.8	6.8	329.2	179.7	589.8	176.3	238.3		
95	A	2	5	100	4121	298.4	146.3	251.8	99.3	50.7	245.4	182.2	317.7	13.9	195.0		
96	A	2	5	116	404	41.4	341.0	595.8	262.3	328.5	351.9	581.8	605.8	244.8	276.7		
97	A	2	5	126	9856	554.8	25.7	431.8	219.2	-51.5	88.8	238.7	604.0	5.3	417.6		
98	A	2	6	45	1147	254.9	-111.2	79.7	97.7	-182.8	-0.3	10.7	188.7	93.8	103.0		
99	A	2	6	47	4816	396.7	-92.3	441.5	212.3	-197.0	-0.3	291.1	605.3	143.7	287.6		
100	A	2	6	53	425	38.8	-65.5	591.8	211.9	-72.7	-54.1	579.8	605.8	185.2	226.4		
101	A	2	6	105	3070	401.6	247.2	393.9	234.2	205.8	304.1	223.5	606.0	194.1	269.0		
102	A	2	6	109	1594	163.9	77.3	460.4	48.7	55.7	115.9	404.5	519.8	9.1	141.8		
103	B	2	6	113	48	40.9	38.5	577.5	78.3	23.8	50.6	558.4	596.2	61.6	95.0		
