key	tier	old_verdict	old_conf	review_verdict	review_conf
028084_0/108	C	STM_ONLY	medium	THRU	medium
028084_15/28	C	STM_ONLY	low	THRU	medium
028084_18/17	B	STM_MICHEL	medium	THRU	medium
028084_2/26	B	FRAG_STM_MICHEL	low	THRU	high
028084_20/39	C	STM_MICHEL	low	THRU	high
028084_24/114	C	STM_ONLY	medium	THRU	medium
028084_29/101	C	STM_ONLY	low	THRU	medium
028084_29/44	C	STM_ONLY	medium	THRU	high
028084_3/22	E	UNCLEAR	low	STM_ONLY	medium
028084_3/91	C	STM_ONLY	medium	THRU	medium
028084_7/36	C	STM_MICHEL	medium	FRAG_THRU	medium
029107_1/32	C	STM_MICHEL	medium	THRU	medium
029107_1/36	C	STM_ONLY	medium	THRU	medium
029107_10/37	C	STM_ONLY	low	THRU	high
029107_11/22	B	STM_MICHEL	medium	FRAG_THRU	medium
029107_12/21	E	UNCLEAR	low	FRAG_THRU	medium
029107_12/48	B	STM_ONLY	low	UNCLEAR	medium
029107_15/17	E	UNCLEAR	low	THRU	medium
029107_15/26	C	STM_MICHEL	medium	THRU	medium
029107_15/40	E	UNCLEAR	low	THRU	high
029107_16/108	E	UNCLEAR	low	STM_ONLY	medium
029107_18/45	E	STM_MICHEL	low	UNCLEAR	low
029107_18/59	E	UNCLEAR	low	THRU	medium
029107_18/79	C	STM_ONLY	low	THRU	high
029107_21/64	C	STM_ONLY	low	THRU	medium
029107_24/47	B	STM_MICHEL	low	THRU	medium
029107_26/27	B	STM_MICHEL	medium	UNCLEAR	medium
029107_26/57	E	UNCLEAR	low	FRAG_THRU	medium
029107_3/23	C	STM_MICHEL	low	THRU	medium
029107_4/56	E	UNCLEAR	low	THRU	medium
029107_7/45	C	STM_MICHEL	low	FRAG_THRU	medium
029107_9/61	E	UNCLEAR	low	THRU	medium
