# doc pdhd/12 -- STM + Michel hand-scan sheet, det=pdhd arm=d53h
# NO verdict, NO stratum, NO chain flag: those are in the KEY.
# tranche INHERITED from HEAD:pdhd/docs/scan/pdhd_stm_michel_scan_sheet.tsv -- NOT drawn here (--pin-tranche).
# That draw was seed=20260907, tranche1=60, S1 cap 24, floor 8, stratified
# on ITS arm's is_stm/michel_found -- deliberately the PRE-doc-15
# meaning of michel_found, so the sample does not move with the
# quantity it measures.  0 key(s) absent from it are tranche 2.
scan_id	tranche	event	cluster	npts	muon_len_cm	n_near	n_far
32	2	028084_15	28	93	54.72	2678	7636
37	2	028084_16	106	739	448.62	5455	7888
157	2	029107_1	36	636	383.62	4103	7853
184	2	029107_15	26	208	125.29	414	7831
185	2	029107_15	40	234	138.46	842	7814
200	2	029107_18	59	277	166.0	2366	7796
214	2	029107_20	24	98	58.27	225	7666
222	2	029107_21	43	784	471.27	10187	7938
225	2	029107_21	64	93	55.39	801	7533
239	2	029107_24	47	30	17.4	875	7744
273	2	029107_4	72	100	59.99	1515	7824
283	2	029107_5	93	25	13.49	1267	7603
