# doc pdvd/100 round 2 gate X3 -- PDHD h100b (61 dirs) against h100a (61 dirs); d100_pdhd_identity.py
028084_0: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_1: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_10: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_11: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 14/14 vs 14
028084_12: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_13: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_14: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_15: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_16: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_17: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_18: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_19: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_2: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_20: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_21: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_22: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_23: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_24: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_25: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_26: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_27: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_28: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_29: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_3: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_30: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_4: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_5: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_6: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 14/14 vs 14
028084_7: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_8: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
028084_9: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_0: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_1: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_10: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_11: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_12: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_13: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_14: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_15: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 14/14 vs 14
