# doc pdvd/99 sec 4.4 -- p100bd against p100bg (pctree/tlas against p100bg) on the 120 events with frame length all; d99rw_identity.py
039252_0: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_1: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_10: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_11: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_12: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_13: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_14: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_15: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_16: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_17: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_2: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_3: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_4: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_5: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_6: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_7: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_8: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039252_9: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_0: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_1: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_10: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_11: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_12: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_13: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_14: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_15: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_16: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_17: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_2: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_3: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_4: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_5: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_6: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_7: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_8: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039253_9: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=10000) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_0: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_1: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_10: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_11: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_12: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_13: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_14: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_15: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_16: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_17: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_18: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_19: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_2: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_20: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_21: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_22: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_23: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_24: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_25: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_26: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_27: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_28: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_29: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_3: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
