# doc pdvd/99 re-scan list for arm p98voffq (match match_p98voffq.json); one row per flagged record item; new_vs_identity = reason types not already flagged on the identity match
volume	old_key	new_key	verdict	michel_kind	status	f_fwd	f_rev	dx_cm	stop_move_cm	new_vs_identity	reasons
?	039252_16/31	039252_16/30	THRU	— not set —	ok	0.9963	0.9969	0.0		-	candidate:none
?	039252_16/91	039252_16/90	MESSY	none	ok	0.9662	0.9625	0.0		-	candidate:none;class:MESSY
?	039252_9/49	039252_9/108	STM_ONLY	detached dots	merged	0.9832	0.2303	96.7		match,michel_tag,t0	match:merged;t0:dx96.7;michel_tag:158024:lost;michel_tag:159025:lost
?	039253_10/30	039253_10/28	THRU	— not set —	ok	0.996	0.9904	0.0		-	candidate:none
?	039253_2/50	039253_2/50	THRU	— not set —	ok	0.996	0.998	0.0		-	candidate:none
?	039349_25/71	039349_25/74	THRU	— not set —	ok	0.9937	0.9912	0.0		-	candidate:none
?	039349_27/54	039349_27/58	THRU	— not set —	ok	0.9957	0.559	0.0		-	candidate:none
?	039349_29/44	039349_29/33	THRU	— not set —	ok	0.994	1.0	26.1		t0	candidate:none;t0:dx26.1
?	039349_45/19	039349_45/24	THRU	— not set —	ok	0.969	0.9894	0.0		-	candidate:none
?	039349_48/20	039349_48/23	THRU	— not set —	ok	0.9569	0.9812	0.0		-	candidate:none
?	039349_50/55	039349_50/61	STM_ONLY	detached dots	ok	0.9977	0.9888	0.0		michel_tag	candidate:none;michel_tag:166002:lost
?	039349_66/77	039349_66/76	THRU	— not set —	ok	0.9761	0.9502	0.0		-	candidate:none
?	039349_68/23	039349_68/22	THRU	— not set —	ok	0.987	1.0	0.0		-	candidate:none
?	039349_68/55	039349_68/52	THRU	— not set —	ok	0.9931	0.9776	0.0		-	candidate:none
?	039349_7/20	039349_7/28	STM_MICHEL	attached	ok	0.9885	0.9716	0.0		-	candidate:none
?	039349_74/53	039349_74/50	THRU	— not set —	ok	0.99	0.9951	0.0		-	candidate:none
?	039349_81/21	039349_81/17	THRU	none	ok	0.9613	1.0	0.0		-	candidate:none
bottom	039252_12/45	039252_12/40	THRU	none	ok	0.9918	0.9952	0.0		candidate	candidate:none
bottom	039252_14/37	039252_14/37	STM_MICHEL	both	ok	0.9777	0.9634	0.0	0.13	michel_tag	michel_tag:134013:lost
bottom	039252_16/32	039252_16/31	STM_MICHEL	attached	ok	0.9739	0.9733	0.0		candidate	candidate:none
bottom	039252_16/33	039252_16/32	THRU	none	ok	0.9488	0.9869	0.0		candidate	candidate:none
bottom	039252_3/45	039252_3/44	STM_MICHEL	attached	ok	0.9842	1.0	0.0		candidate	candidate:none
bottom	039252_4/55	039252_4/55	THRU	none	ok	0.9954	0.9897	0.0		candidate	candidate:none
bottom	039252_7/34	039252_7/29	THRU	none	ok	0.9967	1.0	0.0		candidate	candidate:none
bottom	039252_9/52	039252_9/49	STM_MICHEL	attached	ok	0.945	0.9665	0.0	1.13	michel_tag	michel_tag:173014:lost
bottom	039253_0/44	039253_0/40	STM_MICHEL	attached	ok	0.9963	1.0	0.0		candidate	candidate:none
bottom	039253_1/116	039253_1/113	THRU	none	ok	0.9947	0.9952	0.0		candidate	candidate:none
bottom	039253_10/25	039253_10/24	THRU	none	ok	0.9911	0.9888	0.0		candidate	candidate:none
bottom	039253_10/35	039253_10/34	THRU	none	ok	0.9609	0.9667	0.0	26.12	stop	stop:26.1cm
bottom	039253_11/44	039253_11/42	THRU	none	ok	0.9317	0.9972	0.0		candidate	candidate:none
bottom	039253_12/41	039253_12/42	STM_ONLY	none	ok	0.9783	0.969	11.2		candidate,t0	candidate:none;t0:dx11.2
bottom	039253_14/47	039253_14/43	THRU	none	ok	0.9968	0.9953	0.0		candidate	candidate:none
bottom	039253_15/105	039253_15/100	STM_MICHEL	both	ok	0.9959	0.9966	0.0		candidate	candidate:none
bottom	039253_15/36	039253_15/29	STM_MICHEL	attached	ok	0.9985	0.998	0.0		candidate	candidate:none
bottom	039253_16/51	039253_16/52	STM_ONLY	detached dots	ok	1.0	0.9967	55.5		candidate,michel_tag,t0	candidate:none;t0:dx55.5;michel_tag:148003:lost
bottom	039253_2/13	039253_2/13	STM_MICHEL	attached	ok	0.986	0.9875	0.0		candidate	candidate:none
bottom	039253_6/41	039253_6/44	STM_ONLY	detached dots	ok	0.9915	0.9957	0.0	0.03	michel_tag	michel_tag:173008:lost
bottom	039253_8/31	039253_8/31	THRU	— not set —	ok	0.9853	0.9914	0.0		candidate	candidate:none
bottom	039349_10/27	039349_10/30	THRU	— not set —	ok	0.9896	0.9808	0.0		candidate	candidate:none
bottom	039349_11/24	039349_11/28	THRU	none	ok	0.9985	0.9975	0.0		candidate	candidate:none
bottom	039349_13/32	039349_13/16	THRU	none	ok	0.9988	0.9994	0.0		candidate	candidate:none
