spot	det	event	cluster	label	arm	n_img	img_rms_med	n_steiner	steiner_off_med	steiner_off_max	steiner_rms_over_img_med	steiner_ridge_p90	n_term	term_off_med	term_ridge_p90	n_fit	fit_off_med	fit_off_max	fit_ridge_p90	fit_ridge_max	fit_q_lt0
h1	pdhd	029107_16	108	A0	d101hnew	171	0.90	86	0.48	1.50	0.94	1.48	18	0.45	1.19	39	0.29	1.59	0.55	0.87	2
h1	pdhd	029107_16	108	K	d101hkf	171	0.90	86	0.48	1.50	0.94	1.48	18	0.45	1.19	40	0.31	1.50	0.46	0.73	2
h1	pdhd	029107_16	108	S	d102hocs	171	0.90	154	0.60	0.98	0.77	1.43	18	0.40	1.29	38	0.83	2.16	1.44	1.60	12
h1	pdhd	029107_16	108	A1	d108hflip	171	0.90	154	0.60	0.98	0.77	1.43	18	0.40	1.29	37	0.74	2.09	1.39	1.66	10
h2	pdhd	029107_16	106	A0	d101hnew	702	1.28	499	0.59	4.20	1.16	1.55	85	0.56	1.19	78	0.36	13.33	0.39	1.34	0
h2	pdhd	029107_16	106	K	d101hkf	702	1.28	499	0.59	4.20	1.16	1.55	85	0.56	1.19	81	0.35	13.30	0.43	1.45	0
h2	pdhd	029107_16	106	S	d102hocs	702	1.28	756	0.53	8.55	0.97	1.54	92	0.60	1.38	77	0.41	13.18	0.46	1.30	0
h2	pdhd	029107_16	106	A1	d108hflip	702	1.28	756	0.53	8.55	0.97	1.54	92	0.60	1.38	85	0.42	13.24	1.33	1.90	5
v1	pdvd	039349_20	80	A0	d103v0	143	0.60	111	0.43	1.99	2.59	2.20	24	0.33	0.95	46	0.29	1.68	1.49	1.90	5
v1	pdvd	039349_20	80	A1	d103vflip	143	0.60	0	nan	nan	nan	nan	0	nan	nan	38	0.25	0.76	0.35	0.58	0
v2	pdvd	039349_20	80	A0	d103v0	198	0.84	196	0.69	1.60	1.65	2.15	45	0.67	1.41	47	0.39	2.30	1.37	2.09	9
v2	pdvd	039349_20	80	A1	d103vflip	198	0.84	0	nan	nan	nan	nan	0	nan	nan	42	0.29	0.89	0.63	1.22	0
v3	pdvd	039349_20	25	A0	d103v0	207	0.69	171	0.53	1.60	1.73	2.10	38	0.70	1.35	42	0.40	1.05	0.97	1.65	10
v3	pdvd	039349_20	25	A1	d103vflip	207	0.69	222	0.40	0.80	1.48	1.59	41	0.57	1.01	38	0.39	1.03	0.52	0.89	2
