i	arc_cm	vid	off_cm	role	class	blank	qu	qv	qw	dead_uvw	q_dump	q_rms_ok	in_src	in_base	in_len	in_w	near_onridge_term_cm	stretch	cell_u	cell_v	cell_w	blank_dw	blank_dt	band_u	band_v	band_w
16	-12.38	1187	2.19	terminal	1blank	U	0	12244	20401	000	16824	1	-	-	-	-	2.10	S0	-1	-1	1/1					1
17	-9.02	1200	2.30	interior	1blank	W	1280	4056	0	000	3007	1	sbt	none	3.36	3.357	2.22	S0	-1	-1	0/0	-0.0	-1.0			2
18	-8.03	1204	1.74	interior	1blank	W	9919	2516	0	000	7236	1	path	closely_other	0.99	1.064	1.67	S0	-1	-1	0/1	-0.0	-1.0			2
19	-7.36	1227	1.10	terminal	3live	-	11545	728	16455	000	11613	1	path	closely_other	0.67	0.679	1.86	S0	-1	-1	1/1					1
20	-6.44	1207	1.01	interior	3live	-	9919	1260	1079	000	5806	1	path	closely_other	0.92	0.934	1.45	S0	-1	-1	1/1					2
21	-5.42	1128	1.22	interior	1blank	U	0	16736	4565	000	12266	1	path	closely_other	1.02	1.035	1.67	S0	-1	-1	1/1					1
22	-3.99	1136	1.16	interior	1blank	U	0	4004	2925	000	3506	1	connect	closely_other	1.43	1.488	1.05	S0	-1	-1	1/1					2
23	-2.94	1138	0.80	terminal	1blank	U	0	6260	4280	000	5362	1	path	closely_same	1.05	1.131	0.00		-1	-1	1/1					2
24	-2.35	1101	0.74	interior	1blank	U	0	5562	2551	000	4327	1	path	closely_other	0.59	0.630	0.59		-1	-1	1/1					1
25	-1.79	1036	1.45	interior	2blank+	UW	0	15752	0	000	0	1	path	closely_other	0.56	0.643	1.15	S1	-1	-1	0/1					1
26	-1.29	1039	1.79	interior	2blank+	UW	0	17188	0	000	0	1	path	closely_same	0.49	0.591	1.54	S1	-1	-1	0/1					1
27	-0.80	1041	1.38	interior	1blank	U	0	14183	13073	000	13639	1	path	closely_same	0.49	0.534	1.97	S1	-1	-1	1/1					1
28	0.00	891	2.16	interior	1blank	U	0	4408	7123	000	5923	1	path	closely_other	0.80	0.808	2.67	S1	-1	-1	1/1					3
