i	arc_cm	vid	off_cm	role	class	blank	qu	qv	qw	dead_uvw	q_dump	q_rms_ok	in_src	in_base	in_len	in_w	near_onridge_term_cm	stretch	cell_u	cell_v	cell_w	blank_dw	blank_dt	band_u	band_v	band_w
45	-14.84	252	0.12	terminal	3live	-	16108	14720	14129	000	15009	1	-	-	-	-	0.00		-1	-1	1/1					3
46	-14.18	261	0.47	terminal	3live	-	16235	5340	15452	000	13302	1	connect	closely_other	0.65	0.632	0.00		-1	-1	1/1					3
47	-13.20	264	0.43	terminal	3live	-	13618	22082	12705	000	16678	1	connect	closely_other	0.98	0.943	0.00		-1	-1	1/1					8
48	-12.23	272	0.29	terminal	3live	-	17068	15107	17572	000	16616	1	connect	closely_other	0.97	0.920	0.00		-1	-1	1/1					3
49	-11.94	278	0.22	interior	3live	-	17124	16050	16350	000	16514	1	path	closely_other	0.30	0.282	0.30		-1	-1	1/1					4
50	-11.11	291	0.09	terminal	3live	-	17880	10938	7775	000	12907	1	connect	closely_other	0.82	0.793	0.00		-1	-1	1/1					5
51	-10.52	307	0.27	terminal	3live	-	22227	39314	41458	000	35395	1	connect	closely_other	0.59	0.552	0.00		-1	-1	1/1					5
52	-9.64	308	0.45	interior	3live	-	25257	8911	41458	000	28496	1	path	closely_same	0.88	0.791	0.82		-1	-1	1/1					5
53	-8.97	320	0.36	interior	3live	-	22934	11571	18172	000	18166	1	connect	closely_other	0.67	0.618	0.30		-1	-1	1/1					2
54	-8.67	324	0.25	terminal	3live	-	17200	12402	15738	000	15246	1	path	closely_other	0.30	0.281	0.00		-1	-1	1/1					2
55	-8.08	328	0.20	terminal	3live	-	15058	12849	15893	000	14656	1	connect	closely_other	0.59	0.569	0.00		-1	-1	1/1					2
56	-7.78	329	0.32	interior	3live	-	13637	7670	16899	000	13296	1	path	closely_other	0.30	0.286	0.30		-1	-1	1/1					3
