i	arc_cm	vid	off_cm	role	class	blank	qu	qv	qw	dead_uvw	q_dump	q_rms_ok	in_src	in_base	in_len	in_w	near_onridge_term_cm	stretch	cell_u	cell_v	cell_w	blank_dw	blank_dt	band_u	band_v	band_w
84	-17.85	5639	0.87	interior	1dead	W	69	1610	0	001	1140	1	-	-	-	-	0.89		-1	-1	0/0					0
85	-16.87	5622	0.14	interior	2blank+	UW	0	1169	0	001	0	1	path	closely_other	0.98	1.154	0.80		-1	-1	0/0					0
86	-16.07	5617	0.45	terminal	1dead	W	1011	1119	0	001	1066	1	path	closely_other	0.80	0.949	0.00		-1	-1	0/0					0
87	-15.12	5630	0.19	interior	2blank+	UW	0	1513	0	001	0	1	path	closely_other	0.95	1.126	0.95		-1	-1	0/0					0
88	-13.90	5648	2.14	interior	2blank+	UW	0	676	0	000	0	1	path	closely_other	1.22	1.459	1.31	S0	-1	-1	0/0					0
89	-12.90	5674	1.19	interior	2blank+	UVW	0	0	0	001	0	1	connect	closely_other	1.01	1.206	1.98	S0	-1	-1	0/0					0
90	-11.83	5697	0.57	interior	1dead	W	8508	617	0	001	6032	1	path	closely_other	1.06	1.196	1.28		-1	-1	0/0					0
91	-10.55	5696	0.17	terminal	1dead	W	42366	2813	0	001	30023	1	path	closely_same	1.28	1.251	0.00		-1	-1	0/0					0
92	-9.57	5715	0.53	terminal	1dead	W	39924	5035	0	001	28454	1	connect	closely_other	0.98	0.883	0.00		-1	-1	0/0					0
93	-8.98	5735	1.07	interior	1dead	W	36611	7824	0	001	26472	1	connect	closely_other	0.59	0.537	0.59	S1	-1	-1	0/0					0
94	-8.68	5744	1.35	terminal	1dead	W	37317	8894	0	001	27126	1	path	closely_other	0.30	0.269	0.89	S1	-1	-1	0/0					0
95	-8.09	5745	1.32	interior	1dead	W	5517	8894	0	001	7401	1	path	closely_same	0.59	0.571	1.07	S1	-1	-1	0/0					0
96	-7.11	5759	2.05	interior	1dead	W	248	37413	0	001	26456	1	path	closely_other	0.98	0.949	1.72	S1	-1	-1	0/0					0
97	-6.28	5778	2.58	interior	1dead	W	13893	8833	0	001	11641	1	path	closely_other	0.84	0.791	2.44	S1	-1	-1	0/0					0
98	-5.64	5806	3.20	interior	1dead	W	7211	5895	0	001	6586	1	path	closely_other	0.64	0.652	3.07	S1	-1	-1	0/0					0
99	-4.77	5844	3.84	interior	1dead	W	11884	7337	0	001	9875	1	path	closely_other	0.87	0.884	3.70	S1	-1	-1	0/0					0
100	-4.47	5858	4.13	interior	1dead	W	12259	4637	0	001	9268	1	path	closely_other	0.30	0.297	3.96	S1	-1	-1	0/0					0
101	-3.41	5882	4.64	interior	1dead	W	9014	841	0	001	6401	1	path	closely_other	1.06	1.091	4.74	S1	-1	-1	0/0					0
102	-2.54	5900	5.19	interior	1dead	W	25836	986	0	001	18282	1	path	closely_other	0.87	0.860	5.30	S1	-1	-1	0/0					0
103	-1.95	5915	5.78	interior	2blank+	VW	8198	0	0	001	0	1	connect	closely_other	0.59	0.634	5.23	S1	-1	-1	0/0					0
104	-1.36	5926	4.28	interior	2blank+	VW	7637	0	0	001	0	1	path	closely_other	0.59	0.711	4.81	S1	-1	-1	0/0					0
105	-1.06	5928	4.05	interior	2blank+	VW	664	0	0	001	0	1	path	closely_other	0.30	0.355	4.61	S1	-1	-1	0/0					0
106	0.00	5933	3.04	interior	2blank+	UVW	0	0	0	001	0	1	path	closely_other	1.06	1.276	3.56	S1	-1	-1	0/0					0
107	1.76	5938	1.87	interior	1dead	W	11103	263	0	001	7853	1	path	closely_other	1.76	1.955	2.06	S1	-1	-1	0/0					0
108	3.36	5941	1.54	interior	1dead	W	13554	2366	0	001	9729	1	path	closely_other	1.61	1.628	0.89	S1	-1	-1	0/0					0
109	3.96	5944	1.07	interior	1dead	W	17370	17411	0	001	17391	1	path	closely_other	0.59	0.577	0.30	S1	-1	-1	0/0					0
110	4.25	5945	0.89	terminal	1dead	W	15589	20325	0	001	18112	1	path	closely_other	0.30	0.280	0.00		-1	-1	0/0					0
111	5.03	5947	1.59	interior	1dead	W	7757	20325	0	001	15383	1	path	closely_same	0.78	0.740	0.78	S2	-1	-1	0/0					0
112	5.96	5952	1.32	interior	2blank+	VW	3663	0	0	001	0	1	path	closely_other	0.93	1.005	1.59	S2	-1	-1	0/0					0
113	7.03	5957	0.63	interior	2blank+	VW	87875	0	0	001	0	1	connect	closely_other	1.06	1.276	1.18		-1	-1	0/0					0
114	7.62	5963	0.63	interior	1dead	W	20765	24751	0	001	22845	1	path	closely_other	0.59	0.628	0.59		-1	-1	0/0					0
115	8.21	5969	0.63	terminal	1dead	W	10270	49145	0	001	35502	1	path	closely_other	0.59	0.536	0.00		-1	-1	0/0					0
116	8.60	5970	0.79	interior	1dead	W	5470	15273	0	001	11471	1	path	closely_other	0.39	0.364	0.39		-1	-1	0/0					0
117	12.55	6081	1.68	interior	1dead	W	7575	16406	0	001	12778	1	connect	ctpc	3.95	3.875	2.09	S3	-1	-1	0/0					0
118	14.96	6083	0.06	interior	1dead	W	887	10888	0	001	7725	1	connect	closely_other	2.41	2.412	0.30		-1	-1	0/0					0
119	15.26	6096	0.16	terminal	1dead	W	847	27597	0	001	19523	1	path	closely_other	0.30	0.290	0.00		-1	-1	0/0					0
120	15.55	6113	0.26	interior	1dead	W	1657	40265	0	001	28496	1	path	closely_other	0.30	0.272	0.30		-1	-1	0/0					0
121	16.51	6149	0.82	interior	2blank+	UW	0	14610	0	001	0	1	connect	closely_other	0.95	1.003	0.85		-1	-1	0/0					0
