spot	arm	label	seed_max_off_cm	fit_max_off_cm	terminals	term_1blank	term_1blank_off
h1	d114hbase	production	1.970	1.769	18	5	4
h1	d114hp3	prefer3	0.679	0.473	13	0	0
h1	d114hp3n10	prefer3+nearby1.0	0.679	0.473	13	0	0
h2	d114hbase	production	0.835	2.545	92	21	14
h2	d114hp3	prefer3	0.835	2.112	81	4	3
h2	d114hp3n10	prefer3+nearby1.0	0.835	2.112	81	4	3
v1	d114vbase	production	1.030	0.533	37	14	3
v1	d114vp3	prefer3	1.030	0.545	39	13	3
v1	d114vp3n10	prefer3+nearby1.0	1.239	0.545	33	7	4
v2	d114vbase	production	0.985	1.274	47	10	6
v2	d114vp3	prefer3	0.985	1.148	47	4	3
v2	d114vp3n10	prefer3+nearby1.0	0.985	1.148	47	4	2
v3	d114vbase	production	1.635	0.912	41	14	3
v3	d114vp3	prefer3	1.635	1.136	37	6	1
v3	d114vp3n10	prefer3+nearby1.0	1.532	1.136	35	4	1
