i	arc_cm	vid	off_cm	role	class	blank	qu	qv	qw	dead_uvw	q_dump	q_rms_ok	in_src	in_base	in_len	in_w	near_onridge_term_cm	stretch	cell_u	cell_v	cell_w	blank_dw	blank_dt	band_u	band_v	band_w
136	-12.60	206	3.19	interior	3live	-	20086	32321	19334	000	24644	1	-	-	-	-	5.02	S0	-1	-1	0/1					6
137	-11.67	198	1.59	interior	3live	-	57043	20031	24664	000	37698	1	path	closely_other	0.93	0.838	5.22	S0	-1	-1	1/1					9
138	-9.33	197	1.95	interior	3live	-	43282	6399	9692	000	25873	1	connect	closely_same	2.34	2.098	5.79	S0	-1	-1	1/1					9
139	-8.28	186	1.42	interior	3live	-	82348	26682	27684	000	52471	1	path	closely_other	1.05	0.932	4.90	S0	-1	-1	1/1					10
140	-7.63	175	1.18	interior	3live	-	73748	20858	22178	000	46064	1	path	closely_other	0.66	0.572	4.24	S0	-1	-1	1/1					9
141	-6.29	160	0.79	interior	3live	-	29761	4721	12613	000	18860	1	path	closely_other	1.33	1.207	2.91		-1	-1	1/1					9
142	-5.41	159	1.02	interior	3live	-	29761	10034	34349	000	26872	1	path	closely_same	0.88	0.816	2.20	S1	-1	-1	1/1					9
143	-4.48	153	0.97	interior	3live	-	27253	7016	23113	000	21025	1	path	closely_other	0.93	0.856	1.42		-1	-1	1/1					8
144	-3.41	136	0.73	interior	1blank	V	25333	0	40757	000	33933	1	path	closely_other	1.06	1.210	0.67		-1	-1	1/1					6
145	-2.74	122	0.07	terminal	3live	-	22871	1752	1015	000	13256	1	path	closely_other	0.67	0.779	0.00		-1	-1	1/1					6
146	-1.77	135	0.90	interior	3live	-	4279	7756	40757	000	24080	1	path	closely_other	0.98	0.922	0.98		-1	-1	1/1					6
147	0.00	133	1.28	interior	3live	-	4279	21279	1755	000	12572	1	path	closely_same	1.77	1.674	2.13	S2	-1	-1	0/0					6
148	0.65	114	0.84	interior	3live	-	2021	881	24141	000	13996	1	connect	closely_other	0.65	0.636	1.64		-1	-1	1/1					6
149	1.43	111	0.71	interior	3live	-	22871	881	21343	000	18068	1	path	closely_same	0.78	0.744	1.32		-1	-1	1/1					6
150	2.27	85	0.30	interior	3live	-	19543	868	17309	000	15081	1	path	closely_other	0.84	0.794	0.59		-1	-1	1/1					8
151	2.86	82	0.31	terminal	3live	-	19543	868	25387	000	18504	1	path	closely_same	0.59	0.559	0.00		-1	-1	1/1					8
152	3.53	67	0.12	interior	1blank	V	18456	0	23588	000	21178	1	path	closely_other	0.67	0.788	0.67		-1	-1	1/1					4
153	4.36	46	0.59	interior	3live	-	15004	354	20048	000	14459	1	path	closely_other	0.82	0.973	1.48		-1	-1	1/1					7
154	5.42	44	1.03	interior	3live	-	852	354	25005	000	14446	1	path	closely_same	1.06	1.023	2.24	S3	-1	-1	1/1					7
155	6.49	35	1.62	interior	2blank+	UV	0	0	15084	000	0	1	path	closely_other	1.07	1.737	2.93	S3	-1	-1	0/0					3
156	10.34	31	0.46	terminal	3live	-	10931	618	1145	000	6356	1	sbt	none	3.85	3.850	0.00		-1	-1	1/1					3
157	10.93	9	0.30	interior	3live	-	8766	450	22837	000	14125	1	path	closely_other	0.59	0.596	0.59		-1	-1	1/1					5
