det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdhd	028084_0	28	0	655	656	2	1.41	2.02	-243.7	133.9	153.8	0.29	1.09	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:t/3live:i/3live:t	0			
pdhd	028084_0	91	0	3791	3806	16	9.48	9.75	6.2	22.0	428.3	2.09	2.16	3	D-blank-term	1	0.58	0.00	0.58	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:t/3live:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/3live:i/1blank:t	0	12.08		
pdhd	028084_0	91	0	3881	3884	4	2.89	3.37	39.4	55.5	412.8	2.00	1.91	3	GAP-short	0	0.86	0.00	0.86	0.00	0.00	0.00	0.00	0.25	3live:i/3live:i/1blank:i	0			
pdhd	028084_1	33	0	415	765	351	219.21	210.94	-56.9	487.1	317.1	63.36	3.03	3	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1dead:t/1dead:i/1dead:i/1dead:t	0			
pdhd	028084_1	33	0	773	819	47	30.16	29.29	-55.9	388.4	387.7	14.61	1.59	3	FIT	0	0.07	0.00	0.07	0.30	0.00	0.00	0.00	1.00	1dead:i/1dead:t	0			
pdhd	028084_1	33	0	827	847	21	13.19	13.20	-55.9	368.1	402.5	6.99	0.88	3	FIT	0	0.15	0.00	0.15	0.43	0.00	0.00	0.00	1.00	1dead:i/1dead:t	0			
pdhd	028084_1	33	0	853	915	63	41.78	40.09	-55.8	344.7	419.4	20.45	2.66	3	FIT	0	0.04	0.00	0.04	0.35	0.00	0.00	0.00	0.89	1dead:i/1dead:t/1dead:i/1dead:t	0			
pdhd	028084_1	33	0	920	977	58	37.64	36.61	-56.0	312.3	442.6	13.65	2.92	3	GAP-live	0	0.30	0.00	0.30	0.48	0.00	0.00	0.00	0.29	1dead:i/1dead:t	0			
pdhd	028084_1	33	0	983	985	3	1.71	2.47	-56.1	294.4	455.3	0.79	1.19	2	FIT	1	1.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1dead:i/1dead:t	0			
pdhd	028084_1	33	0	994	995	2	1.21	1.79	-55.9	289.4	459.2	0.94	1.20	2	FIT	1	1.00	0.00	1.00	1.00	0.00	0.00	1.00	1.00	1dead:t/1dead:i	0			
pdhd	028084_1	39	0	1767	1769	3	1.80	1.38	-38.9	87.9	245.9	1.45	1.59	3	D-3live	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.33	3live:i/3live:i/3live:i	0	3.64		
pdhd	028084_1	39	0	1782	1785	4	2.74	3.44	-40.8	90.6	239.9	1.66	2.41	3	GAP-short	0	0.71	0.00	0.71	0.00	0.00	0.00	0.00	0.00	1blank:i/2blank+:i/1blank:i/1blank:i/3live:i	0			
pdhd	028084_1	39	0	1807	1826	20	19.91	19.98	-43.6	106.8	232.2	9.10	1.18	3	GAP-live	0	0.05	0.00	0.05	0.00	0.00	0.00	0.00	0.00	3live:t/1blank:i/1blank:i/3live:i	0			
pdhd	028084_1	39	0	1935	1980	46	30.45	28.85	-57.6	179.2	191.2	14.50	3.32	2	GAP-live	0	0.05	0.00	0.05	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:t/3live:t/3live:i	0			
pdhd	028084_1	50	0	2338	2344	7	4.62	5.34	-35.0	597.6	124.7	2.19	3.81	1	GAP-short	0	0.64	0.00	0.64	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_1	50	0	2360	2361	2	1.39	1.52	-43.6	590.4	124.8	1.16	1.14	1	D-blank-term	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i	0	1.26	5.39	3.069
pdhd	028084_1	50	0	2371	2373	3	1.83	2.44	-48.9	587.6	123.8	2.32	1.30	2	GAP-live	0	0.40	0.00	0.40	0.00	0.00	0.00	0.00	0.00	1blank:i/3live:i	0			
pdhd	028084_1	50	0	2375	2392	18	11.88	12.31	-55.0	584.0	122.4	7.54	3.91	2	GAP-live	0	0.12	0.00	0.12	0.00	0.00	0.06	0.00	0.00	1blank:t/1blank:i/1blank:i/3live:i	0			
pdhd	028084_1	51	0	2443	2482	40	83.21	77.94	-84.8	13.4	450.5	16.99	1.47	3	GAP-live	0	0.01	0.01	0.03	0.00	0.00	0.00	0.00	0.03	3live:t/3live:i/3live:i/3live:t	0			
pdhd	028084_1	51	0	2491	2493	3	4.63	5.15	-37.2	11.6	453.0	1.40	1.89	3	GAP-live	0	0.20	0.20	0.40	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/2blank+:i/3live:i	0			
pdhd	028084_1	51	1	2500	2502	3	4.18	4.77	-36.3	11.5	452.9	1.70	1.52	3	GAP-live	0	0.20	0.20	0.40	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/3live:i	0			
pdhd	028084_1	51	1	2511	2550	40	92.44	86.97	-83.7	12.9	451.0	11.96	1.86	3	GAP-live	0	0.02	0.01	0.02	0.00	0.00	0.00	0.00	0.03	3live:t/3live:i/3live:i/3live:t	0			
pdhd	028084_1	53	0	2656	2675	20	13.10	13.16	-91.2	63.2	266.1	7.12	3.94	2	GAP-live	0	0.12	0.00	0.12	0.10	0.00	0.35	0.60	0.05	1blank:i/3live:i/3live:t/1blank:i/3live:t	0			
pdhd	028084_1	53	0	2689	2704	16	10.80	11.27	-91.4	75.5	258.6	6.20	3.43	2	GAP-live	0	0.13	0.00	0.13	0.00	0.00	0.12	0.25	0.00	3live:i/3live:i/1blank:i/1blank:i/3live:t	0			
pdhd	028084_1	53	0	2716	2774	59	42.82	37.27	-92.3	67.1	237.2	18.98	3.09	3	GAP-live	0	0.04	0.00	0.04	0.00	0.00	0.05	0.00	0.00	3live:i/1blank:i/1blank:i/3live:t/3live:i	0			
pdhd	028084_1	53	0	2797	2799	3	1.84	2.35	-95.1	61.3	214.2	2.31	2.62	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	3live:t/3live:i/3live:i	0			
pdhd	028084_1	156	0	5997	6000	4	2.23	2.72	0.7	162.7	127.8	1.36	1.69	3	GAP-short	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.25	3live:i/3live:t/1blank:i	0			
pdhd	028084_1	156	0	6039	6059	21	13.41	14.34	-22.9	181.6	127.4	7.22	3.27	1	GAP-live	0	0.14	0.00	0.14	0.00	0.00	0.05	0.00	0.00	3live:t/3live:i/1blank:t/1blank:i	0			
pdhd	028084_1	156	0	6071	6081	11	7.37	7.86	-36.7	192.1	126.5	3.69	3.38	1	GAP-live	0	0.31	0.00	0.31	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_1	156	0	6093	6138	46	29.64	30.06	-57.1	207.2	125.1	14.74	3.59	2	GAP-live	0	0.08	0.00	0.08	0.00	0.00	0.00	0.00	0.04	3live:t/3live:i/3live:i/3live:i	0			
pdhd	028084_1	156	0	6159	6170	12	8.19	8.76	-81.8	225.8	122.4	4.10	3.20	1	GAP-live	0	0.33	0.00	0.33	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_1	156	0	6190	6204	15	9.94	10.20	-98.7	238.9	120.0	4.52	3.59	1	GAP-live	0	0.30	0.00	0.30	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_1	156	0	6239	6250	12	7.13	7.79	-119.9	255.3	117.0	4.34	3.13	1	GAP-live	0	0.19	0.00	0.19	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_1	156	0	6259	6304	46	29.55	29.29	-137.5	268.4	114.1	14.57	3.07	2	GAP-live	0	0.07	0.00	0.07	0.00	0.00	0.02	0.46	0.02	3live:i/3live:t/1blank:i/1blank:i/1blank:t/3live:i	0			
pdhd	028084_1	156	0	6322	6328	7	4.86	5.13	-159.0	284.2	110.2	2.62	3.55	2	GAP-short	0	0.50	0.00	0.50	0.00	0.00	0.00	0.00	0.14	3live:t/3live:i/3live:t/1blank:i/1blank:t/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_1	156	0	6365	6366	2	1.49	1.12	-178.8	298.7	107.0	0.97	1.30	2	D-blank-int	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i	0	2.42	5.02	2.061
pdhd	028084_1	156	0	6369	6370	2	1.43	1.95	-179.7	299.7	106.9	1.28	1.27	2	GAP-short	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/3live:i	0			
pdhd	028084_1	156	0	6388	6389	2	1.19	1.89	-188.5	306.1	105.4	1.09	0.25	1	D-blank-int	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i	0	2.75	2.75	1.000
pdhd	028084_1	156	0	6433	6438	6	3.44	4.01	-211.2	322.5	101.9	1.97	2.48	3	GAP-short	0	0.75	0.00	0.75	0.00	0.00	0.17	0.00	0.50	3live:i/3live:t/3live:i/3live:t	0			
