det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdvd	039252_0	76	0	2121	2124	4	2.65	1.91	180.6	-210.9	107.5	2.34	2.61	2	D-blank-term	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	2blank+:i/1blank:i/1blank:i/1blank:t	0	1.78		
pdvd	039252_0	83	0	3563	3568	6	4.03	4.30	274.3	-310.0	297.8	2.51	0.79	3	GAP-short	0	0.56	0.00	0.56	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	3897	3900	4	2.16	2.67	337.0	-66.2	183.9	4.43	3.39	2	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2blank+:i/1dead:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	3906	3909	4	2.64	3.06	331.7	-66.4	183.6	1.91	2.34	2	GAP-short	0	0.50	0.00	0.50	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/2blank+:i/1dead:t	0			
pdvd	039252_0	98	0	3944	3947	4	2.93	2.81	315.0	-65.9	182.4	1.80	3.15	1	GAP-dead	0	0.50	0.00	0.50	1.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	3992	3993	2	1.44	1.94	285.5	-67.8	180.5	1.58	1.12	1	GAP-dead	0	0.75	0.00	0.75	0.50	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	4054	4055	2	1.14	1.70	248.1	-70.6	177.5	1.87	1.43	1	GAP-live	0	0.33	0.00	0.33	0.00	0.00	0.00	0.00	0.00	2blank+:i/1blank:i/1blank:i	0			
pdvd	039252_0	98	0	4068	4072	5	3.35	3.92	238.9	-71.8	176.5	2.53	1.05	2	GAP-live	0	0.38	0.00	0.38	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_1	36	0	848	851	4	2.40	2.95	-80.3	-327.6	110.1	2.32	2.39	2	GAP-live	0	0.33	0.00	0.33	0.00	0.00	0.00	0.25	0.00	2blank+:i/3live:t/2blank+:i	0			
pdvd	039252_1	36	1	871	874	4	2.29	2.86	-80.5	-327.0	110.0	2.41	2.13	2	GAP-live	0	0.33	0.00	0.33	0.00	0.00	0.00	0.00	0.25	2blank+:i/2blank+:i/3live:i/3live:t	0			
pdvd	039252_1	39	0	1491	1494	4	2.12	2.92	-320.2	-229.5	292.1	1.66	1.45	1	GAP-short	0	0.83	0.00	0.83	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdvd	039252_1	81	0	2766	2773	8	5.02	5.17	210.0	70.3	28.7	1.25	1.70	2	D-crawl	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.62	3live:i/3live:t/3live:i/3live:i	0	6.59		
pdvd	039252_1	81	0	2807	2809	3	2.28	2.04	214.0	50.4	32.8	1.84	3.11	1	GAP-short	0	0.75	0.00	0.75	0.00	1.00	0.00	0.00	0.67	1blank:i/3live:i/1blank:i/3live:i	0			
pdvd	039252_1	81	0	2811	2813	3	2.35	2.70	213.1	48.6	34.3	2.72	3.75	1	GAP-live	0	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1blank:i/3live:i/1blank:i	0			
pdvd	039252_1	81	0	2844	2846	3	1.70	2.02	210.6	37.0	46.3	1.12	1.47	1	D-crawl	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	3live:i/1blank:i	0	3.71		
pdvd	039252_1	81	0	2859	2863	5	2.96	3.13	210.5	30.5	50.3	3.61	4.22	1	GAP-live	0	0.17	0.00	0.17	0.00	0.40	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/3live:t	0			
pdvd	039252_1	81	0	2876	2886	11	6.33	4.24	213.2	24.8	53.4	3.14	1.75	2	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i	0			
pdvd	039252_1	81	0	2888	2896	9	5.66	5.98	211.9	19.6	51.2	4.43	4.18	2	GAP-live	0	0.33	0.00	0.33	0.00	0.00	0.11	0.00	0.11	1blank:i/1blank:i/3live:t/3live:i	0			
pdvd	039252_1	81	0	2898	2901	4	2.68	1.01	211.7	17.4	50.5	1.05	2.50	1	D-3live	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.75	3live:t/3live:i	0	2.29	2.29	1.000
pdvd	039252_1	81	0	2905	2907	3	1.72	1.73	209.2	16.6	49.2	1.49	1.86	1	GAP-short	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i	0			
pdvd	039252_1	81	0	2918	2926	9	36.33	36.69	193.3	6.0	44.0	3.61	2.58	3	GAP-live	0	0.05	0.00	0.05	0.11	0.00	0.00	0.00	0.00	3live:i/3live:t/1blank:t/1blank:i	0			
pdvd	039252_1	81	0	2930	2933	4	2.58	3.23	174.4	-5.9	40.9	1.83	2.39	3	GAP-short	0	0.83	0.00	0.83	0.00	0.00	0.25	0.00	0.50	3live:i/1blank:i/3live:t/3live:i/3live:t	0			
pdvd	039252_1	93	0	3562	3579	18	10.65	10.45	235.3	-88.8	297.5	5.16	2.93	2	GAP-live	0	0.24	0.00	0.24	0.00	0.00	0.06	0.00	0.11	3live:i/3live:i/3live:i/3live:t	0			
