metric	class	key	how	detail	geometry
is_stm	tp_lost	028084_0/36	CAND accepted->eval-failed	ks1 0.021->0.072, ratio1 0.980->0.982, res_length 9.0->11.2; the tagged arm: muon_len 253, bits STM, michel 1 conn 1 ke 30.0	
is_stm	tp_lost	028084_2/40	CAND accepted->eval-failed	ks1 0.036->0.052, ratio1 0.902->0.935, res_length 6.3->6.0; the tagged arm: muon_len 399, bits STM, michel 0 conn 0 ke 0.0	
is_stm	tp_lost	028084_20/65	BITS +no_bragg --	A STM -> B no_bragg; topo_cleared A 0 B 0; ks=-0.119 plateau/mip=0.747 plateau_edge=0.147 | B ks=-0.039 plateau/mip=0.79 plateau_edge=0.19 ke-topo_min=-0.118 len-topo_min=0.9	|d tagger_stop| 1.5 cm, |d stop| 2.1, muon_len 56->60, plateau_med B/A 1.058, ks margin A -0.119 B -0.039, plateau/mip A 0.75 B 0.79
is_stm	tp_lost	028084_23/125	BITS +no_bragg --	A STM -> B no_bragg; topo_cleared A 0 B 0; ks=-0.134 plateau/mip=1.08 plateau_edge=0.477 | B ks=-0.11 plateau/mip=1.1 plateau_edge=0.496	|d tagger_stop| 0.4 cm, |d stop| 0.1, muon_len 765->759, plateau_med B/A 1.017, ks margin A -0.134 B -0.110, plateau/mip A 1.08 B 1.10
is_stm	tp_lost	028084_24/52	BITS +no_bragg --	A STM -> B no_bragg; topo_cleared A 0 B 0; ks=-0.175 plateau/mip=1.19 plateau_edge=0.415 | B ks=-0.14 plateau/mip=1.18 plateau_edge=0.424	|d tagger_stop| 0.0 cm, |d stop| 0.0, muon_len 68->69, plateau_med B/A 0.993, ks margin A -0.175 B -0.140, plateau/mip A 1.19 B 1.18
is_stm	tp_lost	028084_26/41	BITS +no_bragg --	A STM -> B no_bragg; topo_cleared A 0 B 0; ks=-0.00916 plateau/mip=0.957 plateau_edge=0.357 ke-topo_min=11 len-topo_min=5.12 | B ks=-0.142 plateau/mip=0.912 plateau_edge=0.312	|d tagger_stop| 0.6 cm, |d stop| 0.7, muon_len 152->146, plateau_med B/A 0.953, ks margin A -0.009 B -0.142, plateau/mip A 0.96 B 0.91
is_stm	tp_lost	028084_27/27	CAND accepted->eval-failed	ks1 0.152->0.056, ratio1 1.508->1.389, res_length 22.8->23.9; the tagged arm: muon_len 272, bits STM, michel 1 conn 2 ke 64.3	
is_stm	tp_lost	028084_3/23	CAND accepted->eval-failed	ks1 0.283->0.227, ratio1 1.371->1.478, res_length 20.9->16.1; the tagged arm: muon_len 39, bits STM, michel 1 conn 1 ke 29.5	
is_stm	tp_lost	028084_30/33	BITS +no_bragg|plateau_off_mip --	A STM -> B no_bragg|plateau_off_mip; topo_cleared A 0 B 0; ks=-0.0368 plateau/mip=0.624 plateau_edge=0.024 | B ks=-0.0175 plateau/mip=0.588 plateau_edge=-0.0117	|d tagger_stop| 0.1 cm, |d stop| 0.3, muon_len 83->76, plateau_med B/A 0.943, ks margin A -0.037 B -0.017, plateau/mip A 0.62 B 0.59
is_stm	tp_lost	028084_4/41	CAND accepted->eval-failed	ks1 0.043->0.165, ratio1 0.919->1.136, res_length 0.0->0.0; the tagged arm: muon_len 234, bits STM, michel 0 conn 0 ke 3.0	
is_stm	tp_lost	028084_8/120	BITS +no_bragg|shape_flat --	A STM -> B no_bragg|shape_flat; topo_cleared A 12 B 0; ks=1.68e-05 plateau/mip=1.41 plateau_edge=0.195 ke-topo_min=9.38 len-topo_min=16.5 | B ks=0.00474 plateau/mip=1.31 plateau_edge=0.287	|d tagger_stop| 0.0 cm, |d stop| 2.5, muon_len 325->331, plateau_med B/A 0.934, ks margin A +0.000 B +0.005, plateau/mip A 1.41 B 1.31
is_stm	tp_lost	029107_11/26	CAND accepted->left-charge	ks1 0.061->nan, ratio1 1.169->nan, res_length 23.1->nan; the tagged arm: muon_len 271, bits STM, michel 1 conn 1 ke 6.8	
is_stm	tp_lost	029107_12/95	BITS +no_bragg|shape_flat --	A STM -> B no_bragg|shape_flat; topo_cleared A 0 B 0; ks=-0.107 plateau/mip=1.12 plateau_edge=0.476 ke-topo_min=13.8 len-topo_min=5.03 | B ks=0.00849 plateau/mip=0.986 plateau_edge=0.386	|d tagger_stop| 0.6 cm, |d stop| 3.1, muon_len 143->165, plateau_med B/A 0.877, ks margin A -0.107 B +0.008, plateau/mip A 1.12 B 0.99
is_stm	tp_lost	029107_14/23	CAND accepted->mid-point-trk	ks1 0.107->0.115, ratio1 1.262->1.010, res_length 28.2->20.2; the tagged arm: muon_len 218, bits STM, michel 1 conn 2 ke 56.7	
is_stm	tp_lost	029107_15/118	BITS +stop_near_boundary --	A STM -> B stop_near_boundary; topo_cleared A 4 B 4; ks=-0.00676 plateau/mip=1.1 plateau_edge=0.498 ke-topo_min=19.7 len-topo_min=9.99 | B ks=-0.0676 plateau/mip=1.01 plateau_edge=0.411 ke-topo_min=28.8 len-topo_min=11.3	|d tagger_stop| 0.0 cm, |d stop| 4.8, muon_len 173->171, plateau_med B/A 0.918, ks margin A -0.007 B -0.068, plateau/mip A 1.10 B 1.01
is_stm	tp_lost	029107_24/111	CAND accepted->mid-point-trk	ks1 0.022->0.028, ratio1 0.895->0.906, res_length 30.3->30.8; the tagged arm: muon_len 706, bits STM, michel 1 conn 2 ke 29.5	
is_stm	tp_lost	029107_25/123	CAND accepted->proton	ks1 0.083->0.121, ratio1 1.018->0.896, res_length 6.1->39.4; the tagged arm: muon_len 286, bits STM, michel 0 conn 0 ke 7.5	
is_stm	tp_lost	029107_27/39	BITS +plateau_off_mip --	A STM -> B plateau_off_mip; topo_cleared A 0 B 0; ks=-0.165 plateau/mip=0.692 plateau_edge=0.0917 ke-topo_min=32.1 len-topo_min=13.1 | B ks=-0.17 plateau/mip=0.478 plateau_edge=-0.122 ke-topo_min=-0.718 len-topo_min=-0.961	|d tagger_stop| 0.5 cm, |d stop| 10.1, muon_len 40->49, plateau_med B/A 0.692, ks margin A -0.165 B -0.170, plateau/mip A 0.69 B 0.48
is_stm	tp_new	028084_12/33	BITS +- -plateau_off_mip	A plateau_off_mip -> B STM; topo_cleared A 0 B 0; ks=-0.0518 plateau/mip=0.563 plateau_edge=-0.0367 | B ks=-0.074 plateau/mip=0.613 plateau_edge=0.0134	|d tagger_stop| 1.5 cm, |d stop| 1.3, muon_len 144->149, plateau_med B/A 1.089, ks margin A -0.052 B -0.074, plateau/mip A 0.56 B 0.61
is_stm	tp_new	028084_16/47	BITS +- -stop_near_boundary	A stop_near_boundary -> B STM; topo_cleared A 4 B 0; ks=-0.0775 plateau/mip=0.898 plateau_edge=0.298 ke-topo_min=13.9 len-topo_min=15.3 | B ks=-0.134 plateau/mip=1.03 plateau_edge=0.425 ke-topo_min=10.3 len-topo_min=4.52	|d tagger_stop| 0.0 cm, |d stop| 4.4, muon_len 124->115, plateau_med B/A 1.142, ks margin A -0.077 B -0.134, plateau/mip A 0.90 B 1.03
is_stm	tp_new	028084_2/116	BITS +- -no_bragg	A no_bragg -> B STM; topo_cleared A 0 B 0; ks=-0.02 plateau/mip=1.02 plateau_edge=0.417 | B ks=-0.152 plateau/mip=1.03 plateau_edge=0.425 ke-topo_min=10.4 len-topo_min=4.47	|d tagger_stop| 4.0 cm, |d stop| 5.7, muon_len 151->141, plateau_med B/A 1.008, ks margin A -0.020 B -0.152, plateau/mip A 1.02 B 1.03
