key	in_A0	in_A1	A0_is_stm	A0_michel	A1_is_stm	A1_michel
039252_10/69	0	1	-	-	0	0
039252_13/66	0	1	-	-	0	0
039252_4/108	0	1	-	-	0	0
039252_5/82	0	1	-	-	0	0
039252_8/82	0	1	-	-	0	0
039252_9/48	0	1	-	-	1	0
039253_14/94	1	0	0	1	-	-
039253_2/112	0	1	-	-	0	0
039253_2/95	0	1	-	-	0	0
039253_5/82	0	1	-	-	0	0
039349_15/41	1	1	0	0	0	0
039349_16/41	1	1	0	0	0	0
039349_18/32	1	0	0	0	-	-
039349_23/54	0	1	-	-	0	0
039349_26/47	0	1	-	-	1	0
039349_27/22	0	1	-	-	0	0
039349_28/45	1	0	0	0	-	-
039349_3/74	0	1	-	-	1	1
039349_33/18	0	1	-	-	0	0
039349_34/47	0	1	-	-	0	1
039349_39/33	1	0	0	0	-	-
039349_64/70	1	1	0	0	0	0
039349_77/40	1	1	0	1	1	1
039349_77/54	0	1	-	-	0	0
039349_82/19	1	1	0	0	0	0
