# doc pdvd/42 d42_proj2d_resid.py det=sbnd files=99
det	event	block	cluster	pass	status	npts	length_cm	kink_num	exit_L	left_L	plane	Ncells	Nlive	Ndead	Nfoot	Q_all	Q_foot	f_off	U_all	U_foot	B_foot	chi2N_foot	uncov_foot	pull_rms	pull_tail3	Nfoot_pred	absx_med	fit_chi2_med	f_off_near	f_off_far
sbnd	nusel_evt168388	60	6	0	0	21	12.3	21	12.9	0.0	U	75	75	0	75	2456941	2456941	0.0000	0.2284	0.2284	-0.0556	18.592	0.0022	4.205	0.4521	73	180.2	1.979	0.0000	0.0000
sbnd	nusel_evt168388	60	6	0	0	21	12.3	21	12.9	0.0	V	134	134	0	118	2548827	2513568	0.0138	0.1513	0.1479	-0.1013	4.270	0.0000	1.261	0.1102	118	180.2	1.979	0.0138	0.0000
sbnd	nusel_evt168388	60	6	0	0	21	12.3	21	12.9	0.0	W	153	153	0	132	2325973	2273672	0.0225	0.0998	0.0943	-0.0385	6.253	0.0000	2.472	0.2500	132	180.2	1.979	0.0225	0.0000
sbnd	nusel_evt168388	60	6	0	0	21	12.3	21	12.9	0.0	ALL	362	362	0	325	7331741	7244181	0.0119	0.1608	0.1584	-0.0661	8.380	0.0008	1.969	0.2446	323	180.2	1.979	0.0119	0.0000
sbnd	nusel_evt169598	180	18	0	2	152	92.7	16	9.7	83.6	U	897	897	0	822	6299358	6178157	0.0192	0.2089	0.1984	-0.0174	3.323	0.0000	1.256	0.0620	822	125.3	1.203	0.0138	0.0054
sbnd	nusel_evt169598	180	18	0	2	152	92.7	16	9.7	83.6	V	852	852	0	796	6851111	6752595	0.0144	0.2180	0.2111	-0.1111	1.751	0.0000	0.930	0.0415	796	125.3	1.203	0.0144	0.0000
sbnd	nusel_evt169598	180	18	0	2	152	92.7	16	9.7	83.6	W	648	648	0	619	6648620	6555549	0.0140	0.1557	0.1467	-0.0794	10.691	0.0020	2.615	0.2873	616	125.3	1.203	0.0140	0.0000
sbnd	nusel_evt169598	180	18	0	2	152	92.7	16	9.7	83.6	ALL	2397	2397	0	2237	19799089	19486301	0.0158	0.1942	0.1854	-0.0707	4.802	0.0007	1.370	0.1168	2234	125.3	1.203	0.0141	0.0017
sbnd	nusel_evt172596	150	15	0	0	59	36.5	56	35.3	1.9	U	461	461	0	354	2350171	2119961	0.0980	0.2088	0.1448	-0.0319	1.036	0.0000	0.806	0.0141	354	23.8	0.984	0.0914	0.0066
sbnd	nusel_evt172596	150	15	0	0	59	36.5	56	35.3	1.9	V	312	312	0	257	2583846	2343661	0.0930	0.2956	0.2275	-0.1164	1.970	0.0000	1.026	0.0428	257	23.8	0.984	0.0918	0.0011
sbnd	nusel_evt172596	150	15	0	0	59	36.5	56	35.3	1.9	W	322	322	0	281	2361222	2200758	0.0680	0.1984	0.1426	-0.0456	8.018	0.0000	2.124	0.1922	281	23.8	0.984	0.0621	0.0059
sbnd	nusel_evt172596	150	15	0	0	59	36.5	56	35.3	1.9	ALL	1095	1095	0	892	7295239	6664380	0.0865	0.2362	0.1731	-0.0662	3.504	0.0000	1.184	0.0785	892	23.8	0.984	0.0821	0.0044
sbnd	nusel_evt174488	30	3	0	0	28	16.3	28	16.9	0.0	U	121	121	0	98	3089124	2993058	0.0311	0.2163	0.2083	-0.0629	12.502	0.0000	2.862	0.3469	98	116.2	1.914	0.0311	0.0000
sbnd	nusel_evt174488	30	3	0	0	28	16.3	28	16.9	0.0	V	157	157	0	127	3270886	3201246	0.0213	0.2318	0.2236	-0.1406	8.924	0.0000	2.209	0.2598	127	116.2	1.914	0.0213	0.0000
sbnd	nusel_evt174488	30	3	0	0	28	16.3	28	16.9	0.0	W	218	218	0	173	2940806	2831634	0.0371	0.1046	0.0940	-0.0534	8.748	0.0000	1.237	0.1272	173	116.2	1.914	0.0371	0.0000
sbnd	nusel_evt174488	30	3	0	0	28	16.3	28	16.9	0.0	ALL	496	496	0	398	9300816	9025938	0.0296	0.1864	0.1779	-0.0875	9.728	0.0000	2.072	0.2236	398	116.2	1.914	0.0296	0.0000
sbnd	nusel_evt175428	170	17	0	0	65	42.3	65	42.9	0.0	U	456	456	0	357	2697190	2575245	0.0452	0.2040	0.1881	-0.0341	3.525	0.0000	1.683	0.1148	357	38.4	2.178	0.0452	0.0000
sbnd	nusel_evt175428	170	17	0	0	65	42.3	65	42.9	0.0	V	111	111	0	91	2908515	2848415	0.0207	0.4619	0.4524	-0.0689	25.161	0.0000	3.123	0.4286	91	38.4	2.178	0.0207	0.0000
sbnd	nusel_evt175428	170	17	0	0	65	42.3	65	42.9	0.0	W	481	481	0	372	2786063	2650727	0.0486	0.1731	0.1471	-0.0610	6.159	0.0000	2.078	0.1882	372	38.4	2.178	0.0474	0.0012
sbnd	nusel_evt175428	170	17	0	0	65	42.3	65	42.9	0.0	ALL	1048	1048	0	820	8391768	8074387	0.0378	0.2831	0.2678	-0.0552	7.121	0.0000	1.888	0.1829	820	38.4	2.178	0.0374	0.0004
sbnd	nusel_evt277958	130	13	0	0	50	31.8	37	24.1	8.4	U	118	118	0	59	2858220	2704695	0.0537	0.2573	0.2210	-0.1165	18.690	0.0000	3.895	0.5085	59	33.7	1.620	0.0371	0.0167
sbnd	nusel_evt277958	130	13	0	0	50	31.8	37	24.1	8.4	V	377	377	0	287	2667000	2511251	0.0584	0.2451	0.2141	-0.1074	3.038	0.0000	1.236	0.0836	287	33.7	1.620	0.0584	0.0000
sbnd	nusel_evt277958	130	13	0	0	50	31.8	37	24.1	8.4	W	341	341	0	273	2579961	2472933	0.0415	0.1922	0.1685	-0.0840	12.996	0.0000	2.260	0.2674	273	33.7	1.620	0.0415	0.0000
sbnd	nusel_evt277958	130	13	0	0	50	31.8	37	24.1	8.4	ALL	836	836	0	619	8105181	7688879	0.0514	0.2326	0.2019	-0.1031	8.922	0.0000	1.815	0.2052	619	33.7	1.620	0.0455	0.0059
sbnd	nusel_evt278662	10	1	0	0	390	246.2	390	246.8	0.0	U	2680	2680	0	2150	15578626	14744691	0.0535	0.2419	0.2166	-0.1157	2.721	0.0000	1.153	0.0735	2150	155.4	1.774	0.0530	0.0006
sbnd	nusel_evt278662	10	1	0	0	390	246.2	390	246.8	0.0	V	375	375	0	312	14564124	14205518	0.0246	0.3989	0.3841	-0.0510	42.089	0.0000	4.689	0.5256	312	155.4	1.774	0.0246	0.0000
sbnd	nusel_evt278662	10	1	0	0	390	246.2	390	246.8	0.0	W	2497	2454	43	2181	13951964	13581266	0.0266	0.2031	0.1864	-0.0481	8.145	0.0000	2.639	0.2517	2181	155.4	1.774	0.0260	0.0005
sbnd	nusel_evt278662	10	1	0	0	390	246.2	390	246.8	0.0	ALL	5552	5509	43	4643	44094714	42531475	0.0355	0.2815	0.2629	-0.0725	7.914	0.0000	1.849	0.1876	4643	155.4	1.774	0.0351	0.0004
sbnd	nusel_evt278794	70	7	0	7	314	196.9	314	197.5	0.0	U	1413	1413	0	1100	12494370	11201896	0.1034	0.3357	0.2613	-0.1447	8.262	0.0063	1.208	0.0965	1088	131.6	1.111	0.0775	0.0260
sbnd	nusel_evt278794	70	7	0	7	314	196.9	314	197.5	0.0	V	1781	1781	0	1425	12324824	10632423	0.1373	0.3588	0.2702	-0.1432	3.895	0.0000	1.161	0.0933	1425	131.6	1.111	0.0828	0.0546
sbnd	nusel_evt278794	70	7	0	7	314	196.9	314	197.5	0.0	W	1506	1506	0	1188	12075069	10430817	0.1362	0.3003	0.1958	-0.1001	16.102	0.0065	2.344	0.2449	1180	131.6	1.111	0.0694	0.0667
sbnd	nusel_evt278794	70	7	0	7	314	196.9	314	197.5	0.0	ALL	4700	4700	0	3713	36894263	32265136	0.1255	0.3318	0.2430	-0.1298	9.094	0.0043	1.458	0.1427	3693	131.6	1.111	0.0766	0.0489
sbnd	nusel_evt280092	60	6	0	0	73	45.8	43	26.6	19.9	U	438	438	0	359	3203188	2925382	0.0867	0.2885	0.2297	-0.0293	7.712	0.0000	0.983	0.1114	359	136.8	1.346	0.0867	0.0000
sbnd	nusel_evt280092	60	6	0	0	73	45.8	43	26.6	19.9	V	307	307	0	267	3423044	3047144	0.1098	0.3480	0.2743	-0.0673	7.453	0.0000	1.431	0.1124	267	136.8	1.346	0.1098	0.0000
