label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	7.96408	4.00562	2.75343	0.130917	7.5814	0.720944	5.36597	4	7.9135	0.259	7.96408e-07	2.75343
all	share	U	7.9772	1.68319	2.18997	0.072581	4.79598	0.317901	4.02242	4	7.9135	0.259	7.9772e-07	2.18997
all	rms	V	-0.0471485	2.85043	2.96941	0.112147	8.81737	0.666022	3.05495	4	7.9135	0.4316	-4.71485e-09	2.96941
all	share	V	2.58766	1.51527	2.39512	0.0695226	5.73661	0.33303	2.45204	4	7.9135	0.4316	2.58766e-07	2.39512
all	rms	W	2.83415	1.50556	2.02463	0.0875439	4.09913	0.354488	1.28255	4	7.9135	0.0575	2.83415e-07	2.02463
all	share	W	4.83149	0.632695	1.17906	0.0541614	1.39019	0.127719	0.7196	4	7.9135	0.0575	4.83149e-07	1.17906
all	rms	U(joint)	2.77845	1.26332	2.89728	0.0700442	8.39425	0.405876	12.3634	14	7.9135	0.259	2.77845e-07	2.89728
all	rms	V(joint)	2.77845	1.26332	2.87243	0.074089	8.25088	0.425631	12.3634	14	7.9135	0.4316	2.77845e-07	2.87243
all	rms	W(joint)	2.77845	1.26332	2.02746	0.0769508	4.11058	0.312029	12.3634	14	7.9135	0.0575	2.77845e-07	2.02746
all	share	U(joint)	4.87198	0.551603	2.3003	0.041637	5.29138	0.191555	12.8743	14	7.9135	0.259	4.87198e-07	2.3003
all	share	V(joint)	4.87198	0.551603	2.30367	0.0436409	5.3069	0.201069	12.8743	14	7.9135	0.4316	4.87198e-07	2.30367
all	share	W(joint)	4.87198	0.551603	1.17614	0.0494551	1.3833	0.116332	12.8743	14	7.9135	0.0575	4.87198e-07	1.17614
face:x>0	rms	U	8.64781	4.80282	2.65861	0.158262	7.06821	0.841513	3.55371	4	7.9135	0.259	8.64781e-07	2.65861
face:x>0	share	U	6.70897	1.92879	2.11807	0.081132	4.48624	0.343687	3.73276	4	7.9135	0.259	6.70897e-07	2.11807
face:x>0	rms	V	0.459899	4.05255	2.91294	0.12955	8.4852	0.754742	7.1865	4	7.9135	0.4316	4.59899e-08	2.91294
face:x>0	share	V	2.27975	2.05521	2.50601	0.0778847	6.28007	0.390359	2.44409	4	7.9135	0.4316	2.27975e-07	2.50601
face:x>0	rms	W	7.1947	1.76318	1.82574	0.0963583	3.33331	0.35185	2.64996	4	7.9135	0.0575	7.1947e-07	1.82574
face:x>0	share	W	6.53459	0.714586	1.0511	0.0610619	1.10481	0.128364	1.63162	4	7.9135	0.0575	6.53459e-07	1.0511
face:x>0	rms	U(joint)	6.37978	1.53229	2.72566	0.0785149	7.42922	0.42801	15.9607	14	7.9135	0.259	6.37978e-07	2.72566
face:x>0	rms	V(joint)	6.37978	1.53229	2.74132	0.0798049	7.51482	0.437541	15.9607	14	7.9135	0.4316	6.37978e-07	2.74132
face:x>0	rms	W(joint)	6.37978	1.53229	1.86267	0.0859558	3.46954	0.320214	15.9607	14	7.9135	0.0575	6.37978e-07	1.86267
face:x>0	share	U(joint)	6.14478	0.637072	2.13868	0.0455755	4.57396	0.194943	11.7283	14	7.9135	0.259	6.14478e-07	2.13868
face:x>0	share	V(joint)	6.14478	0.637072	2.37705	0.0475168	5.65036	0.225899	11.7283	14	7.9135	0.4316	6.14478e-07	2.37705
face:x>0	share	W(joint)	6.14478	0.637072	1.07802	0.0552908	1.16214	0.11921	11.7283	14	7.9135	0.0575	6.14478e-07	1.07802
face:x<0	rms	U	-3.16183	4.05941	3.19359	0.164474	10.199	1.05052	1.97493	4	7.9135	0.259	-3.16183e-07	3.19359
face:x<0	share	U	3.92387	2.28709	2.5248	0.102927	6.3746	0.519737	0.945449	4	7.9135	0.259	3.92387e-07	2.5248
face:x<0	rms	V	-1.18068	3.48641	2.92665	0.16161	8.5653	0.945952	3.79782	4	7.9135	0.4316	-1.18068e-07	2.92665
face:x<0	share	V	2.23023	1.61208	2.27121	0.0878879	5.15842	0.399225	1.47384	4	7.9135	0.4316	2.23023e-07	2.27121
face:x<0	rms	W	0.99401	2.09542	2.06118	0.147851	4.24844	0.609495	3.57862	4	7.9135	0.0575	9.9401e-08	2.06118
face:x<0	share	W	3.32511	0.891729	1.27772	0.0889134	1.63258	0.227214	5.2089	4	7.9135	0.0575	3.32511e-07	1.27772
face:x<0	rms	U(joint)	-0.168924	1.64243	3.08761	0.105179	9.53336	0.649506	10.2872	14	7.9135	0.259	-1.68924e-08	3.08761
face:x<0	rms	V(joint)	-0.168924	1.64243	2.88389	0.0987434	8.31682	0.56953	10.2872	14	7.9135	0.4316	-1.68924e-08	2.88389
face:x<0	rms	W(joint)	-0.168924	1.64243	2.13645	0.116195	4.5644	0.496488	10.2872	14	7.9135	0.0575	-1.68924e-08	2.13645
face:x<0	share	U(joint)	3.15776	0.738506	2.55449	0.0582396	6.52542	0.297545	8.10666	14	7.9135	0.259	3.15776e-07	2.55449
face:x<0	share	V(joint)	3.15776	0.738506	2.22585	0.0550343	4.95439	0.244996	8.10666	14	7.9135	0.4316	3.15776e-07	2.22585
face:x<0	share	W(joint)	3.15776	0.738506	1.2929	0.075441	1.67159	0.195075	8.10666	14	7.9135	0.0575	3.15776e-07	1.2929
run:run039252	rms	U	8.76017	4.18333	2.49489	0.188451	6.22447	0.940327	1.59616	4	7.9135	0.259	8.76017e-07	2.49489
run:run039252	share	U	5.42308	2.46516	2.23308	0.119733	4.98667	0.53475	1.54843	4	7.9135	0.259	5.42308e-07	2.23308
run:run039252	rms	V	2.59873	3.58729	2.54918	0.172534	6.49832	0.87964	8.68169	4	7.9135	0.4316	2.59873e-07	2.54918
run:run039252	share	V	3.90149	2.24665	2.27034	0.108235	5.15444	0.491459	3.11421	4	7.9135	0.4316	3.90149e-07	2.27034
run:run039252	rms	W	2.6599	3.25541	1.92618	0.225186	3.71017	0.867497	0.760819	4	7.9135	0.0575	2.6599e-07	1.92618
run:run039252	share	W	5.0524	1.06978	1.07659	0.129452	1.15905	0.278733	0.451238	4	7.9135	0.0575	5.0524e-07	1.07659
run:run039252	rms	U(joint)	4.15996	2.08873	2.66716	0.117558	7.11377	0.627095	12.6496	14	7.9135	0.259	4.15996e-07	2.66716
run:run039252	rms	V(joint)	4.15996	2.08873	2.47978	0.11906	6.1493	0.590487	12.6496	14	7.9135	0.4316	4.15996e-07	2.47978
run:run039252	rms	W(joint)	4.15996	2.08873	1.82736	0.166739	3.33926	0.609387	12.6496	14	7.9135	0.0575	4.15996e-07	1.82736
run:run039252	share	U(joint)	4.91732	0.899308	2.25445	0.0689428	5.08254	0.310856	5.37635	14	7.9135	0.259	4.91732e-07	2.25445
run:run039252	share	V(joint)	4.91732	0.899308	2.22627	0.0636041	4.95626	0.283199	5.37635	14	7.9135	0.4316	4.91732e-07	2.22627
run:run039252	share	W(joint)	4.91732	0.899308	1.09108	0.11182	1.19046	0.244009	5.37635	14	7.9135	0.0575	4.91732e-07	1.09108
run:run039253	rms	U	10.1394	5.28781	2.47232	0.193217	6.11237	0.95539	3.49077	4	7.9135	0.259	1.01394e-06	2.47232
run:run039253	share	U	7.1076	2.39545	2.12853	0.122515	4.53064	0.521554	3.74854	4	7.9135	0.259	7.1076e-07	2.12853
run:run039253	rms	V	-3.64269	4.93089	2.83795	0.192301	8.05398	1.09148	5.23364	4	7.9135	0.4316	-3.64269e-07	2.83795
run:run039253	share	V	-0.338805	2.77504	2.41043	0.129	5.8102	0.621891	6.48535	4	7.9135	0.4316	-3.38805e-08	2.41043
