label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	-1.06615	1.80449	2.03256	0.132641	4.1313	0.539201	4.48295	4	7.9135	0	-1.06615e-07	2.03256
all	share	U	2.95947	0.727917	1.51994	0.0455359	2.31023	0.138424	3.37236	4	7.9135	0	2.95947e-07	1.51994
all	truth	U	-2.86544	1.99142	2.27744	0.130041	5.18674	0.592321	4.94319	4	7.9135	0	-2.86544e-07	2.27744
all	rms	V	1.07044	6.39557	2.54678	0.330037	6.4861	1.68107	4.27806	4	7.9135	0	1.07044e-07	2.54678
all	share	V	0.985135	1.63652	1.80872	0.130936	3.27147	0.473653	4.24211	4	7.9135	0	9.85135e-08	1.80872
all	truth	V	0.318644	6.68003	3.05652	0.303476	9.34232	1.85516	4.63686	4	7.9135	0	3.18644e-08	3.05652
all	rms	W	7.34299	0.361964	0.697715	0.0430956	0.486806	0.0601369	0.346937	4	7.9135	0	7.34299e-07	0.697715
all	share	W	6.93794	0.277435	0.371531	0.0538389	0.138035	0.0400056	0.848399	4	7.9135	0	6.93794e-07	0.371531
all	truth	W	6.5212	0.389244	0.859974	0.0409568	0.739556	0.0704437	2.21452	4	7.9135	0	6.5212e-07	0.859974
all	rms	U(joint)	6.99946	0.351988	1.35616	0.07164	1.83917	0.194311	30.8468	14	7.9135	0	6.99946e-07	1.35616
all	rms	V(joint)	6.99946	0.351988	2.25525	0.000755436	5.08616	0.0034074	30.8468	14	7.9135	0	6.99946e-07	2.25525
all	rms	W(joint)	6.99946	0.351988	0.730845	0.0403649	0.534135	0.059001	30.8468	14	7.9135	0	6.99946e-07	0.730845
all	share	U(joint)	6.29994	0.256051	1.33547	0.0326736	1.78347	0.087269	45.358	14	7.9135	0	6.29994e-07	1.33547
all	share	V(joint)	6.29994	0.256051	1.3434	0.0592782	1.80472	0.159269	45.358	14	7.9135	0	6.29994e-07	1.3434
all	share	W(joint)	6.29994	0.256051	0.462206	0.0410541	0.213634	0.0379509	45.358	14	7.9135	0	6.29994e-07	0.462206
all	truth	U(joint)	6.15669	0.377734	1.6247	0.0660815	2.63965	0.214726	33.9608	14	7.9135	0	6.15669e-07	1.6247
all	truth	V(joint)	6.15669	0.377734	2.80151	0.000903864	7.84847	0.00506437	33.9608	14	7.9135	0	6.15669e-07	2.80151
all	truth	W(joint)	6.15669	0.377734	0.891775	0.0386657	0.795262	0.0689622	33.9608	14	7.9135	0	6.15669e-07	0.891775
