label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	rms	U	0	290.573	1731	2.84809e+07	1.35429	1.44267	0.690391	0.345582	0.0172791	0.229454	0.164434	0	0.880664	1.58548
all	rms	U	1	641.246	1732	2.84963e+07	1.62775	1.70418	1.0256	0.851879	0.0425939	0.797227	0.164434	0	0.828248	1.69079
all	rms	U	2	987.61	1732	2.84954e+07	1.83321	1.88174	1.2728	1.45115	0.0725574	1.43971	0.164434	0	0.783253	1.85662
all	rms	U	3	1333.97	1732	2.84944e+07	1.9939	2.02998	1.47925	2.04341	0.102171	2.04298	0.164434	0	0.747753	2.00419
all	rms	U	4	1680.34	1732	2.84934e+07	2.13965	2.16414	1.66022	2.6494	0.13247	2.65093	0.164434	0	0.715445	2.14508
all	rms	U	5	2026.7	1732	2.84925e+07	2.27092	2.2897	1.82331	3.23745	0.161872	3.23881	0.164434	0	0.688749	2.27414
all	share	U	0	290.573	1731	2.84809e+07	1.35429	1.44267	0.690391	0.35268	0.017634	0.229454	0.164434	0	0.880664	1.58548
all	share	U	1	641.246	1732	2.84963e+07	1.62775	1.70418	1.0256	0.840341	0.0420171	0.797227	0.164434	0	0.828248	1.69079
all	share	U	2	987.61	1732	2.84954e+07	1.83321	1.88174	1.2728	1.42141	0.0710707	1.43971	0.164434	0	0.783253	1.85662
all	share	U	3	1333.97	1732	2.84944e+07	1.9939	2.02998	1.47925	1.98746	0.0993729	2.04298	0.164434	0	0.747753	2.00419
all	share	U	4	1680.34	1732	2.84934e+07	2.13965	2.16414	1.66022	2.58831	0.129415	2.65093	0.164434	0	0.715445	2.14508
all	share	U	5	2026.7	1732	2.84925e+07	2.27092	2.2897	1.82331	3.15151	0.157575	3.23881	0.164434	0	0.688749	2.27414
all	truth	U	0	290.573	1731	2.84809e+07	1.35429	1.44267	0.690391	0.503728	0.0251864	0.229454	0.164434	0	0.880664	1.58548
all	truth	U	1	641.246	1732	2.84963e+07	1.62775	1.70418	1.0256	0.859118	0.0429559	0.797227	0.164434	0	0.828248	1.69079
all	truth	U	2	987.61	1732	2.84954e+07	1.83321	1.88174	1.2728	1.47024	0.0735122	1.43971	0.164434	0	0.783253	1.85662
all	truth	U	3	1333.97	1732	2.84944e+07	1.9939	2.02998	1.47925	2.06192	0.103096	2.04298	0.164434	0	0.747753	2.00419
all	truth	U	4	1680.34	1732	2.84934e+07	2.13965	2.16414	1.66022	2.66533	0.133267	2.65093	0.164434	0	0.715445	2.14508
all	truth	U	5	2026.7	1732	2.84925e+07	2.27092	2.2897	1.82331	3.24969	0.162485	3.23881	0.164434	0	0.688749	2.27414
all	rms	V	0	291.577	1731	2.84809e+07	1.35304	1.44367	0.691582	0.343914	0.0171957	0.224811	0.164434	0	0.88035	1.58167
all	rms	V	1	641.945	1731	2.84799e+07	1.63288	1.70459	1.02616	0.864442	0.0432221	0.813702	0.164434	0	0.827357	1.69586
all	rms	V	2	988.109	1731	2.8479e+07	1.83132	1.88197	1.27312	1.44477	0.0722383	1.43274	0.164434	0	0.78378	1.85449
all	rms	V	3	1334.27	1731	2.8478e+07	1.99536	2.0301	1.47941	2.04917	0.102459	2.04878	0.164434	0	0.74697	2.00566
all	rms	V	4	1680.44	1731	2.84769e+07	2.13852	2.16418	1.66027	2.64449	0.132225	2.64609	0.164434	0	0.716272	2.1439
all	rms	V	5	2026.7	1732	2.84925e+07	2.2717	2.2897	1.82331	3.24108	0.162054	3.24239	0.164434	0	0.68816	2.27497
all	share	V	0	291.577	1731	2.84809e+07	1.35304	1.44367	0.691582	0.355001	0.01775	0.224811	0.164434	0	0.88035	1.58167
all	share	V	1	641.945	1731	2.84799e+07	1.63288	1.70459	1.02616	0.850374	0.0425187	0.813702	0.164434	0	0.827357	1.69586
all	share	V	2	988.109	1731	2.8479e+07	1.83132	1.88197	1.27312	1.41373	0.0706863	1.43274	0.164434	0	0.78378	1.85449
all	share	V	3	1334.27	1731	2.8478e+07	1.99536	2.0301	1.47941	2.00103	0.100052	2.04878	0.164434	0	0.74697	2.00566
all	share	V	4	1680.44	1731	2.84769e+07	2.13852	2.16418	1.66027	2.57185	0.128592	2.64609	0.164434	0	0.716272	2.1439
all	share	V	5	2026.7	1732	2.84925e+07	2.2717	2.2897	1.82331	3.16467	0.158233	3.24239	0.164434	0	0.68816	2.27497
all	truth	V	0	291.577	1731	2.84809e+07	1.35304	1.44367	0.691582	0.491398	0.0245699	0.224811	0.164434	0	0.88035	1.58167
all	truth	V	1	641.945	1731	2.84799e+07	1.63288	1.70459	1.02616	0.876887	0.0438444	0.813702	0.164434	0	0.827357	1.69586
all	truth	V	2	988.109	1731	2.8479e+07	1.83132	1.88197	1.27312	1.46203	0.0731016	1.43274	0.164434	0	0.78378	1.85449
all	truth	V	3	1334.27	1731	2.8478e+07	1.99536	2.0301	1.47941	2.06803	0.103402	2.04878	0.164434	0	0.74697	2.00566
all	truth	V	4	1680.44	1731	2.84769e+07	2.13852	2.16418	1.66027	2.66014	0.133007	2.64609	0.164434	0	0.716272	2.1439
all	truth	V	5	2026.7	1732	2.84925e+07	2.2717	2.2897	1.82331	3.25355	0.162677	3.24239	0.164434	0	0.68816	2.27497
all	rms	W	0	284.493	1738	2.85961e+07	1.38128	1.47473	0.683129	0.326951	0.0163476	0.199771	0.197329	0	0.882029	1.60315
all	rms	W	1	635.646	1738	2.8595e+07	1.66101	1.73545	1.02112	0.847247	0.0423623	0.789836	0.197329	0	0.83039	1.71938
all	rms	W	2	983.21	1738	2.85942e+07	1.86985	1.91322	1.26996	1.46088	0.0730442	1.44871	0.197329	0	0.785314	1.88857
all	rms	W	3	1330.77	1738	2.85931e+07	2.03061	2.06103	1.47747	2.05964	0.102982	2.05844	0.197329	0	0.750953	2.03687
all	rms	W	4	1678.34	1738	2.85921e+07	2.17361	2.19436	1.65923	2.66138	0.133069	2.6624	0.197329	0	0.720962	2.17576
all	rms	W	5	2026	1739	2.86076e+07	2.30898	2.31897	1.823	3.27638	0.163819	3.27707	0.197329	0	0.692232	2.30975
all	share	W	0	284.493	1738	2.85961e+07	1.38128	1.47473	0.683129	0.327796	0.0163898	0.199771	0.197329	0	0.882029	1.60315
all	share	W	1	635.646	1738	2.8595e+07	1.66101	1.73545	1.02112	0.82993	0.0414965	0.789836	0.197329	0	0.83039	1.71938
all	share	W	2	983.21	1738	2.85942e+07	1.86985	1.91322	1.26996	1.43663	0.0718313	1.44871	0.197329	0	0.785314	1.88857
all	share	W	3	1330.77	1738	2.85931e+07	2.03061	2.06103	1.47747	2.0067	0.100335	2.05844	0.197329	0	0.750953	2.03687
all	share	W	4	1678.34	1738	2.85921e+07	2.17361	2.19436	1.65923	2.58303	0.129152	2.6624	0.197329	0	0.720962	2.17576
all	share	W	5	2026	1739	2.86076e+07	2.30898	2.31897	1.823	3.20929	0.160465	3.27707	0.197329	0	0.692232	2.30975
all	truth	W	0	284.493	1738	2.85961e+07	1.38128	1.47473	0.683129	0.429461	0.021473	0.199771	0.197329	0	0.882029	1.60315
all	truth	W	1	635.646	1738	2.8595e+07	1.66101	1.73545	1.02112	0.823348	0.0411674	0.789836	0.197329	0	0.83039	1.71938
