label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	-2.48099	1.49614	3.03678	0.0601607	9.22203	0.365389	0.770876	4	8.2017	0	-2.48099e-07	3.03678
all	share	U	-1.69412	1.48598	3.00088	0.0599378	9.00527	0.359732	0.595208	4	8.2017	0	-1.69412e-07	3.00088
all	truth	U	0.447341	1.71332	3.13354	0.0644611	9.81906	0.403983	0.501797	4	8.2017	0	4.47341e-08	3.13354
all	rms	V	-3.79384	1.56289	3.15705	0.0615213	9.96695	0.388451	0.597907	4	8.2017	0	-3.79384e-07	3.15705
all	share	V	-3.64721	1.6113	3.16889	0.0621078	10.0419	0.393626	0.563768	4	8.2017	0	-3.64721e-07	3.16889
all	truth	V	-0.197365	1.74835	3.19639	0.0651751	10.2169	0.416651	0.27263	4	8.2017	0	-1.97365e-08	3.19639
all	rms	W	7.70091	0.288748	0.471303	0.0405629	0.222126	0.0382349	0.341037	4	8.2017	0	7.70091e-07	0.471303
all	share	W	7.2896	0.254218	0.316903	0.048708	0.100427	0.0308714	2.19061	4	8.2017	0	7.2896e-07	0.316903
all	truth	W	7.26829	0.302563	0.590717	0.0370896	0.348947	0.043819	1.67944	4	8.2017	0	7.26829e-07	0.590717
all	rms	U(joint)	6.98072	0.278963	2.68374	0.034892	7.20247	0.187282	95.452	14	8.2017	0	6.98072e-07	2.68374
all	rms	V(joint)	6.98072	0.278963	2.76026	0.0355886	7.61904	0.196468	95.452	14	8.2017	0	6.98072e-07	2.76026
all	rms	W(joint)	6.98072	0.278963	0.543504	0.0344758	0.295397	0.0374754	95.452	14	8.2017	0	6.98072e-07	0.543504
all	share	U(joint)	6.78192	0.247602	2.68656	0.0342733	7.21762	0.184155	81.7666	14	8.2017	0	6.78192e-07	2.68656
all	share	V(joint)	6.78192	0.247602	2.79541	0.0354558	7.81433	0.198227	81.7666	14	8.2017	0	6.78192e-07	2.79541
all	share	W(joint)	6.78192	0.247602	0.384569	0.0395218	0.147893	0.0303977	81.7666	14	8.2017	0	6.78192e-07	0.384569
all	truth	U(joint)	6.85713	0.293718	2.91734	0.0361651	8.5109	0.211012	34.5774	14	8.2017	0	6.85713e-07	2.91734
all	truth	V(joint)	6.85713	0.293718	2.95967	0.0365602	8.75963	0.216412	34.5774	14	8.2017	0	6.85713e-07	2.95967
all	truth	W(joint)	6.85713	0.293718	0.628806	0.0342268	0.395398	0.043044	34.5774	14	8.2017	0	6.85713e-07	0.628806
phase:q1	rms	U	-3.83072	1.50037	3.09664	0.0602	9.5892	0.372836	0.766391	4	8.2017	0	-3.83072e-07	3.09664
phase:q1	share	U	-4.20041	1.67625	3.23841	0.0638495	10.4873	0.413541	3.06296	4	8.2017	0	-4.20041e-07	3.23841
phase:q1	truth	U	-0.564609	1.7271	3.18463	0.0646995	10.1419	0.412089	0.774149	4	8.2017	0	-5.64609e-08	3.18463
phase:q1	rms	V	-3.46006	1.55224	3.13763	0.0610634	9.8447	0.383188	1.45483	4	8.2017	0	-3.46006e-07	3.13763
phase:q1	share	V	-5.46722	1.74043	3.36039	0.064643	11.2922	0.434451	1.54011	4	8.2017	0	-5.46722e-07	3.36039
phase:q1	truth	V	0.297312	1.7252	3.15985	0.0644723	9.98466	0.407445	0.770732	4	8.2017	0	2.97312e-08	3.15985
phase:q1	rms	W	5.42298	0.471697	1.32311	0.0377235	1.75061	0.0998246	7.99088	4	8.2017	0	5.42298e-07	1.32311
phase:q1	share	W	10.9273	0.561579	1.12366	0.0436632	1.26261	0.0981249	13.4138	4	8.2017	0	1.09273e-06	1.12366
phase:q1	truth	W	3.40599	0.528549	1.54521	0.0396469	2.38767	0.122525	0.138907	4	8.2017	0	3.40599e-07	1.54521
phase:q1	rms	U(joint)	3.96651	0.432189	2.80881	0.0360027	7.88943	0.20225	69.6442	14	8.2017	0	3.96651e-07	2.80881
phase:q1	rms	V(joint)	3.96651	0.432189	2.87084	0.0362341	8.24173	0.208045	69.6442	14	8.2017	0	3.96651e-07	2.87084
