label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	2.65945	2.74718	3.86959	0.0856546	14.9737	0.662897	4.62858	4	8.2017	0	2.65945e-07	3.86959
all	share	U	7.54489	2.07397	3.26149	0.076233	10.6373	0.497267	1.68749	4	8.2017	0	7.54489e-07	3.26149
all	truth	U	2.87057	2.79971	3.88739	0.0866403	15.1118	0.673609	4.59019	4	8.2017	0	2.87057e-07	3.88739
all	rms	V	-1.11066	3.42625	4.43379	0.100992	19.6585	0.895551	0.246317	4	8.2017	0	-1.11066e-07	4.43379
all	share	V	5.26366	2.38635	3.58659	0.0819932	12.8637	0.588153	0.254855	4	8.2017	0	5.26366e-07	3.58659
all	truth	V	-0.81713	3.90541	4.56864	0.109258	20.8725	0.998323	0.200077	4	8.2017	0	-8.1713e-08	4.56864
all	rms	W	6.96468	0.290904	0.588818	0.0358533	0.346707	0.0422222	1.17279	4	8.2017	0	6.96468e-07	0.588818
all	share	W	7.17434	0.247126	0.300517	0.049178	0.0903103	0.0295576	1.30935	4	8.2017	0	7.17434e-07	0.300517
all	truth	W	6.35133	0.325157	0.717869	0.0387539	0.515336	0.0556404	4.84706	4	8.2017	0	6.35133e-07	0.717869
all	rms	U(joint)	6.86011	0.288261	3.75674	0.0472651	14.1131	0.355125	13.927	14	8.2017	0	6.86011e-07	3.75674
all	rms	V(joint)	6.86011	0.288261	4.22591	0.053894	17.8583	0.455502	13.927	14	8.2017	0	6.86011e-07	4.22591
all	rms	W(joint)	6.86011	0.288261	0.598761	0.0350643	0.358515	0.0419903	13.927	14	8.2017	0	6.86011e-07	0.598761
all	share	U(joint)	7.15948	0.244103	3.27372	0.0389331	10.7172	0.254912	3.92098	14	8.2017	0	7.15948e-07	3.27372
all	share	V(joint)	7.15948	0.244103	3.52931	0.0413968	12.456	0.292204	3.92098	14	8.2017	0	7.15948e-07	3.52931
all	share	W(joint)	7.15948	0.244103	0.302776	0.0484609	0.0916731	0.0293456	3.92098	14	8.2017	0	7.15948e-07	0.302776
all	truth	U(joint)	6.25663	0.321888	3.79794	0.0483617	14.4243	0.36735	14.4656	14	8.2017	0	6.25663e-07	3.79794
all	truth	V(joint)	6.25663	0.321888	4.39767	0.0607187	19.3395	0.534041	14.4656	14	8.2017	0	6.25663e-07	4.39767
all	truth	W(joint)	6.25663	0.321888	0.72703	0.0380093	0.528572	0.0552678	14.4656	14	8.2017	0	6.25663e-07	0.72703
