label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	rms	U	0	224.323	1342	2.63082e+07	1.94814	1.3708	0.606602	1.86548	0.148828	2.2841	0.164445	0	0.773807	2.02724
all	rms	U	1	518.095	1352	2.63305e+07	1.96752	1.62693	0.921874	1.94001	0.107288	2.07409	0.164445	0	0.764208	2.04226
all	rms	U	2	830.423	1426	2.63207e+07	2.02694	1.80644	1.16712	2.17583	0.158372	2.20746	0.164445	0	0.754258	2.11996
all	rms	U	3	1153.39	1482	2.63121e+07	2.10406	1.95505	1.37548	2.49645	0.124822	2.49679	0.164445	0	0.739325	2.20819
all	rms	U	4	1502.87	1590	2.6336e+07	2.07223	2.09671	1.5701	2.36224	0.125209	2.36317	0.164445	0	0.737628	2.19868
all	rms	U	5	1937.63	1721	2.63319e+07	2.08817	2.25808	1.7828	2.42912	0.133439	2.43987	0.164445	0	0.737835	2.23665
all	share	U	0	224.323	1342	2.63082e+07	1.94814	1.3708	0.606602	1.56266	0.078133	2.2841	0.164445	0	0.773807	2.02724
all	share	U	1	518.095	1352	2.63305e+07	1.96752	1.62693	0.921874	1.71314	0.0856569	2.07409	0.164445	0	0.764208	2.04226
all	share	U	2	830.423	1426	2.63207e+07	2.02694	1.80644	1.16712	1.87652	0.093826	2.20746	0.164445	0	0.754258	2.11996
all	share	U	3	1153.39	1482	2.63121e+07	2.10406	1.95505	1.37548	2.13611	0.106805	2.49679	0.164445	0	0.739325	2.20819
all	share	U	4	1502.87	1590	2.6336e+07	2.07223	2.09671	1.5701	2.16671	0.108335	2.36317	0.164445	0	0.737628	2.19868
all	share	U	5	1937.63	1721	2.63319e+07	2.08817	2.25808	1.7828	2.16297	0.108148	2.43987	0.164445	0	0.737835	2.23665
all	truth	U	0	224.323	1342	2.63082e+07	1.94814	1.3708	0.606602	2.15813	0.18379	2.2841	0.164445	0	0.773807	2.02724
all	truth	U	1	518.095	1352	2.63305e+07	1.96752	1.62693	0.921874	2.22137	0.133236	2.07409	0.164445	0	0.764208	2.04226
all	truth	U	2	830.423	1426	2.63207e+07	2.02694	1.80644	1.16712	2.55507	0.185324	2.20746	0.164445	0	0.754258	2.11996
all	truth	U	3	1153.39	1482	2.63121e+07	2.10406	1.95505	1.37548	2.94734	0.147367	2.49679	0.164445	0	0.739325	2.20819
all	truth	U	4	1502.87	1590	2.6336e+07	2.07223	2.09671	1.5701	2.90439	0.145219	2.36317	0.164445	0	0.737628	2.19868
all	truth	U	5	1937.63	1721	2.63319e+07	2.08817	2.25808	1.7828	3.07684	0.153842	2.43987	0.164445	0	0.737835	2.23665
all	rms	V	0	186.719	932	1.79767e+07	2.0029	1.32356	0.553428	2.07915	0.165038	2.56609	0.164445	0	0.764246	2.11358
all	rms	V	1	418.885	983	1.79832e+07	2.01927	1.5552	0.828923	2.14479	0.333609	2.34593	0.164445	0	0.761889	2.15394
all	rms	V	2	658.504	976	1.79769e+07	2.08226	1.71421	1.03931	2.40428	0.367826	2.47746	0.164445	0	0.752696	2.21222
all	rms	V	3	937.214	1049	1.79862e+07	2.01437	1.85832	1.2399	2.12506	0.168477	2.14166	0.164445	0	0.752865	2.20182
all	rms	V	4	1298.57	1112	1.79718e+07	2.006	2.01562	1.45949	2.09153	0.171271	2.09141	0.164445	0	0.752484	2.21242
all	rms	V	5	1816.43	1268	1.79948e+07	2.14826	2.21434	1.72614	2.68681	0.321917	2.69127	0.164445	0	0.73484	2.40499
all	share	V	0	186.719	932	1.79767e+07	2.0029	1.32356	0.553428	1.71252	0.0910351	2.56609	0.164445	0	0.764246	2.11358
all	share	V	1	418.885	983	1.79832e+07	2.01927	1.5552	0.828923	1.75052	0.0875262	2.34593	0.164445	0	0.761889	2.15394
all	share	V	2	658.504	976	1.79769e+07	2.08226	1.71421	1.03931	1.90285	0.0951423	2.47746	0.164445	0	0.752696	2.21222
all	share	V	3	937.214	1049	1.79862e+07	2.01437	1.85832	1.2399	1.89998	0.0949992	2.14166	0.164445	0	0.752865	2.20182
all	share	V	4	1298.57	1112	1.79718e+07	2.006	2.01562	1.45949	1.90644	0.095322	2.09141	0.164445	0	0.752484	2.21242
all	share	V	5	1816.43	1268	1.79948e+07	2.14826	2.21434	1.72614	2.2175	0.151256	2.69127	0.164445	0	0.73484	2.40499
all	truth	V	0	186.719	932	1.79767e+07	2.0029	1.32356	0.553428	2.52727	0.190864	2.56609	0.164445	0	0.764246	2.11358
all	truth	V	1	418.885	983	1.79832e+07	2.01927	1.5552	0.828923	2.70447	0.404843	2.34593	0.164445	0	0.761889	2.15394
all	truth	V	2	658.504	976	1.79769e+07	2.08226	1.71421	1.03931	2.96556	0.426557	2.47746	0.164445	0	0.752696	2.21222
all	truth	V	3	937.214	1049	1.79862e+07	2.01437	1.85832	1.2399	2.91855	0.224239	2.14166	0.164445	0	0.752865	2.20182
all	truth	V	4	1298.57	1112	1.79718e+07	2.006	2.01562	1.45949	2.96648	0.223135	2.09141	0.164445	0	0.752484	2.21242
all	truth	V	5	1816.43	1268	1.79948e+07	2.14826	2.21434	1.72614	3.8727	0.501556	2.69127	0.164445	0	0.73484	2.40499
all	rms	W	0	253.012	1741	2.98133e+07	1.54373	1.44252	0.644225	0.590623	0.0295311	0.717267	0.197342	0	0.865989	1.68316
