plane	u_centre	S
U	-3.45	0.000507916
U	-3.35	0.000534065
U	-3.25	5.30583e-05
U	-3.15	0.00055211
U	-3.05	0.000262379
U	-2.95	0.000748261
U	-2.85	0.000463912
U	-2.75	0.00088306
U	-2.65	0.000399773
U	-2.55	0.000478094
U	-2.45	0.000994242
U	-2.35	0.000831711
U	-2.25	0.000970498
U	-2.15	0.000578323
U	-2.05	0.000562304
U	-1.95	0.00159276
U	-1.85	0.00348013
U	-1.75	0.00659221
U	-1.65	0.00501622
U	-1.55	0.00484103
U	-1.45	0.0042912
U	-1.35	0.0044914
U	-1.25	0.00482064
U	-1.15	0.00866604
U	-1.05	0.0164752
U	-0.95	0.0383387
U	-0.85	0.0894888
U	-0.75	0.180734
U	-0.65	0.302276
U	-0.55	0.426442
U	-0.45	0.574669
U	-0.35	0.672555
U	-0.25	0.775406
U	-0.15	0.800954
U	-0.05	0.791381
U	0.05	0.732433
U	0.15	0.793915
U	0.25	0.835948
U	0.35	0.762829
U	0.45	0.639231
U	0.55	0.524934
U	0.65	0.37947
U	0.75	0.262563
U	0.85	0.156264
U	0.95	0.0803013
U	1.05	0.035436
U	1.15	0.0178591
U	1.25	0.00997515
U	1.35	0.0064545
U	1.45	0.00522529
U	1.55	0.00578962
U	1.65	0.00521314
U	1.75	0.00632875
U	1.85	0.00405788
U	1.95	0.00260821
U	2.05	0.00200779
U	2.15	0.000356339
U	2.25	0.000826392
U	2.35	0.00103616
U	2.45	0.000641765
U	2.55	0.00108706
U	2.65	0.000632267
U	2.75	0.00116355
U	2.85	0.000779476
U	2.95	0.000839562
U	3.05	0.000447576
U	3.15	0.000418135
U	3.25	0.000278651
U	3.35	0.000609347
U	3.45	0.000707549
V	-3.45	0.00027111
V	-3.35	0
V	-3.25	0.000665031
V	-3.15	0.000460841
V	-3.05	8.61065e-05
V	-2.95	0.00046047
V	-2.85	0.000703218
V	-2.75	0.000797574
V	-2.65	0.00101659
V	-2.55	0.001436
V	-2.45	0.00111772
V	-2.35	0.00308612
V	-2.25	0.000575124
V	-2.15	0.0010355
V	-2.05	0.000693208
V	-1.95	0.00168821
V	-1.85	0.00284327
V	-1.75	0.00493717
V	-1.65	0.00488619
V	-1.55	0.00439032
V	-1.45	0.00423432
V	-1.35	0.00416574
V	-1.25	0.00342609
V	-1.15	0.00752268
V	-1.05	0.0140051
V	-0.95	0.0298533
V	-0.85	0.0858216
V	-0.75	0.168524
V	-0.65	0.296023
V	-0.55	0.461665
V	-0.45	0.542472
V	-0.35	0.713604
V	-0.25	0.785531
V	-0.15	0.759297
V	-0.05	0.772258
V	0.05	0.641963
V	0.15	0.791482
V	0.25	0.809916
V	0.35	0.763214
V	0.45	0.716453
V	0.55	0.526158
V	0.65	0.42981
V	0.75	0.280044
V	0.85	0.153655
V	0.95	0.0873809
V	1.05	0.0317431
V	1.15	0.0167419
V	1.25	0.0091334
V	1.35	0.00687026
V	1.45	0.00353074
V	1.55	0.00590344
V	1.65	0.00459219
V	1.75	0.00527539
V	1.85	0.00565457
V	1.95	0.00343601
V	2.05	0.00293596
V	2.15	0.00195941
V	2.25	0.0012726
V	2.35	0.00267968
V	2.45	0.0011585
V	2.55	0.00267746
V	2.65	0.00179313
V	2.75	0.00206535
V	2.85	0.0023271
V	2.95	0.000900828
V	3.05	0.00151748
V	3.15	0.00133238
V	3.25	0.000718604
V	3.35	0.00212819
V	3.45	0.00202327
W	-3.45	0
W	-3.35	0
W	-3.25	0
W	-3.15	0
W	-3.05	0
W	-2.95	0
W	-2.85	0
W	-2.75	0
W	-2.65	0
W	-2.55	0
W	-2.45	0
W	-2.35	0
W	-2.25	3.9131e-07
W	-2.15	5.09262e-05
W	-2.05	0.000484777
W	-1.95	0.0016217
W	-1.85	0.00272044
W	-1.75	0.00247442
W	-1.65	0.00177029
W	-1.55	0.00149754
W	-1.45	0.00201055
W	-1.35	0.0041845
W	-1.25	0.00902455
W	-1.15	0.0211196
W	-1.05	0.0392116
W	-0.95	0.0686938
W	-0.85	0.111788
W	-0.75	0.178673
W	-0.65	0.274319
W	-0.55	0.404919
W	-0.45	0.55729
W	-0.35	0.713187
W	-0.25	0.819516
W	-0.15	0.891409
W	-0.05	0.913232
W	0.05	0.908662
W	0.15	0.879934
W	0.25	0.801166
W	0.35	0.696902
W	0.45	0.567809
W	0.55	0.424828
W	0.65	0.293908
W	0.75	0.176602
W	0.85	0.102154
W	0.95	0.05111
W	1.05	0.0265143
W	1.15	0.0120201
W	1.25	0.00674803
W	1.35	0.00542523
W	1.45	0.00498104
W	1.55	0.00509843
W	1.65	0.00513767
W	1.75	0.00475318
W	1.85	0.0040287
W	1.95	0.00228374
W	2.05	0.000670202
W	2.15	6.44543e-05
W	2.25	0
W	2.35	0
W	2.45	0
W	2.55	0
W	2.65	0
W	2.75	0
W	2.85	0
W	2.95	0
W	3.05	0
W	3.15	0
W	3.25	0
W	3.35	0
W	3.45	0
