label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	2.64403	0.643268	1.67272	0.0474929	2.798	0.158885	2.28689	4	7.9135	0	2.64403e-07	1.67272
all	share	U	3.54922	0.502257	1.43486	0.0400352	2.05882	0.11489	4.08869	4	7.9135	0	3.54922e-07	1.43486
all	truth	U	1.27422	0.713305	1.83322	0.0491757	3.36069	0.180299	2.49123	4	7.9135	0	1.27422e-07	1.83322
all	rms	V	3.10393	0.605103	1.61472	0.044414	2.60734	0.143433	3.3103	4	7.9135	0	3.10393e-07	1.61472
all	share	V	3.56196	0.514335	1.4194	0.0415603	2.0147	0.117981	1.69323	4	7.9135	0	3.56196e-07	1.4194
all	truth	V	1.66797	0.664885	1.79277	0.0458952	3.21403	0.164559	2.94156	4	7.9135	0	1.66797e-07	1.79277
all	rms	W	7.13762	0.326809	0.579188	0.0450561	0.335459	0.0521919	0.696844	4	7.9135	0	7.13762e-07	0.579188
all	share	W	6.6826	0.274307	0.388673	0.0521041	0.151067	0.0405029	1.60503	4	7.9135	0	6.6826e-07	0.388673
all	truth	W	6.54053	0.345772	0.71236	0.0417332	0.507457	0.0594581	3.04629	4	7.9135	0	6.54053e-07	0.71236
all	rms	U(joint)	5.63005	0.262516	1.46483	0.031998	2.14573	0.0937435	66.5497	14	7.9135	0	5.63005e-07	1.46483
all	rms	V(joint)	5.63005	0.262516	1.44143	0.0300556	2.07771	0.086646	66.5497	14	7.9135	0	5.63005e-07	1.44143
all	rms	W(joint)	5.63005	0.262516	0.731446	0.0310266	0.535014	0.0453885	66.5497	14	7.9135	0	5.63005e-07	0.731446
all	share	U(joint)	5.53126	0.21804	1.29046	0.0277498	1.66529	0.0716201	55.2367	14	7.9135	0	5.53126e-07	1.29046
all	share	V(joint)	5.53126	0.21804	1.27195	0.0280932	1.61785	0.0714661	55.2367	14	7.9135	0	5.53126e-07	1.27195
all	share	W(joint)	5.53126	0.21804	0.540067	0.032434	0.291672	0.035033	55.2367	14	7.9135	0	5.53126e-07	0.540067
all	truth	U(joint)	4.84317	0.281812	1.59903	0.0323866	2.55689	0.103574	80.4164	14	7.9135	0	4.84317e-07	1.59903
all	truth	V(joint)	4.84317	0.281812	1.58443	0.030386	2.51041	0.0962888	80.4164	14	7.9135	0	4.84317e-07	1.58443
all	truth	W(joint)	4.84317	0.281812	0.86769	0.0299205	0.752885	0.0519234	80.4164	14	7.9135	0	4.84317e-07	0.86769
