plane	u_centre	S
U	-3.45	0.0686378
U	-3.35	0.0695685
U	-3.25	0.0702648
U	-3.15	0.0707086
U	-3.05	0.0725823
U	-2.95	0.0733867
U	-2.85	0.0748978
U	-2.75	0.0760924
U	-2.65	0.0776019
U	-2.55	0.0793081
U	-2.45	0.0822111
U	-2.35	0.0839533
U	-2.25	0.0856471
U	-2.15	0.0855746
U	-2.05	0.0839753
U	-1.95	0.0795621
U	-1.85	0.0756496
U	-1.75	0.0709604
U	-1.65	0.0611247
U	-1.55	0.0441964
U	-1.45	0.0262303
U	-1.35	0.0132119
U	-1.25	0.00579838
U	-1.15	0.0117372
U	-1.05	0.0248275
U	-0.95	0.0419393
U	-0.85	0.0650594
U	-0.75	0.0976759
U	-0.65	0.189056
U	-0.55	0.302869
U	-0.45	0.40478
U	-0.35	0.525116
U	-0.25	0.61317
U	-0.15	0.612567
U	-0.05	0.61691
U	0.05	0.657414
U	0.15	0.630375
U	0.25	0.574243
U	0.35	0.516879
U	0.45	0.422563
U	0.55	0.280014
U	0.65	0.178984
U	0.75	0.110844
U	0.85	0.0766113
U	0.95	0.0490267
U	1.05	0.0214199
U	1.15	0.012497
U	1.25	0.00962481
U	1.35	0.011007
U	1.45	0.0203652
U	1.55	0.0337394
U	1.65	0.0501784
U	1.75	0.0611953
U	1.85	0.0671142
U	1.95	0.0735505
U	2.05	0.0751983
U	2.15	0.0776419
U	2.25	0.0789448
U	2.35	0.0789842
U	2.45	0.0780663
U	2.55	0.0767315
U	2.65	0.0748255
U	2.75	0.0737607
U	2.85	0.0717778
U	2.95	0.0710929
U	3.05	0.0711318
U	3.15	0.0695884
U	3.25	0.0697119
U	3.35	0.0693773
U	3.45	0.0686697
V	-3.45	0.0736291
V	-3.35	0.0731991
V	-3.25	0.0742419
V	-3.15	0.0746492
V	-3.05	0.0754392
V	-2.95	0.0765625
V	-2.85	0.0776861
V	-2.75	0.0786129
V	-2.65	0.0801413
V	-2.55	0.0831496
V	-2.45	0.0856724
V	-2.35	0.087728
V	-2.25	0.0884101
V	-2.15	0.0863719
V	-2.05	0.086509
V	-1.95	0.0803654
V	-1.85	0.0785575
V	-1.75	0.0742384
V	-1.65	0.0597833
V	-1.55	0.0451817
V	-1.45	0.0268241
V	-1.35	0.0140147
V	-1.25	0.0109183
V	-1.15	0.0175841
V	-1.05	0.0338163
V	-0.95	0.0469394
V	-0.85	0.0689718
V	-0.75	0.102831
V	-0.65	0.1825
V	-0.55	0.301501
V	-0.45	0.401832
V	-0.35	0.518357
V	-0.25	0.628718
V	-0.15	0.626511
V	-0.05	0.619547
V	0.05	0.663613
V	0.15	0.63629
V	0.25	0.578039
V	0.35	0.53283
V	0.45	0.439604
V	0.55	0.285977
V	0.65	0.18232
V	0.75	0.100995
V	0.85	0.0670692
V	0.95	0.041834
V	1.05	0.0152239
V	1.15	0.00862736
V	1.25	0.00792676
V	1.35	0.00812326
V	1.45	0.0199069
V	1.55	0.0347053
V	1.65	0.0474702
V	1.75	0.058458
V	1.85	0.0636451
V	1.95	0.0678877
V	2.05	0.0699708
V	2.15	0.0696597
V	2.25	0.0703727
V	2.35	0.070344
V	2.45	0.0694555
V	2.55	0.0689914
V	2.65	0.0669261
V	2.75	0.0665102
V	2.85	0.0653492
V	2.95	0.0643128
V	3.05	0.064012
V	3.15	0.0639036
V	3.25	0.0634292
V	3.35	0.0623
V	3.45	0.0629223
W	-3.45	0.000143652
W	-3.35	0.000315752
W	-3.25	0.000368328
W	-3.15	0.000289315
W	-3.05	0.000256772
W	-2.95	0.000161004
W	-2.85	0.000108056
W	-2.75	0.00038486
W	-2.65	0.000727049
W	-2.55	0.000404445
W	-2.45	5.01926e-05
W	-2.35	0.000108651
W	-2.25	0.000601641
W	-2.15	0.000810976
W	-2.05	0.000649377
W	-1.95	0.000665388
W	-1.85	0.000437361
W	-1.75	0.00150719
W	-1.65	0.00591774
W	-1.55	0.00697477
W	-1.45	0.00224869
W	-1.35	1.34046e-06
W	-1.25	0
W	-1.15	0
W	-1.05	0
W	-0.95	0
W	-0.85	0
W	-0.75	0.00670682
W	-0.65	0.104174
W	-0.55	0.371143
W	-0.45	0.692382
W	-0.35	0.902391
W	-0.25	0.939378
W	-0.15	0.917945
W	-0.05	0.962364
W	0.05	1.02816
W	0.15	1.02774
W	0.25	1.00439
W	0.35	0.875067
W	0.45	0.602332
W	0.55	0.318705
W	0.65	0.135039
W	0.75	0.0530652
W	0.85	0.0172341
W	0.95	0.00210578
W	1.05	0
W	1.15	0
W	1.25	0
W	1.35	0
W	1.45	0
W	1.55	0
W	1.65	5.21289e-07
W	1.75	4.61713e-06
W	1.85	3.57455e-06
W	1.95	0.000137844
W	2.05	0.000877999
W	2.15	0.00151829
W	2.25	0.00147748
W	2.35	0.00166276
W	2.45	0.00234185
W	2.55	0.00288987
W	2.65	0.00278852
W	2.75	0.00193852
W	2.85	0.00067209
W	2.95	8.41509e-05
W	3.05	2.39793e-05
W	3.15	1.75004e-05
W	3.25	2.15962e-05
W	3.35	4.565e-05
W	3.45	4.29691e-05
