label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	rms	U	0	330.451	1133	2.11288e+07	2.78404	1.93145	0.72319	2.90854	0.145427	4.54341	0.0614915	0	0.835186	2.95998
all	rms	U	1	664.837	1140	2.11202e+07	2.85432	2.22811	1.02579	3.24163	0.197029	4.23487	0.0614914	0	0.814474	2.99305
all	rms	U	2	1002.95	1156	2.11406e+07	2.81265	2.43323	1.25991	3.04134	0.152067	3.57777	0.0614915	0	0.816515	2.92709
all	rms	U	3	1331.48	1157	2.11196e+07	2.91348	2.58946	1.45167	3.5399	0.176995	3.89042	0.0614915	0	0.805557	3.00074
all	rms	U	4	1647.43	1169	2.11429e+07	2.89901	2.71581	1.61474	3.46544	0.173272	3.63603	0.0614915	0	0.804907	2.96934
all	rms	U	5	1962.32	1178	2.11337e+07	2.94671	2.82624	1.76232	3.71435	0.185717	3.80123	0.0614915	0	0.79782	3.00713
all	share	U	0	330.451	1133	2.11288e+07	2.78404	1.93145	0.72319	2.07677	0.103839	4.54341	0.0614915	0	0.835186	2.95998
all	share	U	1	664.837	1140	2.11202e+07	2.85432	2.22811	1.02579	2.7126	0.13563	4.23487	0.0614914	0	0.814474	2.99305
all	share	U	2	1002.95	1156	2.11406e+07	2.81265	2.43323	1.25991	2.64609	0.132305	3.57777	0.0614915	0	0.816515	2.92709
all	share	U	3	1331.48	1157	2.11196e+07	2.91348	2.58946	1.45167	3.01308	0.150654	3.89042	0.0614915	0	0.805557	3.00074
all	share	U	4	1647.43	1169	2.11429e+07	2.89901	2.71581	1.61474	3.03561	0.151781	3.63603	0.0614915	0	0.804907	2.96934
all	share	U	5	1962.32	1178	2.11337e+07	2.94671	2.82624	1.76232	3.28683	0.164342	3.80123	0.0614915	0	0.79782	3.00713
all	truth	U	0	330.451	1133	2.11288e+07	2.78404	1.93145	0.72319	3.56005	0.178002	4.54341	0.0614915	0	0.835186	2.95998
all	truth	U	1	664.837	1140	2.11202e+07	2.85432	2.22811	1.02579	3.76626	0.188313	4.23487	0.0614914	0	0.814474	2.99305
all	truth	U	2	1002.95	1156	2.11406e+07	2.81265	2.43323	1.25991	3.3571	0.167855	3.57777	0.0614915	0	0.816515	2.92709
