label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	4.13086	0.776738	1.83141	0.0503051	3.35408	0.184259	4.64819	4	7.9135	0	4.13086e-07	1.83141
all	share	U	4.05444	0.597821	1.54705	0.0446314	2.39337	0.138094	1.26012	4	7.9135	0	4.05444e-07	1.54705
all	truth	U	2.90161	0.858845	2.01791	0.0522103	4.07198	0.210712	5.00336	4	7.9135	0	2.90161e-07	2.01791
all	rms	V	3.88429	0.76636	1.84786	0.0493428	3.41458	0.182357	3.28172	4	7.9135	0	3.88429e-07	1.84786
all	share	V	4.01899	0.572379	1.54414	0.0428274	2.38436	0.132263	6.58125	4	7.9135	0	4.01899e-07	1.54414
all	truth	V	2.59923	0.849665	2.03248	0.0514238	4.13096	0.209035	3.05832	4	7.9135	0	2.59923e-07	2.03248
all	rms	W	7.70009	0.401424	0.783107	0.0441813	0.613257	0.0691974	0.109045	4	7.9135	0	7.70009e-07	0.783107
all	share	W	6.80723	0.299651	0.496279	0.0469108	0.246293	0.0465617	1.91239	4	7.9135	0	6.80723e-07	0.496279
all	truth	W	6.83045	0.434716	0.950819	0.042701	0.904056	0.0812018	1.5441	4	7.9135	0	6.83045e-07	0.950819
all	rms	U(joint)	6.40246	0.323323	1.69665	0.0324153	2.87861	0.109995	37.8384	14	7.9135	0	6.40246e-07	1.69665
all	rms	V(joint)	6.40246	0.323323	1.69931	0.0323857	2.88764	0.110067	37.8384	14	7.9135	0	6.40246e-07	1.69931
all	rms	W(joint)	6.40246	0.323323	0.894338	0.0336281	0.799841	0.0601498	37.8384	14	7.9135	0	6.40246e-07	0.894338
all	share	U(joint)	5.85281	0.242625	1.42441	0.0289689	2.02894	0.0825272	39.2126	14	7.9135	0	5.85281e-07	1.42441
all	share	V(joint)	5.85281	0.242625	1.42018	0.0288257	2.01692	0.0818755	39.2126	14	7.9135	0	5.85281e-07	1.42018
all	share	W(joint)	5.85281	0.242625	0.607843	0.0334426	0.369473	0.0406557	39.2126	14	7.9135	0	5.85281e-07	0.607843
all	truth	U(joint)	5.43769	0.352837	1.87581	0.0328775	3.51866	0.123344	39.7501	14	7.9135	0	5.43769e-07	1.87581
all	truth	V(joint)	5.43769	0.352837	1.87375	0.0328855	3.51092	0.123238	39.7501	14	7.9135	0	5.43769e-07	1.87375
all	truth	W(joint)	5.43769	0.352837	1.06068	0.0332341	1.12503	0.0705013	39.7501	14	7.9135	0	5.43769e-07	1.06068
