det	est	plane	window	inversion	tbin	t_us	extent	sig_true_mm	sig_old_mm	sig_corr_mm	c_pred_mm	DT_pred_cm2s	c_input_mm	DT_input_cm2s	sig_true_lo_pitch	sig_true_hi_pitch
pdhd	share	U	full	bin	0	194.461	1.01532	3.24655	3.26124	3.24655	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	bin	1	512.211	1.18601	3.30599	3.31863	3.30599	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	bin	2	797.186	1.21633	3.35841	3.37039	3.35841	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	bin	3	1107.19	1.21201	3.41452	3.42613	3.41452	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	bin	4	1508.08	1.35946	3.48574	3.49446	3.48574	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	bin	5	1972.47	1.34804	3.56646	3.57537	3.56646	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	old	-1	nan	nan	nan	nan	nan	3.22471	6.03338	3.20963	6.12924	0.695297	0.763811
pdhd	share	U	full	corrected	-1	nan	nan	nan	nan	nan	3.20963	6.12924	3.20963	6.12924	0.695297	0.763811
pdhd	share	U	q1	bin	0	194.461	1.01532	3.24655	3.50301	3.24655	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	bin	1	512.211	1.18601	3.30599	3.553	3.30599	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	bin	2	797.186	1.21633	3.35841	3.60024	3.35841	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	bin	3	1107.19	1.21201	3.41452	3.6518	3.41452	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	bin	4	1508.08	1.35946	3.48574	3.71316	3.48574	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	bin	5	1972.47	1.34804	3.56646	3.78871	3.56646	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	old	-1	nan	nan	nan	nan	nan	3.46913	5.85269	3.20963	6.12924	0.695297	0.763811
pdhd	share	U	q1	corrected	-1	nan	nan	nan	nan	nan	3.20963	6.12924	3.20963	6.12924	0.695297	0.763811
pdhd	share	U	q2	bin	0	194.461	1.01532	3.24655	3.03421	3.24655	nan	nan	nan	nan	nan	nan
pdhd	share	U	q2	bin	1	512.211	1.18601	3.30599	3.09678	3.30599	nan	nan	nan	nan	nan	nan
pdhd	share	U	q2	bin	2	797.186	1.21633	3.35841	3.1525	3.35841	nan	nan	nan	nan	nan	nan
