det	est	plane	window	inversion	tbin	t_us	extent	sig_true_mm	sig_old_mm	sig_corr_mm	c_pred_mm	DT_pred_cm2s	c_input_mm	DT_input_cm2s	sig_true_lo_pitch	sig_true_hi_pitch
sbnd	share	U	full	bin	0	77.0933	0.2309	1.35528	1.34215	1.35528	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	bin	1	246.145	0.655148	1.43683	1.44692	1.43683	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	bin	2	450.686	0.276905	1.5297	1.52106	1.5297	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	bin	3	614.169	0.338807	1.60006	1.59574	1.60006	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	bin	4	818.324	1.45519e-11	1.6838	1.65817	1.6838	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	bin	5	1055.12	0.740986	1.77598	1.78572	1.77598	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	old	-1	nan	nan	nan	nan	nan	1.31294	6.39651	1.31642	6.73461	0.451761	0.591994
sbnd	share	U	full	corrected	-1	nan	nan	nan	nan	nan	1.31642	6.73461	1.31642	6.73461	0.451761	0.591994
sbnd	share	U	q1	bin	0	77.0933	0.2309	1.35528	1.62148	1.35528	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	bin	1	246.145	0.655148	1.43683	1.69545	1.43683	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	bin	2	450.686	0.276905	1.5297	1.76064	1.5297	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	bin	3	614.169	0.338807	1.60006	1.82092	1.60006	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	bin	4	818.324	1.45519e-11	1.6838	1.87365	1.6838	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	bin	5	1055.12	0.740986	1.77598	1.97716	1.77598	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	old	-1	nan	nan	nan	nan	nan	1.5976	5.96148	1.31642	6.73461	0.451761	0.591994
sbnd	share	U	q1	corrected	-1	nan	nan	nan	nan	nan	1.31642	6.73461	1.31642	6.73461	0.451761	0.591994
sbnd	share	U	q2	bin	0	77.0933	0.2309	1.35528	1.08468	1.35528	nan	nan	nan	nan	nan	nan
sbnd	share	U	q2	bin	1	246.145	0.655148	1.43683	1.21595	1.43683	nan	nan	nan	nan	nan	nan
sbnd	share	U	q2	bin	2	450.686	0.276905	1.5297	1.3023	1.5297	nan	nan	nan	nan	nan	nan
sbnd	share	U	q2	bin	3	614.169	0.338807	1.60006	1.39022	1.60006	nan	nan	nan	nan	nan	nan
sbnd	share	U	q2	bin	4	818.324	1.45519e-11	1.6838	1.46178	1.6838	nan	nan	nan	nan	nan	nan
sbnd	share	U	q2	bin	5	1055.12	0.740986	1.77598	1.60866	1.77598	nan	nan	nan	nan	nan	nan
sbnd	share	U	q2	old	-1	nan	nan	nan	nan	nan	1.04838	6.47513	1.31642	6.73461	0.451761	0.591994
sbnd	share	U	q2	corrected	-1	nan	nan	nan	nan	nan	1.31642	6.73461	1.31642	6.73461	0.451761	0.591994
sbnd	share	U	q3	bin	0	77.0933	0.2309	1.35528	1.08468	1.35528	nan	nan	nan	nan	nan	nan
sbnd	share	U	q3	bin	1	246.145	0.655148	1.43683	1.21595	1.43683	nan	nan	nan	nan	nan	nan
