label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
all	rms	U	0	254.061	1613	4.73069e+07	3.61085	1.09793	2.3532	8.05358	1.19091	17.3703	1.45519e-11	0	0.74214
all	rms	U	1	661.265	1481	4.73472e+07	3.44926	1.85908	2.43605	6.89137	1.12848	14.3756	1.45519e-11	0	0.747512
all	rms	U	2	971.137	1433	4.73362e+07	3.63928	2.20474	2.49725	8.26385	1.32288	14.6198	1.45519e-11	0	0.72486
all	rms	U	3	1270.33	1625	4.73431e+07	3.7219	2.40863	2.55496	8.88404	1.32593	14.5788	1.45519e-11	0	0.721119
all	rms	U	4	1593.45	1592	4.73429e+07	3.82187	2.54311	2.61585	9.6522	1.95819	14.9819	1.45519e-11	0	0.719571
all	rms	U	5	1992.79	1831	4.73374e+07	3.81294	2.74237	2.6892	9.58287	1.45769	14.2497	1.45519e-11	0	0.716485
all	share	U	0	254.061	1613	4.73069e+07	3.61085	1.09793	2.3532	5.5305	0.639731	17.3703	1.45519e-11	0	0.74214
all	share	U	1	661.265	1481	4.73472e+07	3.44926	1.85908	2.43605	5.27767	0.649729	14.3756	1.45519e-11	0	0.747512
all	share	U	2	971.137	1433	4.73362e+07	3.63928	2.20474	2.49725	6.3859	0.56391	14.6198	1.45519e-11	0	0.72486
all	share	U	3	1270.33	1625	4.73431e+07	3.7219	2.40863	2.55496	6.57972	0.698493	14.5788	1.45519e-11	0	0.721119
all	share	U	4	1593.45	1592	4.73429e+07	3.82187	2.54311	2.61585	6.66083	1.02049	14.9819	1.45519e-11	0	0.719571
all	share	U	5	1992.79	1831	4.73374e+07	3.81294	2.74237	2.6892	6.82417	0.915034	14.2497	1.45519e-11	0	0.716485
all	rms	V	0	253.55	1459	4.23899e+07	3.66812	1.28867	2.35701	8.47882	1.56352	17.3499	1.45519e-11	0	0.738602
all	rms	V	1	626.898	1458	4.2651e+07	3.50794	2.09235	2.43295	7.3067	1.10576	13.847	1.45519e-11	0	0.727851
all	rms	V	2	942.629	1277	4.24634e+07	3.48568	2.50065	2.49538	7.14824	1.01634	12.1236	1.45519e-11	0	0.734033
all	rms	V	3	1234.67	1173	4.2508e+07	3.80749	2.62555	2.55176	9.54054	1.14117	14.1149	1.45519e-11	0	0.719076
all	rms	V	4	1568.23	1407	4.26053e+07	3.93708	2.79782	2.61467	10.5609	1.63249	14.5092	1.45519e-11	0	0.705157
all	rms	V	5	2013.37	1455	4.25381e+07	3.62402	3.01271	2.69634	8.15077	0.929097	11.3273	1.45519e-11	0	0.709775
all	share	V	0	253.55	1459	4.23899e+07	3.66812	1.28867	2.35701	5.70038	0.554148	17.3499	1.45519e-11	0	0.738602
all	share	V	1	626.898	1458	4.2651e+07	3.50794	2.09235	2.43295	6.23318	0.791138	13.847	1.45519e-11	0	0.727851
all	share	V	2	942.629	1277	4.24634e+07	3.48568	2.50065	2.49538	5.92375	0.583986	12.1236	1.45519e-11	0	0.734033
all	share	V	3	1234.67	1173	4.2508e+07	3.80749	2.62555	2.55176	6.68689	0.601175	14.1149	1.45519e-11	0	0.719076
all	share	V	4	1568.23	1407	4.26053e+07	3.93708	2.79782	2.61467	7.44252	0.880895	14.5092	1.45519e-11	0	0.705157
all	share	V	5	2013.37	1455	4.25381e+07	3.62402	3.01271	2.69634	7.18685	0.661218	11.3273	1.45519e-11	0	0.709775
all	rms	W	0	235.4	1325	2.72847e+07	2.6602	1.066	1.26978	4.88396	1.29691	7.55264	1.45519e-11	0	0.786476
all	rms	W	1	634.755	1391	2.73296e+07	2.48818	1.45035	1.41474	3.9835	0.88234	6.08904	1.45519e-11	0	0.782943
all	rms	W	2	995.216	1369	2.73082e+07	2.5159	1.73793	1.53386	4.12483	0.664254	5.66209	1.45519e-11	0	0.756675
all	rms	W	3	1353.15	1318	2.72902e+07	2.5315	1.91478	1.64362	4.20503	0.662325	5.4436	1.45519e-11	0	0.73275
all	rms	W	4	1704.16	1332	2.73286e+07	2.59801	2.08614	1.74457	4.55205	0.853197	5.44121	1.45519e-11	0	0.724668
all	rms	W	5	2070.19	1265	2.73101e+07	2.71674	2.23605	1.84395	5.19199	0.78793	5.78093	1.45519e-11	0	0.707461
all	share	W	0	235.4	1325	2.72847e+07	2.6602	1.066	1.26978	1.61038	0.348426	7.55264	1.45519e-11	0	0.786476
all	share	W	1	634.755	1391	2.73296e+07	2.48818	1.45035	1.41474	1.67134	0.212115	6.08904	1.45519e-11	0	0.782943
all	share	W	2	995.216	1369	2.73082e+07	2.5159	1.73793	1.53386	2.16018	0.281827	5.66209	1.45519e-11	0	0.756675
all	share	W	3	1353.15	1318	2.72902e+07	2.5315	1.91478	1.64362	2.66101	0.439737	5.4436	1.45519e-11	0	0.73275
all	share	W	4	1704.16	1332	2.73286e+07	2.59801	2.08614	1.74457	2.84256	0.300092	5.44121	1.45519e-11	0	0.724668
all	share	W	5	2070.19	1265	2.73101e+07	2.71674	2.23605	1.84395	3.25082	0.320096	5.78093	1.45519e-11	0	0.707461
phase:full	rms	U	0	254.061	1613	4.73069e+07	3.61085	1.09793	2.3532	8.1733	1.1264	17.3703	1.45519e-11	0	0.74214
phase:full	rms	U	1	661.265	1481	4.73472e+07	3.44926	1.85908	2.43605	7.0461	0.890996	14.3756	1.45519e-11	0	0.747512
