label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
all	rms	U	0	77.0933	88	3.0729e+06	1.88689	1.0294	0.607901	2.75346	0.679044	2.87024	0.2309	0	0.65157
all	rms	U	1	246.145	106	3.07056e+06	1.99562	1.31841	0.816747	2.86481	0.434159	2.91135	0.655148	0	0.577294
all	rms	U	2	450.686	58	3.07451e+06	2.26776	1.3575	1.01344	4.316	5.08004	4.32698	0.276905	0	0.579296
all	rms	U	3	614.169	54	3.04025e+06	1.89144	1.4704	1.14665	2.71629	0.434855	2.73027	0.338807	0	0.595305
all	rms	U	4	818.324	46	3.11736e+06	2.08147	1.49641	1.29387	3.58224	0.179112	3.76738	1.45519e-11	0	0.549873
all	rms	U	5	1055.12	58	3.10167e+06	2.17735	1.8142	1.44598	3.52422	2.3125	3.54037	0.740986	0	0.530994
all	share	U	0	77.0933	88	3.0729e+06	1.88689	1.0294	0.607901	1.6596	0.207961	2.87024	0.2309	0	0.65157
all	share	U	1	246.145	106	3.07056e+06	1.99562	1.31841	0.816747	2.35643	0.464263	2.91135	0.655148	0	0.577294
all	share	U	2	450.686	58	3.07451e+06	2.26776	1.3575	1.01344	2.57184	2.41349	4.32698	0.276905	0	0.579296
all	share	U	3	614.169	54	3.04025e+06	1.89144	1.4704	1.14665	2.31667	0.183664	2.73027	0.338807	0	0.595305
all	share	U	4	818.324	46	3.11736e+06	2.08147	1.49641	1.29387	3.0696	0.15348	3.76738	1.45519e-11	0	0.549873
all	share	U	5	1055.12	58	3.10167e+06	2.17735	1.8142	1.44598	3.05819	1.78744	3.54037	0.740986	0	0.530994
all	rms	V	0	64.7396	74	2.82914e+06	1.73999	1.26409	0.87382	2.16964	0.425224	2.19322	0.332073	0	0.645438
all	rms	V	1	205.628	101	2.89135e+06	1.95827	1.34503	1.00575	3.02679	0.986534	3.03724	0.234008	0	0.604072
all	rms	V	2	335.83	77	2.75829e+06	1.64399	1.36315	1.11386	1.94701	0.201848	2.08522	1.45519e-11	0	0.620401
all	rms	V	3	634.313	51	2.97117e+06	1.92883	1.69422	1.32891	2.59828	0.258193	2.61604	0.659227	0	0.555823
all	rms	V	4	960.853	62	2.87271e+06	2.05465	1.74525	1.52994	3.47122	0.503764	3.51641	1.45519e-11	0	0.55441
all	rms	V	5	1184.39	32	2.87914e+06	2.16757	1.82099	1.65353	3.9482	0.685408	4.11648	1.45519e-11	0	0.514159
all	share	V	0	64.7396	74	2.82914e+06	1.73999	1.26409	0.87382	1.69479	0.412533	2.19322	0.332073	0	0.645438
all	share	V	1	205.628	101	2.89135e+06	1.95827	1.34503	1.00575	2.23113	0.615652	3.03724	0.234008	0	0.604072
all	share	V	2	335.83	77	2.75829e+06	1.64399	1.36315	1.11386	2.02405	0.21049	2.08522	1.45519e-11	0	0.620401
all	share	V	3	634.313	51	2.97117e+06	1.92883	1.69422	1.32891	2.69838	0.162513	2.61604	0.659227	0	0.555823
all	share	V	4	960.853	62	2.87271e+06	2.05465	1.74525	1.52994	2.99062	0.462659	3.51641	1.45519e-11	0	0.55441
all	share	V	5	1184.39	32	2.87914e+06	2.16757	1.82099	1.65353	3.76378	0.770584	4.11648	1.45519e-11	0	0.514159
all	rms	W	0	133.08	46	1.16852e+06	1.58259	1.05871	0.493014	1.45207	0.620717	1.62677	0.590197	0	0.750306
all	rms	W	1	317.632	52	1.21662e+06	2.62105	1.18098	0.753574	5.99874	4.16926	6.04307	0.359505	0	0.703225
all	rms	W	2	393.236	21	1.20095e+06	1.42643	1.0902	0.837219	1.26872	1.0823	1.5471	1.45519e-11	0	0.74612
all	rms	W	3	555.758	36	1.21296e+06	1.85243	1.24644	0.993467	2.67995	2.78389	2.86486	1.45519e-11	0	0.673456
all	rms	W	4	658.486	37	1.18086e+06	1.43189	1.41208	1.08064	1.20383	0.0601913	1.22411	0.302429	0	0.719263
