tag	est	plane	window	n_bins	sig_mean_mm	sig_err_mm	q_frac	c_fit_mm	DT_fit_cm2s	chi2_ndf	sig_artefact_old_mm	sig_artefact_true_mm
data_pdhd	share	U	full	6	3.81048	0.0670786	1	3.56656	8.76001	1.02254	3.4077	3.39628
data_pdhd	share	U	q1	6	3.58957	0.0767834	0.246053	3.48782	1.9067	1.20862	3.63499	3.39628
data_pdhd	share	U	q2	6	4.01766	0.0791583	0.242355	3.71976	11.4063	0.833629	3.19222	3.39628
data_pdhd	share	U	q3	6	3.91804	0.0851869	0.24628	3.58945	11.1942	0.735657	3.19222	3.39628
data_pdhd	share	U	q4	6	3.65309	0.0747136	0.265313	3.48364	5.32568	1.18718	3.63499	3.39628
data_pdhd	share	U	centre	6	3.9662	0.0718924	0.488635	3.66702	11.3177	0.878064	3.19222	3.39628
data_pdhd	share	U	edge	6	3.62033	0.0744807	0.511366	3.53036	2.90099	0.996171	3.63499	3.39628
data_pdhd	share	V	full	6	3.35623	0.0793748	1	3.04724	8.76001	1.02254	2.96861	2.95356
data_pdhd	share	V	q1	6	2.9961	0.0741531	0.229807	2.94436	1.9067	1.20862	3.23635	2.95356
data_pdhd	share	V	q2	6	3.59663	0.0821276	0.279916	3.21884	11.4063	0.833629	2.7157	2.95356
data_pdhd	share	V	q3	6	3.55226	0.0986361	0.259517	3.1262	11.1942	0.735657	2.7157	2.95356
data_pdhd	share	V	q4	6	3.14109	0.101545	0.23076	2.90276	5.32568	1.18718	3.23635	2.95356
data_pdhd	share	V	centre	6	3.57257	0.0794787	0.539433	3.19165	11.3177	0.878064	2.7157	2.95356
data_pdhd	share	V	edge	6	3.07975	0.0751158	0.460567	2.97417	2.90099	0.996171	3.23635	2.95356
data_pdhd	share	W	full	6	2.3322	0.135823	1	1.43495	8.76001	1.02254	1.83248	1.8364
data_pdhd	share	W	q1	6	2.99512	0.151458	0.191694	2.54361	1.9067	1.20862	2.35754	1.8364
data_pdhd	share	W	q2	6	2.22818	0.113592	0.302756	1.3488	11.4063	0.833629	1.31926	1.8364
data_pdhd	share	W	q3	6	2.29401	0.135023	0.323934	1.34247	11.1942	0.735657	1.31926	1.8364
data_pdhd	share	W	q4	6	2.83942	0.14568	0.181616	2.26749	5.32568	1.18718	2.35754	1.8364
data_pdhd	share	W	centre	6	2.26134	0.111921	0.62669	1.32981	11.3177	0.878064	1.31926	1.8364
data_pdhd	share	W	edge	6	2.9299	0.134922	0.374322	2.47499	2.90099	0.996171	2.35754	1.8364
sim_pdhd_S1_truth	share	U	full	6	2.96103	0.0302239	1	2.70131	6.91952	5.92864	2.9126	2.93115
sim_pdhd_S1_truth	share	U	q1	6	2.82135	0.0335706	0.251631	2.56181	7.18045	9.72293	3.20108	2.93115
sim_pdhd_S1_truth	share	U	q2	6	3.00351	0.0306562	0.254082	2.78961	6.18861	2.55407	2.64878	2.93115
sim_pdhd_S1_truth	share	U	q3	6	3.05307	0.0311606	0.247638	2.82257	6.55938	3.60781	2.64878	2.93115
sim_pdhd_S1_truth	share	U	q4	6	2.91017	0.0349603	0.246649	2.65391	7.00463	10.6454	3.20108	2.93115
sim_pdhd_S1_truth	share	U	centre	6	3.02776	0.0309025	0.501719	2.80623	6.36906	3.02091	2.64878	2.93115
sim_pdhd_S1_truth	share	U	edge	6	2.8651	0.0323695	0.49828	2.5984	7.0601	10.3101	3.20108	2.93115
sim_pdhd_S1_truth	share	V	full	6	3.06571	0.031361	1	2.80456	6.91952	5.92864	3.0085	3.02632
sim_pdhd_S1_truth	share	V	q1	6	2.91828	0.0313196	0.252097	2.64311	7.18045	9.72293	3.28523	3.02632
sim_pdhd_S1_truth	share	V	q2	6	3.08635	0.0315011	0.249013	2.86887	6.18861	2.55407	2.75497	3.02632
sim_pdhd_S1_truth	share	V	q3	6	3.16599	0.0323158	0.251149	2.93797	6.55938	3.60781	2.75497	3.02632
sim_pdhd_S1_truth	share	V	q4	6	3.0422	0.0338281	0.247742	2.78169	7.00463	10.6454	3.28523	3.02632
sim_pdhd_S1_truth	share	V	centre	6	3.12598	0.0320048	0.500162	2.90487	6.36906	3.02091	2.75497	3.02632
sim_pdhd_S1_truth	share	V	edge	6	2.97919	0.0325645	0.499838	2.7176	7.0601	10.3101	3.28523	3.02632
sim_pdhd_S1_truth	share	W	full	6	1.32181	0.013992	1	0.470904	6.91952	5.92864	1.20933	1.25387
sim_pdhd_S1_truth	share	W	q1	6	1.29139	0.0137264	0.245007	0.266476	7.18045	9.72293	1.89572	1.25387
sim_pdhd_S1_truth	share	W	q2	6	1.3443	0.0141037	0.251084	0.66444	6.18861	2.55407	0.540197	1.25387
sim_pdhd_S1_truth	share	W	q3	6	1.32785	0.0140067	0.254129	0.577291	6.55938	3.60781	0.540197	1.25387
sim_pdhd_S1_truth	share	W	q4	6	1.37182	0.0144891	0.24978	0.55635	7.00463	10.6454	1.89572	1.25387
sim_pdhd_S1_truth	share	W	centre	6	1.33626	0.0140556	0.505214	0.623295	6.36906	3.02091	0.540197	1.25387
sim_pdhd_S1_truth	share	W	edge	6	1.33119	0.0141016	0.494787	0.437477	7.0601	10.3101	1.89572	1.25387
sim_pdhd_S1_centroid	share	U	full	6	2.96103	0.0302239	1	2.70131	6.91952	5.92864	2.9126	2.93115
sim_pdhd_S1_centroid	share	U	q1	6	2.91589	0.0310137	0.260473	2.92548	-0.417672	2.06085	3.20108	2.93115
sim_pdhd_S1_centroid	share	U	q2	6	2.95808	0.0309879	0.227138	2.77188	5.14303	2.79577	2.64878	2.93115
sim_pdhd_S1_centroid	share	U	q3	6	2.96119	0.0302244	0.233603	2.80987	4.26656	1.97759	2.64878	2.93115
sim_pdhd_S1_centroid	share	U	q4	6	2.91245	0.0297347	0.278785	2.85937	1.28807	2.1478	3.20108	2.93115
sim_pdhd_S1_centroid	share	U	centre	6	2.95961	0.0302074	0.460741	2.78143	4.91208	2.43094	2.64878	2.93115
sim_pdhd_S1_centroid	share	U	edge	6	2.91401	0.0304047	0.539259	2.89539	0.370345	1.79799	3.20108	2.93115
sim_pdhd_S1_centroid	share	V	full	6	3.06571	0.031361	1	2.80456	6.91952	5.92864	3.0085	3.02632
sim_pdhd_S1_centroid	share	V	q1	6	3.01817	0.0316582	0.272676	3.02595	-0.417672	2.06085	3.28523	3.02632
sim_pdhd_S1_centroid	share	V	q2	6	3.06873	0.0339595	0.225777	2.90254	5.14303	2.79577	2.75497	3.02632
