tag	est	plane	window	n_bins	sig_mean_mm	sig_err_mm	q_frac	c_fit_mm	DT_fit_cm2s	chi2_ndf	sig_artefact_old_mm	sig_artefact_true_mm
PDVD data (d42fit)	share	U	full	6	2.60551	0.0548106	1	2.39076	4.85956	0.214066	2.46486	2.4894
PDVD data (d42fit)	share	U	q1	6	2.60544	0.107348	0.19178	2.22172	7.07173	0.658394	3.45652	2.4894
PDVD data (d42fit)	share	U	q2	6	2.85831	0.0561871	0.298601	2.70155	3.77491	0.62412	1.47155	2.4894
PDVD data (d42fit)	share	U	q3	6	2.87699	0.0617297	0.324599	2.67348	4.50527	0.483876	1.47155	2.4894
PDVD data (d42fit)	share	U	q4	6	2.64506	0.103938	0.185019	2.38089	6.00402	1.34533	3.45652	2.4894
PDVD data (d42fit)	share	U	centre	6	2.86782	0.0517312	0.6232	2.7227	3.88378	0.269588	1.47155	2.4894
PDVD data (d42fit)	share	U	edge	6	2.62374	0.0799884	0.3768	2.24924	6.91423	0.671601	3.45652	2.4894
PDVD data (d42fit)	share	V	full	6	2.66615	0.0518549	1	2.44715	4.85956	0.214066	2.48551	2.49759
PDVD data (d42fit)	share	V	q1	6	2.20415	0.113259	0.248425	1.83158	7.07173	0.658394	3.46861	2.49759
PDVD data (d42fit)	share	V	q2	6	2.9391	0.0622223	0.257314	2.72733	3.77491	0.62412	1.49395	2.49759
PDVD data (d42fit)	share	V	q3	6	2.99237	0.0762486	0.267345	2.78491	4.50527	0.483876	1.49395	2.49759
PDVD data (d42fit)	share	V	q4	6	2.08571	0.0735094	0.226915	1.62728	6.00402	1.34533	3.46861	2.49759
PDVD data (d42fit)	share	V	centre	6	2.96555	0.0576414	0.524659	2.79787	3.88378	0.269588	1.49395	2.49759
PDVD data (d42fit)	share	V	edge	6	2.14196	0.0682419	0.475378	1.7365	6.91423	0.671601	3.46861	2.49759
PDVD data (d42fit)	share	W	full	6	1.60927	0.0435594	1	1.21289	4.85956	0.214066	1.4394	1.51578
PDVD data (d42fit)	share	W	q1	6	2.24655	0.0895293	0.139849	1.78815	7.07173	0.658394	2.16254	1.51578
PDVD data (d42fit)	share	W	q2	6	1.80353	0.0404348	0.356139	1.5239	3.77491	0.62412	0.710199	1.51578
PDVD data (d42fit)	share	W	q3	6	1.76582	0.0331125	0.36196	1.43523	4.50527	0.483876	0.710199	1.51578
PDVD data (d42fit)	share	W	q4	6	2.26153	0.106173	0.142052	1.85695	6.00402	1.34533	2.16254	1.51578
PDVD data (d42fit)	share	W	centre	6	1.78458	0.0319725	0.718099	1.506	3.88378	0.269588	0.710199	1.51578
PDVD data (d42fit)	share	W	edge	6	2.25522	0.0918942	0.281901	1.83526	6.91423	0.671601	2.16254	1.51578
