bid	plane	slice	t_ns	extent	thresh	q-3	q-2	q-1	q+0	q+1	q+2	q+3
0	0	195	162037	0.0614921	134.262	0	168	0	19422	0	0	0
0	0	196	164037	0.0614921	134.262	0	135	0	18192	0	0	0
0	0	197	166037	0.0614921	134.262	0	1257	115	16795	0	0	0
0	0	198	168038	0.0614921	134.262	0	318	1592	15937	0	0	0
0	0	199	170038	0.0614921	134.262	0	0	4606	14639	0	0	0
0	0	200	172038	0.0614921	134.262	0	0	7604	12146	0	0	0
0	0	201	174038	0.0614921	138.733	0	0	0	9781	9728	0	0
0	0	202	176038	0.0614921	138.733	0	0	0	11413	7746	0	0
0	0	203	178038	0.0614921	138.733	0	0	0	13773	5094	0	0
0	0	204	180038	0.0614921	138.733	0	0	0	15573	3091	0	0
0	0	205	182038	0.0614921	138.733	0	0	0	16811	2678	0	0
0	0	206	184038	0.0614921	138.733	0	0	0	17316	1722	0	0
0	0	207	186038	0.0614921	138.733	0	0	0	16944	717	0	0
0	0	208	188038	0.0614921	138.733	0	0	0	17496	82	0	0
0	0	210	192038	0.0614921	138.733	0	92	0	18513	0	0	0
0	0	211	194038	0.0614921	138.733	0	134	0	18312	0	0	0
0	0	213	198038	0.0614921	138.733	0	0	393	16031	0	0	0
0	0	214	200039	0.0614921	138.733	0	0	2483	15146	0	0	0
0	0	215	202039	0.0614921	138.733	0	0	4430	13963	0	0	0
0	0	216	204039	0.0614921	138.733	0	0	6827	11931	0	0	0
0	0	217	206039	0.0614921	138.733	0	0	9405	9385	0	0	0
0	0	218	208039	0.0614921	137.48	0	0	0	11249	6413	0	0
0	0	219	210039	0.0614921	137.48	0	0	0	13839	3538	0	0
0	0	220	212039	0.0614921	137.48	0	0	0	15995	1863	97	0
0	0	221	214039	0.0614921	137.48	0	0	0	17295	1087	954	0
0	0	222	216039	0.0614921	137.48	0	0	0	18214	191	409	0
0	0	226	224039	0.0614921	137.48	0	232	0	18556	0	0	0
0	0	227	226039	0.0614921	137.48	0	80	0	18615	0	0	0
0	0	228	228039	0.0614921	137.48	0	98	157	17798	0	0	0
0	0	229	230039	0.0614921	137.48	0	230	888	16617	0	0	0
0	0	230	232040	0.0614921	137.48	0	0	1500	15989	0	0	0
0	0	231	234040	0.0614921	137.48	0	0	3489	14792	0	0	0
0	0	232	236040	0.0614921	137.48	0	0	5572	12853	0	0	0
0	0	233	238040	0.0614921	137.48	0	0	8293	9875	0	0	0
0	0	234	240040	0.0614921	137.81	0	0	0	10523	7811	0	0
0	0	235	242040	0.0614921	137.81	0	0	0	12606	5714	0	0
0	0	236	244040	0.0614921	137.81	0	0	0	14399	3187	176	0
0	0	237	246040	0.0614921	137.81	0	0	0	17367	1691	121	0
0	0	238	248040	0.0614921	137.81	0	0	0	18811	766	0	0
0	0	239	250040	0.0614921	137.81	0	0	0	18134	329	0	0
0	0	240	252040	0.0614921	137.81	0	0	0	18086	80	281	0
0	0	241	254040	0.0614921	137.81	0	0	0	18100	0	459	0
0	0	242	256040	0.0614921	137.81	0	0	0	18849	0	4	0
0	0	243	258040	0.0614921	137.81	0	235	0	19109	0	0	0
0	0	244	260040	0.0614921	137.81	0	724	0	18063	0	0	0
0	0	245	262040	0.0614921	137.81	0	250	182	16893	0	0	0
0	0	246	264041	0.0614921	137.81	0	0	791	16391	0	0	0
0	0	247	266041	0.0614921	137.81	0	0	2419	15230	0	0	0
0	0	248	268041	0.0614921	137.81	0	0	4676	13058	0	0	0
0	0	249	270041	0.0614921	137.81	0	0	7273	11123	0	0	0
0	0	250	272041	0.0614921	135.911	0	0	0	10199	8383	0	0
0	0	251	274041	0.0614921	135.911	0	0	0	12909	5465	0	0
0	0	252	276041	0.0614921	135.911	0	0	0	14805	4263	0	0
0	0	253	278041	0.0614921	135.911	0	0	0	16756	2576	0	0
0	0	254	280041	0.0614921	135.911	0	0	0	17747	1496	0	0
0	0	255	282041	0.0614921	135.911	0	0	0	18175	545	0	0
0	0	256	284041	0.0614921	135.911	0	0	0	17639	53	0	0
0	0	258	288041	0.0614921	135.911	0	0	0	18909	0	35	0
0	0	260	292041	0.0614921	135.911	0	36	0	18725	0	0	0
0	0	261	294041	0.0614921	135.911	0	0	92	17549	0	0	0
0	0	262	296042	0.0614921	135.911	0	0	1263	16666	0	0	0
0	0	263	298042	0.0614921	135.911	0	0	2430	14675	0	0	0
0	0	264	300042	0.0614921	135.911	0	0	4890	13060	0	0	0
0	0	265	302042	0.0614921	135.911	0	0	7779	11677	0	0	0
0	0	266	304042	0.0614921	133.724	0	0	0	9477	9804	0	0
0	0	267	306042	0.0614921	133.724	0	0	0	11441	7471	0	0
0	0	268	308042	0.0614921	133.724	0	0	0	13824	5201	0	0
0	0	269	310042	0.0614921	133.724	0	0	0	15700	2760	0	0
0	0	270	312042	0.0614921	133.724	0	0	0	16966	1885	0	0
0	0	271	314042	0.0614921	133.724	0	0	0	17096	1517	0	0
0	0	272	316042	0.0614921	133.724	0	0	0	16899	627	0	0
0	0	276	324042	0.0614921	133.724	0	205	0	18324	0	0	0
0	0	277	326042	0.0614921	133.724	0	0	474	16906	0	0	0
0	0	278	328043	0.0614921	133.724	0	0	689	15941	0	0	0
0	0	279	330043	0.0614921	133.724	0	0	1754	15168	0	0	0
0	0	280	332043	0.0614921	133.724	0	0	4063	13586	0	0	0
0	0	281	334043	0.0614921	133.724	0	0	6679	11840	0	0	0
0	0	282	336043	0.0614921	133.724	0	0	8867	9179	0	0	0
0	0	283	338043	0.0614921	132.024	0	0	0	11305	6899	0	0
0	0	284	340043	0.0614921	132.024	0	0	0	13499	5142	12	0
0	0	285	342043	0.0614921	132.024	0	0	0	15494	3178	0	0
0	0	286	344043	0.0614921	132.024	0	0	0	17345	1846	0	0
0	0	287	346043	0.0614921	132.024	0	0	0	17404	666	501	0
0	0	288	348043	0.0614921	132.024	0	0	0	17005	81	859	0
0	0	289	350043	0.0614921	132.024	0	0	0	17213	0	71	0
0	0	291	354043	0.0614921	132.024	0	66	0	17883	0	0	0
0	0	294	360044	0.0614921	132.024	0	0	542	16195	0	0	0
0	0	295	362044	0.0614921	132.024	0	0	1807	15448	0	0	0
0	0	296	364044	0.0614921	132.024	0	0	3387	13004	0	0	0
0	0	297	366044	0.0614921	132.024	0	0	6113	11307	0	0	0
0	0	298	368044	0.0614921	132.024	0	0	8179	9313	0	0	0
0	0	299	370044	0.0614921	129.65	0	0	0	9242	7514	0	0
0	0	300	372044	0.0614921	129.65	0	0	0	12147	4905	0	0
0	0	301	374044	0.0614921	129.65	0	0	0	14473	2638	0	0
0	0	302	376044	0.0614921	129.65	0	0	0	16410	1292	0	0
0	0	303	378044	0.0614921	129.65	0	0	0	17978	113	69	0
0	0	304	380044	0.0614921	129.65	0	0	0	18591	0	298	0
0	0	305	382044	0.0614921	129.65	0	0	0	18295	0	20	0
0	0	307	386044	0.0614921	129.65	0	169	0	19539	0	0	0
0	0	308	388044	0.0614921	129.65	0	1116	0	19516	0	0	0
0	0	309	390044	0.0614921	129.65	0	678	0	19161	0	0	0
0	0	310	392045	0.0614921	129.65	0	154	310	17957	0	0	0
0	0	311	394045	0.0614921	129.65	0	358	1885	16458	0	0	0
0	0	312	396045	0.0614921	129.65	0	804	2862	14563	0	0	0
