bid	plane	slice	t_ns	extent	thresh	q-3	q-2	q-1	q+0	q+1	q+2	q+3
0	0	193	158028	0.0614925	282.15	0	0	221	18064	0	0	0
0	0	196	164028	0.0614925	282.15	0	236	0	18705	0	0	0
0	0	197	166028	0.0614925	282.15	0	2760	0	17031	0	0	0
0	0	198	168028	0.0614925	282.15	0	894	1192	16387	0	0	0
0	0	199	170028	0.0614925	282.15	0	29	4865	15281	0	0	0
0	0	200	172028	0.0614925	282.15	0	136	8570	12205	0	0	0
0	0	201	174029	0.0614925	291.006	0	0	0	10806	10204	0	0
0	0	202	176029	0.0614925	291.006	0	0	0	11911	8889	0	0
0	0	203	178029	0.0614925	291.006	0	0	0	14280	5661	0	0
0	0	204	180029	0.0614925	291.006	0	0	0	15543	3379	0	0
0	0	205	182029	0.0614925	291.006	0	0	0	16596	3598	0	0
0	0	206	184029	0.0614925	291.006	0	0	7	17555	2474	0	0
0	0	207	186029	0.0614925	291.006	0	0	0	16975	1071	0	0
0	0	208	188029	0.0614925	291.006	0	0	0	18067	273	0	0
0	0	211	194029	0.0614925	291.006	0	0	186	18629	90	0	0
0	0	212	196029	0.0614925	291.006	0	0	467	17745	0	0	0
0	0	213	198029	0.0614925	291.006	0	144	923	16338	0	0	0
0	0	214	200029	0.0614925	291.006	0	107	3663	15442	0	0	0
0	0	215	202030	0.0614925	291.006	0	0	5490	14626	0	0	0
0	0	216	204030	0.0614925	291.006	0	0	7959	12321	0	0	0
0	0	217	206030	0.0614925	291.006	0	0	10902	9764	2	0	0
0	0	218	208030	0.0614925	288.631	0	0	0	12560	6708	0	0
0	0	219	210030	0.0614925	288.631	0	0	0	15397	3181	8	0
0	0	220	212030	0.0614925	288.631	0	0	0	17342	1767	0	0
0	0	221	214030	0.0614925	288.631	0	0	0	18147	1431	0	0
0	0	222	216030	0.0614925	288.631	0	0	0	19589	531	0	0
0	0	223	218030	0.0614925	288.631	0	0	0	20715	490	0	0
0	0	224	220030	0.0614925	288.631	0	0	0	20141	286	0	0
0	0	225	222030	0.0614925	288.631	0	0	0	19475	513	0	0
0	0	226	224030	0.0614925	288.631	0	0	30	19328	242	0	0
0	0	227	226030	0.0614925	288.631	0	0	64	19519	0	0	0
0	0	228	228031	0.0614925	288.631	0	212	1031	18730	471	0	0
0	0	229	230031	0.0614925	288.631	0	555	2178	17475	563	0	0
0	0	230	232031	0.0614925	288.631	0	0	1996	17225	0	0	0
0	0	231	234031	0.0614925	288.631	0	0	4085	16218	0	0	0
0	0	232	236031	0.0614925	288.631	0	0	5908	14047	0	0	0
0	0	233	238031	0.0614925	288.631	0	0	9174	10405	0	0	0
0	0	234	240031	0.0614925	298.825	0	0	0	11401	8891	865	0
0	0	235	242031	0.0614925	298.825	0	0	0	13351	7133	907	0
0	0	236	244031	0.0614925	298.825	0	0	0	14615	4088	2319	0
0	0	237	246031	0.0614925	298.825	0	0	0	18626	2529	1644	0
