label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	rms	U	0	190.052	962	1.54628e+07	0.917793	1.02957	0.578353	0.194414	0.00972072	0.116827	0.125041	0	0.868377	1.02887
all	rms	U	1	384.119	963	1.54785e+07	1.13473	1.20844	0.822223	0.517674	0.0258837	0.503348	0.125041	0	0.798595	1.15233
all	rms	U	2	576.716	963	1.54782e+07	1.28727	1.34269	1.00748	0.868446	0.0434223	0.869267	0.125041	0	0.74525	1.29117
all	rms	U	3	769.319	963	1.54779e+07	1.4149	1.46161	1.16362	1.21726	0.0608628	1.21963	0.125041	0	0.702463	1.4161
all	rms	U	4	961.916	963	1.54776e+07	1.53051	1.5717	1.30114	1.56347	0.0781735	1.5652	0.125041	0	0.665694	1.53111
all	rms	U	5	1154.61	964	1.54934e+07	1.63753	1.67512	1.42552	1.90654	0.0953269	1.90759	0.125041	0	0.634335	1.63798
all	share	U	0	190.052	962	1.54628e+07	0.917793	1.02957	0.578353	0.18828	0.009414	0.116827	0.125041	0	0.868377	1.02887
all	share	U	1	384.119	963	1.54785e+07	1.13473	1.20844	0.822223	0.499849	0.0249925	0.503348	0.125041	0	0.798595	1.15233
all	share	U	2	576.716	963	1.54782e+07	1.28727	1.34269	1.00748	0.840096	0.0420048	0.869267	0.125041	0	0.74525	1.29117
all	share	U	3	769.319	963	1.54779e+07	1.4149	1.46161	1.16362	1.17995	0.0589975	1.21963	0.125041	0	0.702463	1.4161
all	share	U	4	961.916	963	1.54776e+07	1.53051	1.5717	1.30114	1.52592	0.0762958	1.5652	0.125041	0	0.665694	1.53111
all	share	U	5	1154.61	964	1.54934e+07	1.63753	1.67512	1.42552	1.86768	0.0933839	1.90759	0.125041	0	0.634335	1.63798
all	truth	U	0	190.052	962	1.54628e+07	0.917793	1.02957	0.578353	0.235859	0.0117929	0.116827	0.125041	0	0.868377	1.02887
all	truth	U	1	384.119	963	1.54785e+07	1.13473	1.20844	0.822223	0.516101	0.025805	0.503348	0.125041	0	0.798595	1.15233
all	truth	U	2	576.716	963	1.54782e+07	1.28727	1.34269	1.00748	0.869586	0.0434793	0.869267	0.125041	0	0.74525	1.29117
all	truth	U	3	769.319	963	1.54779e+07	1.4149	1.46161	1.16362	1.21874	0.0609372	1.21963	0.125041	0	0.702463	1.4161
all	truth	U	4	961.916	963	1.54776e+07	1.53051	1.5717	1.30114	1.56491	0.0782453	1.5652	0.125041	0	0.665694	1.53111
all	truth	U	5	1154.61	964	1.54934e+07	1.63753	1.67512	1.42552	1.90792	0.0953962	1.90759	0.125041	0	0.634335	1.63798
all	rms	V	0	190.379	962	1.54628e+07	0.91801	1.02995	0.578849	0.194637	0.00973183	0.117008	0.125041	0	0.867984	1.02873
all	rms	V	1	384.319	963	1.54785e+07	1.13439	1.20859	0.822436	0.517007	0.0258503	0.502568	0.125041	0	0.798811	1.15225
all	rms	V	2	576.918	963	1.54782e+07	1.28688	1.34282	1.00766	0.867439	0.0433719	0.868262	0.125041	0	0.74606	1.29103
