label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	rms	U	0	180.245	892	1.63292e+07	1.25566	1.01782	0.563232	0.78879	0.107649	0.85796	0.12504	0	0.783317	1.30934
all	rms	U	1	378.328	927	1.63516e+07	1.20499	1.20399	0.816001	0.668158	0.0351553	0.668283	0.12504	0	0.778094	1.23981
all	rms	U	2	576.12	941	1.63358e+07	1.30058	1.34231	1.00696	0.902875	0.0501697	0.903692	0.12504	0	0.745654	1.33137
all	rms	U	3	769.751	953	1.6337e+07	1.37188	1.46187	1.16394	1.09536	0.0547681	1.09977	0.12504	0	0.719178	1.40431
all	rms	U	4	961.037	940	1.63619e+07	1.49533	1.57121	1.30055	1.45539	0.0789104	1.45874	0.12504	0	0.687018	1.53156
all	rms	U	5	1151.48	969	1.63444e+07	1.54323	1.67349	1.42359	1.60312	0.080156	1.60759	0.12504	0	0.672956	1.58306
all	share	U	0	180.245	892	1.63292e+07	1.25566	1.01782	0.563232	0.588181	0.0294091	0.85796	0.12504	0	0.783317	1.30934
all	share	U	1	378.328	927	1.63516e+07	1.20499	1.20399	0.816001	0.620041	0.0310021	0.668283	0.12504	0	0.778094	1.23981
all	share	U	2	576.12	941	1.63358e+07	1.30058	1.34231	1.00696	0.837185	0.0418593	0.903692	0.12504	0	0.745654	1.33137
all	share	U	3	769.751	953	1.6337e+07	1.37188	1.46187	1.16394	1.03969	0.0519844	1.09977	0.12504	0	0.719178	1.40431
all	share	U	4	961.037	940	1.63619e+07	1.49533	1.57121	1.30055	1.31871	0.0713775	1.45874	0.12504	0	0.687018	1.53156
all	share	U	5	1151.48	969	1.63444e+07	1.54323	1.67349	1.42359	1.45321	0.0726605	1.60759	0.12504	0	0.672956	1.58306
all	truth	U	0	180.245	892	1.63292e+07	1.25566	1.01782	0.563232	0.918605	0.135009	0.85796	0.12504	0	0.783317	1.30934
all	truth	U	1	378.328	927	1.63516e+07	1.20499	1.20399	0.816001	0.734397	0.0477426	0.668283	0.12504	0	0.778094	1.23981
all	truth	U	2	576.12	941	1.63358e+07	1.30058	1.34231	1.00696	0.978859	0.0561233	0.903692	0.12504	0	0.745654	1.33137
all	truth	U	3	769.751	953	1.6337e+07	1.37188	1.46187	1.16394	1.18459	0.0592294	1.09977	0.12504	0	0.719178	1.40431
all	truth	U	4	961.037	940	1.63619e+07	1.49533	1.57121	1.30055	1.56631	0.0857085	1.45874	0.12504	0	0.687018	1.53156
all	truth	U	5	1151.48	969	1.63444e+07	1.54323	1.67349	1.42359	1.72906	0.086453	1.60759	0.12504	0	0.672956	1.58306
