sel	plane	n	q_frac	c_eff_mm	DT_eff	sig_mm	extent	t_us	meas_pm2	meas_beyond	gaus_pm2	gaus_beyond	exc_pm2	exc_beyond	exc_tail	sig_excess_mm
base	U	5744	1	3.59267	6.83664	3.78099	1.45519e-11	1015.55	0.0830703	0.0147797	0.0789963	0.00368886	0.00407401	0.0110909	0.0151649	1.59109
base	V	5081	1	3.13561	5.29224	3.31716	1.45519e-11	1106.76	0.0680971	0.0121259	0.0507035	0.00109572	0.0173937	0.0110302	0.0284239	1.91866
base	W	7442	1	0.963389	13.5282	1.937	1.45519e-11	1043.7	0.0581609	0.0169209	0.00200882	7.41195e-08	0.0561521	0.0169208	0.0730729	2.9419
oth2<0.05	U	597	0.0807886	3.30251	3.90483	3.41544	1.45519e-11	971.373	0.0796003	0.0116261	0.0564287	0.00146853	0.0231716	0.0101576	0.0333292	2.00347
oth2<0.05	V	518	0.0714753	2.86323	-1.98082	2.80739	1.45519e-11	799.234	0.0467815	0.00299516	0.024988	0.000153721	0.0217936	0.00284144	0.024635	1.56785
oth2<0.05	W	776	0.0740846	1.04305	13.2337	1.87053	1.45519e-11	910.911	0.0551322	0.0109174	0.00149134	2.82695e-08	0.0536409	0.0109174	0.0645583	2.68018
oth4<0.05	U	992	0.158487	3.21089	10.2752	3.49606	1.45519e-11	930.68	0.081623	0.0129581	0.0612568	0.00183815	0.0203662	0.01112	0.0314862	1.9895
oth4<0.05	V	826	0.143824	2.85132	5.88525	3.04641	1.45519e-11	977.545	0.0632482	0.00819804	0.0360916	0.000429707	0.0271566	0.00776833	0.034925	1.97297
oth4<0.05	W	2287	0.310743	-0.31431	15.273	1.74414	1.45519e-11	1028.23	0.0464814	0.0122614	0.000781572	3.37397e-09	0.0456998	0.0122614	0.0579613	2.59456
adv<0.10	U	949	0.146455	3.72346	-1.72284	3.67306	1.45519e-11	1081.75	0.079941	0.0150544	0.0721803	0.00287984	0.00776071	0.0121745	0.0199353	1.75092
adv<0.10	V	895	0.153781	3.36804	2.15774	3.4429	1.45519e-11	1181.49	0.0785933	0.0172722	0.0580613	0.00158766	0.0205321	0.0156845	0.0362166	2.2064
adv<0.10	W	1698	0.229831	-1.68366	31.4816	1.81089	1.45519e-11	971.048	0.05968	0.0192339	0.0011151	1.09239e-08	0.0585649	0.0192339	0.0777987	3.0585
rr>30cm	U	4906	0.874237	3.58881	7.19373	3.79055	1.45519e-11	1034.71	0.0844966	0.0148812	0.0796042	0.00376742	0.0048924	0.0111138	0.0160062	1.61475
rr>30cm	V	4325	0.870499	3.16541	5.82174	3.36349	1.45519e-11	1110.69	0.0691598	0.0125559	0.053379	0.00126141	0.0157808	0.0112945	0.0270753	1.89538
rr>30cm	W	6579	0.900353	0.632014	15.8185	1.93199	1.45519e-11	1053.55	0.0583642	0.0162986	0.00196591	6.91429e-08	0.0563983	0.0162985	0.0726968	2.92383
iso+straight+rr	U	143	0.024954	3.2774	4.9676	3.45533	1.45519e-11	1205.75	0.080905	0.0119087	0.0588042	0.00164383	0.0221008	0.0102648	0.0323657	1.98534
iso+straight+rr	V	109	0.0175277	2.70982	12.9539	3.17923	1.45519e-11	1067	0.0578702	0.0046202	0.0430234	0.000697995	0.0148468	0.00392221	0.018769	1.4368
iso+straight+rr	W	536	0.0741684	-1.26534	15.7132	1.222	1.45519e-11	984.647	0.0579407	0.015976	7.27998e-06	2.64339e-16	0.0579335	0.015976	0.0739095	2.93651
