run	event	wall_s	peak_rss_gb
039252	298567	3.13	0.35
039252	298581	4.29	0.41
039252	298595	5.08	0.41
039252	298609	4.99	0.42
039252	298623	4.15	0.41
039252	298637	3.15	0.37
039252	298651	5.74	0.37
039252	298665	4.43	0.41
039252	298679	5.72	0.40
039252	298693	3.05	0.37
039252	298707	5.94	0.42
039252	298721	6.22	0.42
039252	298735	3.42	0.37
039252	298749	5.19	0.42
039252	298763	4.88	0.42
039252	298777	4.91	0.39
039252	298791	5.69	0.41
039252	298805	5.13	0.39
039253	49686	4.68	0.42
039253	49706	6.47	0.41
039253	49726	5.01	0.39
039253	49746	6.24	0.41
039253	49766	5.62	0.39
039253	49786	5.35	0.41
039253	49806	6.37	0.41
039253	49826	6.52	0.40
039253	49846	4.36	0.40
039253	49866	4.18	0.40
039253	49886	6.86	0.41
039253	49906	5.57	0.37
039253	49926	6.33	0.39
039253	49946	4.90	0.42
039253	49966	5.43	0.38
039253	49986	3.88	0.40
039253	50006	3.91	0.37
039253	50026	6.52	0.41
039349	19409	4.89	0.41
039349	19429	4.95	0.38
039349	19449	4.95	0.41
039349	19469	5.55	0.36
039349	19489	5.97	0.41
039349	19509	7.72	0.41
039349	19529	5.11	0.41
039349	19549	6.55	0.40
039349	19569	5.77	0.41
039349	19589	4.72	0.38
039349	19609	6.08	0.40
039349	19629	6.21	0.40
039349	19649	7.48	0.38
039349	19669	5.69	0.41
039349	19689	4.95	0.41
039349	19709	5.25	0.40
039349	19729	5.36	0.40
039349	19749	4.44	0.36
039349	19769	5.04	0.41
039349	19789	6.58	0.39
039349	19809	5.78	0.41
039349	19829	4.55	0.36
039349	19849	6.22	0.39
039349	19869	5.45	0.39
039349	19889	5.74	0.41
039349	19909	4.89	0.41
039349	19929	6.46	0.40
039349	19949	5.48	0.40
039349	22777	5.16	0.40
039349	22797	6.24	0.39
039349	22817	6.06	0.40
039349	22837	4.66	0.35
039349	22857	4.22	0.38
039349	22877	5.52	0.38
039349	22897	6.60	0.33
039349	22917	5.63	0.41
039349	22937	6.22	0.36
039349	22957	5.14	0.41
039349	22977	4.86	0.35
039349	22997	5.33	0.39
039349	23017	5.82	0.40
039349	23037	4.49	0.41
039349	23057	5.86	0.41
039349	23077	5.02	0.35
039349	23097	5.77	0.38
039349	23117	6.49	0.36
039349	23137	5.77	0.41
039349	23157	6.62	0.32
039349	23177	5.20	0.38
039349	23197	5.64	0.36
039349	23217	5.93	0.40
039349	23237	5.06	0.37
039349	23257	6.02	0.41
039349	23277	5.44	0.36
039349	23297	6.03	0.41
039349	23317	5.38	0.38
039349	55766	4.95	0.35
039349	55786	4.41	0.41
039349	55806	4.56	0.40
039349	55826	4.00	0.36
039349	55846	4.00	0.34
039349	55866	4.29	0.31
039349	55886	4.92	0.38
039349	55906	4.25	0.36
039349	55926	4.98	0.37
039349	55946	4.48	0.41
039349	55966	4.28	0.32
039349	55986	4.54	0.41
039349	56006	4.25	0.33
039349	56026	4.49	0.41
039349	56046	4.11	0.36
039349	56066	4.98	0.39
039349	56086	4.66	0.40
039349	56106	4.55	0.39
039349	56126	4.33	0.33
039349	56146	4.12	0.32
039349	56166	4.03	0.34
039349	56186	4.74	0.39
039349	56206	4.49	0.41
039349	56226	4.19	0.34
039349	56246	4.70	0.40
039349	56266	4.22	0.33
039349	56286	4.60	0.40
039349	56306	4.47	0.41
