stage	sum_s	share	max_s	max_event
TaggerCheckNeutrino:pr	822.2	0.6421	365.7	039252/5
TaggerCheckSTM:pr	204.4	0.1597	47.1	039252/5
CreateSteinerGraph:pr	185.2	0.1447	66.2	039252/8
TaggerCheckTGM:pr	24.1	0.0188	11.6	039252/8
CreateSteinerGraph:prrefresh	11.2	0.0088	9.0	039252/5
ClusteringProtectBundle:pr	9.7	0.0075	8.5	039252/5
done	7.9	0.0062	1.6	039252/5
PrDisplayDump:pr	5.2	0.0040	1.2	039253/11
loaded live	4.5	0.0035	0.8	039252/5
PdvdPrMagnifyTrackingVisitor:pr	1.3	0.0011	0.2	039253/11
ClusteringSwitchScope:pr	1.0	0.0008	0.2	039252/5
TaggerCheckFC:pr	0.9	0.0007	0.2	039252/8
loaded dead	0.9	0.0007	0.2	039252/5
ClusteringFlagMatchedMains:pr	0.7	0.0006	0.1	039252/8
PdvdMagnifyTrackingVisitor:pr	0.7	0.0005	0.1	039252/15
dump live clusters to bee	0.4	0.0003	0.1	039252/8
UbooneTaggerOutputVisitor:pr	0.2	0.0001	0.0	039252/5
dump dead regions to bee	0.0	0.0000	0.0	039252/8
MakeFiducialUtils:pr	0.0	0.0000	0.0	039252/15
pre clustering	0.0	0.0000	0.0	039349/7
start clustering	0.0	0.0000	0.0	039252/8
