run	idx	event	wall_s	peak_rss_gb	ql_took_ms	prefit_ms	xtpc_cull_ms	fit_ms	output_ms	build_bundles_ms	decompose_ms	vis_loop_ms	cand_pts	nflash	ngroups
039252	0	298567	20	0.68	4981	4376.4	142.9	123.0	338.7	4031.2	52.2	682.2	1909974	192	108
039252	10	298707	29	0.80	7221	6236.9	401.4	143.4	439.8	5786.6	66.3	1127.4	3384168	216	121
039252	11	298721	32	0.79	8076	7225.7	231.9	109.9	508.5	6772.8	78.8	1562.5	4678268	240	110
039252	12	298735	51	1.04	8197	7272.0	169.9	233.5	522.3	6727.0	85.0	2120.4	6387461	227	135
039252	13	298749	31	0.74	7425	6633.1	251.8	141.9	398.8	6251.6	61.1	1590.5	4593699	221	98
039252	14	298763	63	1.24	10386	9417.5	146.9	202.2	620.1	8778.6	105.1	3386.0	11682942	241	123
039252	15	298777	40	0.95	9893	8934.1	346.7	82.2	530.1	8314.6	96.7	2001.7	6320517	240	124
039252	16	298791	60	1.19	10611	9650.3	165.0	117.2	679.4	8880.2	114.4	2465.7	7639211	213	129
039252	17	298805	47	1.02	10846	9778.5	266.5	166.6	634.7	9202.5	92.7	2399.0	7565481	254	121
039252	1	298581	53	1.03	8918	8052.5	143.8	166.5	555.5	7461.0	95.4	2060.8	6086474	217	123
039252	2	298595	51	0.96	9296	8176.7	478.0	170.8	470.5	7693.4	79.0	2750.9	9487811	231	132
039252	3	298609	34	0.83	8508	7716.1	172.7	125.6	494.4	7212.1	81.1	1860.7	5338408	222	115
039252	4	298623	55	1.04	8384	7410.0	215.8	220.8	538.4	6832.0	101.2	1992.4	5731961	211	139
039252	5	298637	78	1.13	7654	6743.6	141.6	137.4	632.1	6106.5	99.5	1862.7	5996741	227	120
039252	6	298651	47	0.96	8252	7426.7	210.5	68.6	546.8	6861.3	87.8	2911.4	9909834	241	122
039252	7	298665	34	0.86	8105	7166.6	284.5	213.3	440.9	6674.9	74.8	1843.1	5384040	222	118
039252	8	298679	78	1.17	8083					6652.3	96.3	3314.2	12184970	229	120
039252	9	298693	33	0.83	7753	6833.5	276.7	168.3	475.2	6384.9	69.8	1606.2	4690345	218	115
039253	0	49686	30	0.93	7633	6664.6	281.7	271.1	416.2	6192.7	69.8	1271.0	3783621	220	131
039253	10	49886	24	0.70	5152	4624.2	82.8	97.8	347.5	4226.4	59.0	782.7	2008654	177	103
039253	11	49906	66	1.19	9819	8726.2	226.4	274.6	592.7	8086.9	97.5	2688.1	8450081	231	138
039253	12	49926	34	0.82	7802	6742.6	453.2	126.1	480.4	6303.3	72.6	1800.9	6300369	234	116
039253	13	49946	32	0.84	8345	7494.4	214.9	138.0	498.2	7022.7	73.2	1265.3	3884178	238	119
039253	14	49966	39	0.98	9269	8202.3	365.9	239.6	462.1	7665.9	102.8	2000.4	6193696	248	137
039253	15	49986	34	0.83	8296	7499.9	233.5	153.4	409.8	7086.3	65.7	2085.1	6595154	245	113
039253	16	50006	20	0.69	5011	4156.8	231.6	237.4	385.5	3862.3	47.1	695.8	1853691	193	120
039253	17	50026	48	0.98	9396	8485.8	208.2	148.4	553.8	7934.6	81.6	2687.2	9121007	237	127
039253	1	49706	48	1.03	7420	6453.3	262.3	196.6	507.9	5932.2	83.0	2496.3	9075700	226	125
039253	2	49726	56	1.13	8507	7581.2	143.0	251.3	532.4	7004.4	88.0	2972.6	10418147	245	115
039253	3	49746	19	0.58	4586	4072.0	134.2	74.7	306.1	3766.0	46.5	699.3	1857244	202	97
039253	4	49766	34	0.79	6788	6042.1	228.9	125.1	392.8	5629.3	63.3	1709.8	5019014	234	115
039253	5	49786	59	1.12	9838	8730.5	316.8	203.9	587.8	8097.8	98.4	2948.4	9663112	228	131
039253	6	49806	34	0.88	7164	6239.5	236.5	249.7	438.8	5836.0	65.7	1741.9	5405263	232	129
039253	7	49826	34	0.76	6631	6075.7	61.0	100.2	394.5	5632.0	64.1	1156.5	3223722	213	107
039253	8	49846	52	1.07	10939	9855.9	392.9	81.9	609.3	9198.1	108.1	3010.7	8764423	234	112
039253	9	49866	51	1.02	7950	7041.1	178.6	189.6	540.8	6482.4	90.2	2470.1	8366895	213	126
039349	0	19409	26	0.50	6286	5671.9	63.5	180.4	371.1	5300.3	68.4	1220.2	1695285	166	77
039349	10	19609	39	0.62	7701	6977.8	146.8	134.2	442.2	6436.6	91.1	1856.8	3573674	167	71
039349	11	19629	31	0.47	6756	6244.7	34.1	129.0	349.1	5886.8	68.5	1635.7	2652339	177	67
039349	12	19649	33	0.51	6464	5639.8	307.6	126.4	391.1	5233.7	72.0	1485.6	2025714	161	70
039349	13	19669	24	0.49	5767	5098.5	134.4	194.6	340.4	4727.8	62.1	970.1	1468783	152	74
039349	14	19689	28	0.48	6354	5734.9	132.8	64.2	422.6	5297.0	83.3	936.4	1581141	151	63
