# shape fit on run 039252 (file 0) pulses only; 1727 pulses harvested (doc 11: 1727), 857 file-0 pulses with the full [-30, 700) window
  chan   n     ff     bi  tau_i  tau_s  sigma     rms
  1010  54  0.300  0.495   8.41   62.0   0.73  0.0118
  1011  53  0.278  0.308   8.01   80.0   0.98  0.0210
  1020  54  0.249  0.281   6.27  114.8   0.75  0.0156
  1021  54  0.251  0.457   5.76   86.2   0.97  0.0168
  1030  53  0.292  0.464   6.96   75.9   0.74  0.0143
  1031  54  0.268  0.420   7.39   85.5   0.74  0.0156
  1040  53  0.229  0.472   5.21   72.9   0.94  0.0157
  1041  54  0.219  0.360   6.07  117.0   0.75  0.0136
  1050  54  0.319  0.438   7.67   84.3   0.76  0.0139
  1051  53  0.301  0.299   8.00   80.0   1.00  0.0189
  1060  53  0.201  0.198   5.28  114.2   0.75  0.0118
  1061  54  0.290  0.461   6.97   85.5   0.74  0.0138
  1070  54  0.240  0.374   6.26   73.9   1.00  0.0164
  1071  54  0.301  0.347   8.00   80.0   0.98  0.0148
  1080  53  0.000  0.351   2.49  108.0   0.91  0.0159
  1081  53  0.000  0.405   3.15  112.1   0.57  0.0175
per-pulse prompt-fraction spread (other parameters fixed per channel), n 857: [16,84] = [-0.036, +0.031] -> sim sigma_ff 0.034
