# doc qlmatch/35 C4 -- candidates with no truth, per arm; key in q35ctl's id space, the arm's own key, is_stm, michel_found
# arm	key	native_key	is_stm	michel_found
q35ctl	039253_2/76	039253_2/76	1	1
q35ctl	039349_14/44	039349_14/44	1	0
q35ctl	039349_15/41	039349_15/41	0	0
q35ctl	039349_16/41	039349_16/41	0	0
q35ctl	039349_39/48	039349_39/48	1	0
q35ctl	039349_39/58	039349_39/58	0	1
q35ctl	039349_46/63	039349_46/63	1	0
q35ctl	039349_64/70	039349_64/70	0	0
q35ctl	039349_77/40	039349_77/40	1	1
q35ctl	039349_82/19	039349_82/19	0	0
q35tk	039252_0/T74	039252_0/74	0	0
q35tk	039252_12/T100	039252_12/100	0	0
q35tk	039252_13/T92	039252_13/92	1	1
q35tk	039252_17/T29	039252_17/29	1	0
q35tk	039252_17/T75	039252_17/75	0	0
q35tk	039252_6/T39	039252_6/39	0	0
q35tk	039252_8/T111	039252_8/111	1	0
q35tk	039252_8/T99	039252_8/99	1	0
q35tk	039253_2/76	039253_2/74	1	1
q35tk	039253_2/T101	039253_2/101	1	1
q35tk	039253_2/T91	039253_2/91	0	0
q35tk	039349_10/T72	039349_10/72	1	1
q35tk	039349_14/44	039349_14/42	1	0
q35tk	039349_15/41	039349_15/41	0	0
q35tk	039349_19/T24	039349_19/24	0	0
q35tk	039349_22/T63	039349_22/63	1	0
q35tk	039349_26/T56	039349_26/56	0	0
q35tk	039349_27/T52	039349_27/52	0	1
q35tk	039349_3/T15	039349_3/15	1	0
q35tk	039349_33/T63	039349_33/63	0	1
q35tk	039349_39/48	039349_39/46	1	0
q35tk	039349_39/58	039349_39/56	0	1
q35tk	039349_46/63	039349_46/63	1	0
q35tk	039349_52/T53	039349_52/53	0	0
q35tk	039349_6/T58	039349_6/58	1	0
q35tk	039349_64/70	039349_64/68	0	0
q35tk	039349_69/T48	039349_69/48	0	0
q35tk	039349_7/T29	039349_7/29	1	0
q35tk	039349_77/40	039349_77/40	1	1
q35tk	039349_8/T61	039349_8/61	1	0
q35tk	039349_80/T35	039349_80/35	1	1
q35tk	039349_80/T62	039349_80/62	0	1
q35tk	039349_82/19	039349_82/19	0	0
