run	ch	type	group	x	y	z	n_flash	frac_nonzero	sum_pe	med_evt_max	peer_ratio	b_meas	b_pred	meas_pred_cur	type_factor	meas_pred_official
039252	0	0	wall XA TOP (+x)	305.6	417.6	149.7	4291	0.2118	70798.0	747.17	0.363	15715.9	18977.6	0.8281	1.655	1.3706
039252	1	0	wall XA TOP (+x)	305.6	-417.6	149.7	4291	0.1079	74288.9	2311.01	3.093	16958.7	19603.7	0.8651	1.655	1.4317
039252	2	0	wall XA TOP (+x)	229.0	417.6	149.7	4291	0.1636	24582.2	237.96	0.116	7601.2	32071.8	0.2370	1.655	0.3922
039252	3	0	wall XA TOP (+x)	229.0	-417.6	149.7	4291	0.2358	165312.6	2060.05	2.757	65380.7	33509.5	1.9511	1.655	3.2291
039252	4	0	cathode XA (ref)	-0.0	123.8	258.5	4291	0.8045	1328209.2	11712.24	1.087	625828.7	137983.9	4.5355	10.116	45.8813
039252	5	0	cathode XA (ref)	-0.0	-213.2	258.5	4291	0.7742	1646908.5	10775.80	0.920	750663.0	134522.6	5.5802	10.116	56.4493
039252	6	0	cathode XA (ref)	-0.0	290.4	187.3	4291	0.7821	1367987.2	11788.28	1.094	674996.6	163822.2	4.1203	10.116	41.6810
039252	7	0	cathode XA (ref)	-0.0	-46.6	187.3	4291	0.7593	1364083.9	7343.28	0.627	659177.6	111647.0	5.9041	10.116	59.7261
039252	8	0	cathode XA (ref)	-0.0	42.6	112.0	4291	0.7718	2176658.7	14002.11	1.299	983112.3	145575.6	6.7533	10.116	68.3161
039252	9	0	cathode XA (ref)	-0.0	-213.2	112.0	4291	0.7968	2176534.2	12641.76	1.173	1056750.2	154421.1	6.8433	10.116	69.2268
039252	10	0	cathode XA (ref)	-0.0	209.1	40.8	4291	0.7688	1492378.2	10031.99	0.857	668602.5	128462.7	5.2046	10.116	52.6502
039252	11	0	cathode XA (ref)	-0.0	-127.9	40.8	4291	0.7698	1346520.3	6725.05	0.574	627799.4	189664.0	3.3101	10.116	33.4846
039252	12	0	wall XA BOTTOM (-x)	-201.1	417.6	149.7	4291	0.1662	98917.0	1274.88	1.077	22207.3	31036.6	0.7155	1.655	1.1842
039252	13	0	wall XA BOTTOM (-x)	-201.1	-417.6	149.7	4291	0.1720	9197.1	72.16	0.057	4907.0	0.0	nan	1.655	nan
