# doc pdvd/98 -- STM+Michel candidates for the drift-regressor validation (d98_michel_crops.py --census)
# PDHD h28prod pop strict, record /nfs/data/1/xqian/toolkit-dev/wcp-porting-img/pdhd/docs/scan/pdhd_stm_michel_smx27_verdicts.json; PDVD p96vprod record /nfs/data/1/xqian/toolkit-dev/wcp-porting-img/pdvd/docs/scan/pdvd_stm_michel_smx1a_smx3_smx4_smx5_smx6_smx7_smx8_smx9_verdicts.json
# selected=1 rows are cropped; `why` names the first failed rule; d97 = doc pdvd/97 showcase class
det	key	kind	source	conn_type	ratio	muon_len	michel_len	ke_best	ke_region	kink_deg	q2d_raw_w	q2d_mu_w	q2d_ovl	n_stop_gammas	n_dots	t0_us	stop_x	stop_y	stop_z	apa	face	n_apaface	d97	selected	why
pdvd	039252_0/75	attached	flat	2	0.7023	320.4	9	24.84	46.69	-1	1.513e+06	1.683e+04	0.01113	0	3	4450	76.03	-205.3	104.2	-1	-1	0		0	retreat/split/near_arm
pdvd	039252_0/82	both	flat	1	0.9987	107.4	4.966	17.51	22.64	39.11	4.796e+05	8.645e+04	0.1803	1	1	5945	179.1	-302.4	277.4	5	1	1		1	
pdvd	039252_1/30	both	flat	1	0.7333	132.7	15.41	42.6	53.72	58.27	1.168e+06	5.302e+04	0.0454	0	1	1437	-167.5	38.22	116.1	2	0	1		1	
pdvd	039252_10/73	attached	flat	1	0.7747	350.1	7.594	19.83	25.39	48.45	6.013e+05	1.811e+05	0.3012	0	0	3696	34.68	-230.6	160.1	5	1	1		1	
pdvd	039252_12/123	attached	flat	0	0.5926	265.4	0	0	8.017	-1	0	0	-1	0	0	2595	19.45	263	162	-1	-1	0		0	not Bragg-path accept / michel_found
pdvd	039252_12/95	both	flat	1	0.6699	155.1	10.8	27.32	48.33	37.95	8.313e+05	1.516e+05	0.1824	0	0	3557	169.3	6.533	76.48	6	0	1		1	
pdvd	039252_14/37	both	flat	2	0.9123	100.6	7.481	10.77	23.55	-1	2.37e+05	0	0	0	1	4338	-248.9	311.9	122.8	2	1	1		1	
pdvd	039252_14/81	both	flat	2	0.8116	105.6	6.013	25.35	34.28	-1	7.676e+05	8.063e+04	0.105	0	3	5280	242.7	-289.5	125.2	4	1	1		1	
pdvd	039252_15/77	attached	flat	2	1.106	113.1	16.08	76.76	31.42	-1	1.177e+06	3.594e+05	0.3053	0	2	6200	176.1	-107	219.4	-1	-1	0		0	ke_best 76.8
pdvd	039252_15/81	both	flat	1	1.021	206.4	9.397	22.03	34.43	81.72	7.038e+05	2.199e+05	0.3124	0	1	2667	302.8	27.92	108.5	6	0	1		1	
pdvd	039252_15/82	attached	flat	1	1.005	34.71	4.932	13.13	42.03	125.9	4.362e+05	1.392e+05	0.319	0	0	4824	332	43.11	19.26	6	0	1		1	
pdvd	039252_15/91	both	flat	1	0.9178	180.5	11.18	38.16	29.8	36.35	9.201e+05	1.4e+05	0.1521	0	1	4513	183.4	175	248.7	7	1	1		1	
