# doc pdvd/70 P1 -- smx4 KEY (do not show the scanner). group: rec_stopper = record stopper (an is_stm FN), rec_thru = record THRU (a TN). p1 = P1 at KE>=10 MeV, len>=3 cm clears the item.
scan_id	key	group	record_verdict	record_confidence	record_source	rejudge	p1	michel_conn	michel_ke	michel_len	reject_names
1	039252_7/98	rec_stopper	STM_MICHEL	medium	smx1a	0	1	1	14.2	4.1	no_bragg,shape_flat
2	039253_13/39	rec_stopper	STM_MICHEL	medium	smx1a	0	1	2	45.3	15.7	shape_flat
3	039253_3/66	rec_stopper	STM_MICHEL	owner	owner-smx3	1	1	1	36.9	15.0	shape_flat
4	039253_0/102	rec_stopper	STM_MICHEL	medium	smx1a	0	1	2	17.3	5.2	no_bragg,shape_flat
5	039349_36/46	rec_stopper	STM_MICHEL	owner	owner-smx3	1	0	1	4.6	1.8	shape_flat
6	039349_82/54	rec_stopper	STM_MICHEL	medium	smx1a	0	1	2	27.1	22.1	profile_sparse
7	039349_83/23	rec_thru	THRU	high	smx1a	0	0	1	1.7	0.8	no_bragg,shape_flat
8	039349_63/55	rec_stopper	STM_MICHEL	medium	smx1a	0	0	1	3.3	3.8	shape_flat
9	039349_51/24	rec_stopper	STM_MICHEL	high	smx1a	0	1	1	20.2	10.2	shape_flat
10	039349_12/45	rec_thru	FRAG_THRU	medium	smx1a	0	0	1	9.3	2.5	profile_sparse
11	039349_27/41	rec_stopper	STM_MICHEL	medium	smx1a	0	0	1	8.1	3.5	shape_flat,stop_near_boundary
12	039349_39/56	rec_thru	THRU	medium	smx1a	0	1	1	29.0	7.9	no_bragg,shape_flat
13	039253_8/64	rec_stopper	STM_MICHEL	high	smx1a	0	0	1	14.1	2.5	shape_flat
14	039349_10/27	rec_thru	THRU	high	smx1a	0	0	1	2.0	1.1	no_bragg,shape_flat
15	039349_38/57	rec_stopper	STM_MICHEL	medium	smx1a	0	0	1	5.2	2.0	shape_flat
16	039349_45/25	rec_thru	FRAG_THRU	medium	smx1a	0	1	1	27.2	8.4	no_bragg,shape_flat
17	039349_19/52	rec_stopper	STM_MICHEL	medium	smx1a	0	0	1	5.9	4.2	no_bragg
18	039349_28/60	rec_stopper	STM_MICHEL	medium	smx1a	0	1	1	11.8	19.2	no_bragg,shape_flat
19	039349_5/65	rec_stopper	STM_MICHEL	high	smx1a	0	1	2	34.7	8.2	shape_flat,continuation
20	039349_78/22	rec_thru	THRU	high	smx1a	0	0	2	21.6	2.3	shape_flat,continuation,stop_near_boundary
21	039253_15/105	rec_stopper	STM_MICHEL	high	smx1a	0	1	1	23.5	9.5	shape_flat
22	039349_70/61	rec_stopper	STM_MICHEL	medium	smx1a	0	0	1	5.9	4.1	no_bragg,shape_flat
23	039252_12/90	rec_thru	THRU	high	smx1a	0	0	2	4.1	0.9	no_bragg,shape_flat
24	039349_41/51	rec_stopper	STM_MICHEL	medium	smx1a	0	1	1	25.4	6.5	shape_flat,profile_sparse
25	039349_63/41	rec_stopper	STM_MICHEL	medium	smx1a	0	1	2	46.3	7.9	no_bragg,shape_flat
26	039253_12/93	rec_stopper	STM_MICHEL	owner	owner-smx3	1	0	1	4.6	2.6	no_bragg,shape_flat
27	039349_54/56	rec_stopper	STM_MICHEL	medium	smx1a	0	0	2	12.3	2.2	shape_flat,profile_sparse
28	039252_16/98	rec_stopper	STM_MICHEL	high	smx1a	0	1	2	23.8	9.2	shape_flat
29	039252_2/103	rec_stopper	STM_MICHEL	medium	smx1a	0	0	1	28.9	4.4	stop_near_boundary
30	039252_3/45	rec_thru	THRU	low	smx1a	0	1	1	24.8	8.1	shape_flat,profile_sparse
31	039349_22/56	rec_stopper	STM_ONLY	medium	smx1a	0	0	2	13.6	2.3	no_bragg,shape_flat
32	039349_76/23	rec_thru	THRU	medium	smx1a	0	0	2	0.7	1.3	no_bragg,shape_flat,vertex_hadron
33	039349_5/54	rec_stopper	STM_MICHEL	medium	smx1a	0	1	1	27.9	5.3	no_bragg
34	039253_6/90	rec_stopper	STM_MICHEL	medium	smx1a	0	0	1	9.6	2.3	profile_sparse
35	039349_68/63	rec_stopper	STM_MICHEL	medium	smx1a	0	0	1	6.9	1.3	no_bragg,shape_flat
36	039349_35/30	rec_thru	THRU	medium	smx1a	0	0	1	4.7	5.5	shape_flat,stop_near_boundary
37	039252_6/114	rec_thru	THRU	high	smx1a	0	0	1	3.8	1.7	no_bragg,shape_flat
38	039349_22/22	rec_stopper	STM_MICHEL	high	smx1a	0	1	1	14.2	11.2	no_bragg,shape_flat
39	039253_2/77	rec_stopper	STM_MICHEL	medium	smx1a	0	1	1	19.8	13.4	no_bragg,shape_flat
40	039349_2/56	rec_stopper	STM_MICHEL	medium	smx1a	0	1	2	13.1	6.5	no_bragg,shape_flat
41	039349_22/41	rec_stopper	STM_MICHEL	high	smx1a	0	1	1	10.3	5.4	shape_flat
42	039253_13/73	rec_stopper	STM_MICHEL	owner	owner-smx3	1	1	2	30.5	9.8	shape_flat
43	039349_48/54	rec_stopper	STM_MICHEL	low	smx1a	0	1	1	43.1	5.1	no_bragg,shape_flat
44	039349_81/51	rec_thru	THRU	medium	smx1a	0	1	2	12.9	4.8	shape_flat
45	039349_56/36	rec_stopper	STM_MICHEL	high	smx1a	0	1	1	32.7	10.2	shape_flat
46	039252_9/94	rec_stopper	STM_MICHEL	medium	smx1a	0	1	1	25.1	4.6	shape_flat
47	039252_7/99	rec_stopper	STM_MICHEL	high	smx1a	0	1	1	29.4	5.4	shape_flat
48	039349_0/68	rec_thru	THRU	high	smx1a	0	0	1	5.9	2.1	no_bragg,shape_flat
49	039252_9/52	rec_stopper	STM_MICHEL	high	smx1a	0	1	1	24.0	6.6	shape_flat
50	039349_22/63	rec_stopper	STM_MICHEL	high	smx1a	0	1	2	50.7	7.9	shape_flat
51	039349_26/40	rec_stopper	STM_MICHEL	medium	smx1a	0	1	1	20.9	12.1	no_bragg,shape_flat
52	039349_61/21	rec_stopper	STM_MICHEL	medium	smx1a	0	1	1	12.0	6.3	shape_flat,profile_sparse
53	039253_8/31	rec_thru	THRU	high	smx1a	0	0	1	7.0	2.4	no_bragg,shape_flat
54	039252_8/82	rec_stopper	STM_MICHEL	medium	smx1a	0	0	1	6.0	1.8	no_bragg,shape_flat
