# doc pdvd/70 P1 -- smx4, PDVD. Production (d68a3) reads is_stm 0 / michel_found 1 on every item; order shuffled (seed 70); the group key is kept in a separate file.
# built by d70_build_smx4.py from prep=/home/xqian/tmp/d68/prep_d68a3
scan_id	tranche	event	cluster	npts	muon_len_cm
1	1	039252_7	98	190	113.4
2	1	039253_13	39	84	50.0
3	1	039253_3	66	273	162.1
4	1	039253_0	102	25	14.4
5	1	039349_36	46	244	145.8
6	1	039349_82	54	20	11.2
7	1	039349_83	23	355	210.7
8	1	039349_63	55	303	180.8
9	1	039349_51	24	446	281.3
10	1	039349_12	45	155	120.4
11	1	039349_27	41	115	70.8
12	1	039349_39	56	240	142.9
13	1	039253_8	64	38	22.2
14	1	039349_10	27	404	238.1
15	1	039349_38	57	459	274.6
16	1	039349_45	25	81	47.4
17	1	039349_19	52	314	186.7
18	1	039349_28	60	225	147.9
19	1	039349_5	65	58	34.2
20	1	039349_78	22	277	163.5
21	1	039253_15	105	953	577.7
22	1	039349_70	61	466	279.5
23	1	039252_12	90	210	125.7
24	1	039349_41	51	271	162.9
25	1	039349_63	41	141	84.0
26	1	039253_12	93	175	103.8
27	1	039349_54	56	42	24.4
28	1	039252_16	98	28	16.2
29	1	039252_2	103	153	91.5
30	1	039252_3	45	23	13.2
31	1	039349_22	56	93	54.1
32	1	039349_76	23	475	282.4
33	1	039349_5	54	527	315.8
34	1	039253_6	90	116	159.7
35	1	039349_68	63	172	102.0
36	1	039349_35	30	136	80.9
37	1	039252_6	114	361	224.7
38	1	039349_22	22	113	67.0
39	1	039253_2	77	547	324.8
40	1	039349_2	56	225	136.5
41	1	039349_22	41	283	172.1
42	1	039253_13	73	221	131.1
43	1	039349_48	54	210	123.9
44	1	039349_81	51	120	72.2
45	1	039349_56	36	365	218.4
46	1	039252_9	94	198	118.2
47	1	039252_7	99	548	328.8
48	1	039349_0	68	469	279.3
49	1	039252_9	52	48	28.4
50	1	039349_22	63	721	439.3
51	1	039349_26	40	45	27.4
52	1	039349_61	21	195	115.1
53	1	039253_8	31	644	384.6
54	1	039252_8	82	277	166.3
