event	cert_crp	cert_tick	cert_xraw	beam_flash_id	beam_flash_dt	beam_flash_pe	n_matched_to_beam	matched_clusters	matched_apa	matched_xraw	matched_depth_cm	matched_npts	matched_hits_cert	matched_ks	matched_pred_over_meas	cert_clusters	cert_cluster_matched_flash	cert_cluster_flash_dt
2001	5	2177	178.7	219	-0.41	64251	0									4000003(apa4,24431/36297) 4000071(apa4,256/1356) 4000092(apa4,94/3722) 	235 191 246 	+259 -298 +410 
36591	4	2305	169.3	180	-1.03	14807	0									4000038(apa4,3489/3498) 4000040(apa4,293/9128) 4000160(apa4,115/4368) 	219 108 214 	+457 -977 +402 
69596	6	2192	177.6	199	-0.68	1241	1	4000169 	4 	[-97,-59] 	[335,373] 	15 	0 	0.47 	0.02 	4000006(apa4,7589/14489) 4000001(apa4,170/2998) 4000004(apa4,159/4804) 	217 217 169 	+321 +321 -358 
157312	4	2170	179.3	192	-1.32	41416	2	4000090 4000172 	4 4 	[-22,57] [-61,-43] 	[219,298] [319,337] 	1891 13 	0 0 	0.06 0.21 	0.52 0.00 	4000040(apa4,8608/8631) 4000016(apa4,2226/12210) 3999999(apa4,640/640) 	170 155 62 	-348 -521 -1619 
191916	4	2214	176.0	183	-1.33	83592	1	4000106 	4 	[-57,-4] 	[283,336] 	409 	0 	0.85 	0.12 	4000006(apa4,14118/17691) 4000017(apa4,193/2415) 4000155(apa4,73/1337) 	222 199 181 	+491 +184 -65 
245576	4	2479	156.4	187	-1.14	30492	3	4000151 4000115 4000082 	4 4 4 	[-13,53] [39,167] [-62,30] 	[221,287] [108,236] [245,337] 	1176 1141 542 	0 12 0 	0.01 0.06 0.82 	0.79 0.29 0.62 	4000015(apa4,9799/9906) 4000156(apa4,252/572) 4000069(apa4,75/1940) 	173 154 119 	-148 -319 -799 
317673	7	2047	188.4	214	-1.16	36331	1	4000101 	4 	[-52,70] 	[208,331] 	3527 	0 	0.04 	1.51 	4000206(apa4,4043/4050) 4000044(apa4,151/2200) 4000068(apa4,89/2345) 	191 88 130 	-234 -1463 -991 
326459	4	2392	162.8	210	-1.15	477	0									4000018(apa4,458/458) 4000101(apa4,330/2037) 4000027(apa4,130/2565) 	198 90 237 	-121 -1438 +381 
351293	6	2082	185.8	193	-0.68	3686	0									4000074(apa4,15666/15723) 4000095(apa4,3841/3912) 4000172(apa4,486/1842) 	216 207 152 	+399 +258 -549 
408552	6	2227	175.0	-1			0									4000074(apa4,9533/10565) 4000174(apa4,2935/2955) 4000193(apa4,532/543) 	259 235 81 	+542 +223 -1569 
