event	evtno	n_eval	n_tgm	n_stm	n_fc	n_cand	n_f7	n_f8	n_f7_filled	n_michel_E	michel_E_list
039252_0	298567	59	20	8	18	30	1	0	15	14	0.0,0.0,370.6,0.0,0.0,121.3,0.0,0.0,387.2,0.0,24.5,202.7,2.3,193.6
039252_11	298721	70	19	6	20	34	4	0	18	20	573.8,29.1,549.6,0.0,0.0,0.0,12.3,0.0,533.4,296.5,0.0,183.5,0.0,0.0,0.0,247.2,0.0,0.0,191.3,0.0
039252_16	298791	93	27	8	24	40	2	0	17	23	12.3,24.5,0.0,414.0,4.5,747.9,0.0,349.1,793.4,1.6,0.7,1.5,0.0,403.7,888.7,154.8,41.6,0.0,5.0,0.0,2.9,0.0,1.1
039252_3	298609	73	16	7	22	31	0	0	13	18	13.2,43.8,145.1,150.7,1019.7,0.0,5.1,53.3,460.1,66.9,0.0,170.5,0.9,0.6,289.3,0.5,0.0,5.2
039252_4	298623	90	27	5	35	33	4	0	19	23	506.3,0.0,0.0,14.4,116.7,1.9,0.0,103.7,17.9,73.5,56.2,337.8,0.0,0.0,0.0,203.4,62.4,0.0,415.2,0.0,0.0,0.0,0.0
039252_9	298693	76	18	12	24	32	3	0	19	18	979.3,652.1,0.0,0.0,0.8,201.9,0.0,450.1,0.0,0.5,2.9,0.0,219.1,196.1,0.0,106.4,0.0,12.1
039253_13	49946	74	16	7	29	28	0	0	15	20	1463.8,1305.5,160.7,0.0,356.5,350.2,0.5,7.1,376.4,0.0,0.9,0.0,356.4,0.0,0.0,195.2,0.0,1.8,0.0,0.0
039253_17	50026	101	19	5	44	41	1	0	16	24	258.2,225.2,200.1,0.0,123.7,202.1,417.8,0.0,0.0,133.2,682.2,238.2,233.4,295.1,255.3,0.0,0.0,0.0,0.0,0.9,0.0,0.0,108.9,15.0
039253_1	49706	76	18	6	25	31	4	0	16	19	441.3,131.5,0.0,205.8,570.8,0.9,0.0,107.1,0.7,62.2,48.4,216.6,68.0,325.3,0.0,263.4,0.0,0.0,3.5
039349_10	19609	47	11	7	18	19	1	0	9	7	0.0,156.7,196.0,0.5,0.0,30.6,0.0
039349_15	19709	52	13	7	15	25	1	0	13	11	13.7,0.0,0.0,2.2,0.0,0.0,176.5,3.4,0.0,0.0,0.0
039349_17	19749	44	5	4	24	15	1	0	6	7	330.3,0.0,0.0,27.0,0.0,0.0,0.0
039349_22	19849	56	5	10	21	25	1	0	11	14	1.8,615.6,0.0,548.7,68.0,0.0,0.0,293.9,0.0,4.3,0.0,15.5,0.0,0.0
039349_26	19929	44	6	10	12	23	3	0	12	15	1067.1,0.0,154.9,283.2,0.0,0.0,289.2,125.0,133.9,0.0,14.3,49.5,0.0,0.0,173.2
039349_34	22897	41	11	5	16	17	2	0	10	11	0.0,148.1,0.0,0.1,0.0,0.0,0.0,0.0,65.5,11.2,36.8
039349_48	23177	53	14	5	13	30	1	0	11	21	0.0,0.0,0.1,614.5,0.0,498.0,0.0,204.6,459.3,479.6,0.0,42.4,1.7,0.0,45.2,153.1,136.3,0.0,199.2,0.0,0.0
039349_51	23237	47	17	2	15	22	1	0	8	9	0.8,159.1,130.8,0.0,7.0,0.0,9.9,24.6,0.0
039349_59	55826	44	8	6	18	19	1	0	9	13	898.6,0.0,0.0,0.0,401.0,0.0,8.9,4.0,109.8,0.0,0.0,0.0,0.0
039349_62	55886	55	16	9	18	22	0	0	11	15	17.4,0.0,808.9,310.2,371.6,0.4,0.0,0.0,73.2,363.1,209.2,82.6,5.8,0.0,21.5
039349_76	56166	55	9	3	21	21	2	0	11	10	58.1,237.0,294.4,0.0,253.0,267.1,7.8,17.6,2.1,2.3
