# PDVD Michel candidates (doc pdvd/25 M5): STM-tagged bundles whose cosmic-tagger flags 6-8 fired; michel_E = kine_best (MeV) of the highest-energy shower at the main vertex
event	evtno	nu_index	main_cluster	stm	tgm	fc	fired	f7	f8	f7_filled	f8_filled	isFC	michel_E	michel_id	michel_len	michel_pdg	n_showers	n_at_main	mvx	mvy	mvz	kine_Enu
039252_0	298567	10	32	1	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	32006	35.12	11	4	2	-254.89	-1.60	168.37	418.11
039252_10	298707	4	99	1	0	0	0	0.00	0.00	0.00	0.00	0.00	576.61	99023	261.36	11	2	2	29.56	-69.37	57.96	1233.63
039252_10	298707	8	80	1	0	0	0	0.00	0.00	0.00	1.00	0.00	34.42	80023	10.75	11	1	1	38.45	-233.21	159.68	1330.11
039252_10	298707	15	46	1	0	0	0	0.00	0.00	0.00	0.00	0.00	229.13	46015	89.53	13	2	1	-267.92	335.73	192.96	995.07
039252_11	298721	14	28	1	0	0	0	0.00	0.00	1.00	0.00	0.00	296.47	28004	121.20	13	1	1	-198.09	-259.41	93.94	1094.61
039252_11	298721	32	79	1	0	0	0	0.00	0.00	0.00	0.00	0.00	191.31	79032	77.89	11	1	1	337.51	-32.78	213.77	191.31
039252_12	298735	21	92	1	0	0	0	0.00	0.00	1.00	0.00	0.00	21.37	92006	7.66	11	2	1	285.52	19.84	4.27	601.98
039252_13	298749	6	25	1	0	0	0	0.00	0.00	0.00	0.00	0.00	92.13	25011	30.66	11	9	6	-332.29	78.58	161.06	285.71
039252_13	298749	13	88	1	0	0	0	0.00	0.00	0.00	0.00	1.00	355.23	253084	341.75	13	6	2	-176.20	96.35	118.22	1284.86
039252_13	298749	16	81	1	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	211013	2.86	11	2	1	324.75	188.60	216.31	908.32
039252_13	298749	17	29	1	0	0	0	0.00	0.00	0.00	1.00	0.00	192.33	29005	72.25	13	3	1	-168.95	204.39	2.31	1046.86
039252_2	298595	20	57	1	0	0	1	1.00	0.00	1.00	0.00	0.00	32.86	57004	10.42	11	2	2	-335.60	50.07	194.04	556.67
039252_2	298595	36	58	1	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	148010	0.43	11	1	1	-278.56	49.73	283.77	304.50
039252_3	298609	6	35	1	0	0	0	0.00	0.00	0.00	0.00	0.00	1019.70	35018	472.53	13	1	1	-37.95	-254.63	6.46	1125.35
