# PDVD drift field / diffusion vs assumed LAr temperature; generated by pdvd/stm/pdvd_transport.py (BNL lar.bnl.gov/properties parameterisation)
T_K	v_mm_us	E_kVcm	E_larsoft	mu_cm2Vs	epsL_eV	DL_cm2s	DT_cm2s	DL_oldfit	DT_oldfit
87.30	1.48073	0.4339	0.4289	341.3	0.01211	4.133	7.805	6.562	12.391
87.30	1.56800	0.4846	0.4815	323.6	0.01276	4.129	8.145	6.605	13.028
87.50	1.48073	0.4367	0.4321	339.1	0.01217	4.128	7.815	6.557	12.414
87.50	1.56800	0.4879	0.4854	321.4	0.01283	4.124	8.157	6.600	13.053
87.68	1.48073	0.4393	0.4350	337.1	0.01223	4.123	7.824	6.553	12.435
87.68	1.56800	0.4909	0.4889	319.4	0.01290	4.120	8.169	6.595	13.075
88.00	1.48073	0.4439	0.4403	333.6	0.01234	4.115	7.841	6.545	12.472
88.00	1.56800	0.4963	0.4953	316.0	0.01302	4.113	8.189	6.587	13.114
89.00	1.48073	0.4585	0.4579	322.9	0.01267	4.090	7.894	6.521	12.586
89.00	1.56800	0.5134	0.5167	305.4	0.01340	4.092	8.256	6.561	13.236
