# per-point sample; dqdx in e/cm, rr/x/y/z/dx in cm
# drift_cm = 339.91 - |x| (shield plane); drift_us = drift_cm / 0.148073
particle	event	block	rr	dqdx	dx	x	y	z	drift_cm	drift_us
muon	039252_0	750	195.047	22741.7	0.6192	272.65	-297.93	63.15	67.26	454.2
muon	039252_0	750	194.409	10180.3	0.6384	272.01	-297.94	63.15	67.90	458.5
muon	039252_0	750	193.771	687.4	0.6384	271.37	-297.95	63.15	68.54	462.9
muon	039252_0	750	191.855	4241.3	0.6384	269.46	-297.98	63.15	70.45	475.8
muon	039252_0	750	191.217	18245.2	0.5667	268.82	-297.99	63.15	71.09	480.1
muon	039252_0	750	190.722	49536.2	0.5480	268.33	-297.94	63.15	71.58	483.4
muon	039252_0	750	190.121	28481.7	0.6010	268.06	-298.47	63.07	71.85	485.2
muon	039252_0	750	189.520	3214.8	0.6010	267.79	-299.00	62.99	72.12	487.1
muon	039252_0	750	159.468	84.0	0.6010	254.31	-325.52	58.76	85.60	578.1
muon	039252_0	750	157.064	159.0	0.6010	253.23	-327.65	58.42	86.68	585.4
muon	039252_0	750	156.463	1596.0	0.6010	252.96	-328.18	58.33	86.95	587.2
muon	039252_0	750	155.862	6824.0	0.6010	252.69	-328.71	58.25	87.22	589.0
muon	039252_0	750	155.261	20916.6	0.6010	252.42	-329.24	58.16	87.49	590.8
muon	039252_0	750	154.660	30634.5	0.5889	252.15	-329.77	58.08	87.76	592.7
muon	039252_0	750	154.083	17545.0	0.5767	252.08	-329.53	57.56	87.83	593.2
muon	039252_0	750	153.506	17997.0	0.5767	252.00	-329.29	57.04	87.91	593.7
muon	039252_0	750	152.930	19001.5	0.6086	251.92	-329.05	56.52	87.99	594.2
muon	039252_0	750	152.289	19527.5	0.6404	251.83	-329.64	56.74	88.08	594.8
muon	039252_0	750	151.649	19125.6	0.5901	251.75	-330.24	56.96	88.16	595.4
muon	039252_0	750	151.109	17191.5	0.5714	251.99	-330.36	57.42	87.92	593.7
muon	039252_0	750	150.506	12737.5	0.5669	251.94	-330.43	56.83	87.97	594.1
muon	039252_0	750	149.975	7692.6	0.5621	251.80	-330.28	56.34	88.11	595.0
muon	039252_0	750	149.382	3137.4	0.5934	251.67	-330.19	55.77	88.24	595.9
muon	039252_0	750	137.514	2033.5	0.5934	249.01	-328.43	44.33	90.90	613.9
muon	039252_0	750	136.920	4687.8	0.5934	248.88	-328.34	43.76	91.03	614.8
muon	039252_0	750	136.327	7445.1	0.6429	248.75	-328.25	43.19	91.16	615.7
muon	039252_0	750	135.634	10284.3	0.7161	248.89	-328.31	42.52	91.02	614.7
muon	039252_0	750	134.894	13184.2	0.7398	248.86	-328.65	41.86	91.05	614.9
muon	039252_0	750	134.155	16095.8	0.6401	248.83	-328.98	41.20	91.08	615.1
muon	039252_0	750	133.614	18948.4	0.5393	248.47	-329.18	40.84	91.44	617.5
muon	039252_0	750	133.076	21643.8	0.5382	248.41	-329.27	40.31	91.50	617.9
muon	039252_0	750	132.538	24037.7	0.6110	248.36	-329.37	39.79	91.55	618.3
muon	039252_0	750	131.854	26052.0	0.6838	248.05	-329.82	39.37	91.86	620.4
muon	039252_0	750	131.170	27656.9	0.5950	247.75	-330.27	38.96	92.16	622.4
muon	039252_0	750	130.664	28859.8	0.5063	247.66	-330.31	38.46	92.25	623.0
muon	039252_0	750	130.158	29522.4	0.5063	247.58	-330.35	37.97	92.33	623.6
muon	039252_0	750	129.651	29501.0	0.7032	247.49	-330.39	37.47	92.42	624.1
muon	039252_0	750	128.751	28799.6	0.8240	247.09	-330.74	36.74	92.82	626.8
muon	039252_0	750	128.003	27402.4	0.6533	246.77	-331.06	36.15	93.14	629.0
muon	039252_0	750	127.445	25330.3	0.5588	246.90	-331.33	35.68	93.01	628.2
muon	039252_0	750	126.886	22632.1	0.6707	247.02	-331.61	35.21	92.89	627.3
muon	039252_0	750	126.103	19347.8	0.6332	246.62	-331.89	34.60	93.29	630.0
muon	039252_0	750	125.619	15431.1	0.4838	246.27	-331.98	34.28	93.64	632.4
muon	039252_0	750	125.136	10973.6	0.5495	245.91	-332.07	33.96	94.00	634.8
muon	039252_0	750	124.521	6259.3	0.6151	245.62	-332.13	33.43	94.29	636.8
muon	039252_0	750	123.905	1925.4	0.5987	245.32	-332.20	32.89	94.59	638.8
muon	039252_0	750	121.577	1106.5	0.5822	245.15	-333.31	30.85	94.76	640.0
muon	039252_0	750	120.994	7843.3	0.5822	245.10	-333.58	30.34	94.81	640.3
muon	039252_0	750	120.412	18152.7	0.5872	245.06	-333.86	29.83	94.85	640.6
muon	039252_0	750	119.820	46941.2	0.5480	245.38	-334.23	29.50	94.53	638.4
muon	039252_0	750	119.316	67942.2	0.5037	244.94	-334.03	29.65	94.97	641.4
muon	039252_0	750	118.812	58393.8	0.5037	244.50	-333.83	29.79	95.41	644.3
muon	039252_0	750	118.309	41988.7	0.5133	244.06	-333.63	29.93	95.85	647.3
muon	039252_0	750	117.786	25719.0	0.5641	243.95	-333.34	29.52	95.96	648.1
muon	039252_0	750	117.180	32182.1	0.5809	243.48	-332.96	29.57	96.43	651.3
muon	039252_0	750	116.624	41525.2	0.5955	243.17	-332.80	30.01	96.74	653.3
muon	039252_0	750	115.989	50798.7	0.5969	242.54	-332.70	30.01	97.37	657.6
muon	039252_0	750	115.430	51736.8	0.6352	242.12	-332.33	30.04	97.79	660.4
muon	039252_0	750	114.719	53539.9	0.6493	241.53	-331.98	30.23	98.38	664.4
muon	039252_0	750	114.132	59336.1	0.6086	241.00	-331.87	30.45	98.91	668.0
muon	039252_0	750	113.502	54495.7	0.6058	240.62	-331.37	30.51	99.29	670.5
muon	039252_0	750	112.920	64219.2	0.5635	240.08	-331.16	30.51	99.83	674.2
muon	039252_0	750	112.375	55657.8	0.5453	239.64	-330.84	30.56	100.27	677.1
muon	039252_0	750	111.829	49120.8	0.6321	239.21	-330.51	30.60	100.70	680.1
muon	039252_0	750	111.110	56370.0	0.7157	238.63	-330.15	30.83	101.28	684.0
muon	039252_0	750	110.398	51172.5	0.6630	238.06	-329.76	31.02	101.85	687.8
muon	039252_0	750	109.785	43440.0	0.6133	237.58	-329.38	31.03	102.33	691.1
muon	039252_0	750	109.171	41394.5	0.7569	237.10	-329.00	31.04	102.81	694.3
muon	039252_0	750	108.271	58111.9	0.7792	236.32	-328.66	31.33	103.59	699.6
muon	039252_0	750	107.613	45721.5	0.5803	235.76	-328.36	31.50	104.15	703.4
muon	039252_0	750	107.110	47728.5	0.6335	235.29	-328.20	31.53	104.62	706.6
muon	039252_0	750	106.346	57105.2	0.8335	234.89	-327.55	31.54	105.02	709.2
