file,run,trig_num,seq,tc_type,trig_ts,tc_time_candidate,win_begin,win_end,offset_us,frame_offset_us,window_us
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298567,8192,kCTBOffSpillSnapshot,109783296253309499,109783296253309499,109783296253153249,109783296253465749,2500.000,2519.984,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298581,64,kCTBBeamChkvHxLx,109783296765196061,109783296765196061,109783296765039811,109783296765352311,2500.000,2528.976,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298595,64,kCTBBeamChkvHxLx,109783296814944023,109783296814944023,109783296814787773,109783296815100273,2500.000,2528.368,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298609,64,kCTBBeamChkvHxLx,109783296833728321,109783296833728321,109783296833572071,109783296833884571,2500.000,2501.136,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298623,16,kCTBBeamChkvHLx,109783296870547387,109783296870547387,109783296870391137,109783296870703637,2500.000,2518.192,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298637,64,kCTBBeamChkvHxLx,109783296897563794,109783296897563794,109783296897407544,109783296897720044,2500.000,2524.704,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298651,64,kCTBBeamChkvHxLx,109783296926610728,109783296926610728,109783296926454478,109783296926766978,2500.000,2507.648,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298665,64,kCTBBeamChkvHxLx,109783296959950733,109783296959950733,109783296959794483,109783296960106983,2500.000,2507.728,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298679,16,kCTBBeamChkvHLx,109783296994318085,109783296994318085,109783296994161835,109783296994474335,2500.000,2529.360,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298693,64,kCTBBeamChkvHxLx,109783297033402854,109783297033402854,109783297033246604,109783297033559104,2500.000,2509.664,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298707,64,kCTBBeamChkvHxLx,109783297656746635,109783297656746635,109783297656590385,109783297656902885,2500.000,2506.160,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298721,64,kCTBBeamChkvHxLx,109783297687955691,109783297687955691,109783297687799441,109783297688111941,2500.000,2523.056,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298735,16,kCTBBeamChkvHLx,109783297716683243,109783297716683243,109783297716526993,109783297716839493,2500.000,2515.888,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298749,64,kCTBBeamChkvHxLx,109783297737750008,109783297737750008,109783297737593758,109783297737906258,2500.000,2528.128,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298763,16,kCTBBeamChkvHLx,109783297750833810,109783297750833810,109783297750677560,109783297750990060,2500.000,2524.960,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298777,64,kCTBBeamChkvHxLx,109783297787535659,109783297787535659,109783297787379409,109783297787691909,2500.000,2522.544,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298791,64,kCTBBeamChkvHxLx,109783297817084861,109783297817084861,109783297816928611,109783297817241111,2500.000,2509.776,5000.000
np02vd_raw_run039252_1176_df-s03-d3_dw_0_20250830T054542.hdf5,39252,298805,64,kCTBBeamChkvHxLx,109783297839993086,109783297839993086,109783297839836836,109783297840149336,2500.000,2513.376,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49686,16,kCTBBeamChkvHLx,109783875585432665,109783875585432665,109783875585276415,109783875585588915,2500.000,2506.640,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49706,64,kCTBBeamChkvHxLx,109783875615842895,109783875615842895,109783875615686645,109783875615999145,2500.000,2510.320,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49726,64,kCTBBeamChkvHxLx,109783875665861900,109783875665861900,109783875665705650,109783875666018150,2500.000,2526.400,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49746,8192,kCTBOffSpillSnapshot,109783875859876256,109783875859876256,109783875859720006,109783875860032506,2500.000,2500.096,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49766,64,kCTBBeamChkvHxLx,109783876375734158,109783876375734158,109783876375577908,109783876375890408,2500.000,2530.528,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49786,64,kCTBBeamChkvHxLx,109783876421480204,109783876421480204,109783876421323954,109783876421636454,2500.000,2531.264,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49806,16,kCTBBeamChkvHLx,109783876454137969,109783876454137969,109783876453981719,109783876454294219,2500.000,2527.504,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49826,16,kCTBBeamChkvHLx,109783876503088293,109783876503088293,109783876502932043,109783876503244543,2500.000,2500.688,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49846,64,kCTBBeamChkvHxLx,109783876555926106,109783876555926106,109783876555769856,109783876556082356,2500.000,2529.696,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49866,16,kCTBBeamChkvHLx,109783876597808318,109783876597808318,109783876597652068,109783876597964568,2500.000,2501.088,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49886,8192,kCTBOffSpillSnapshot,109783877172376256,109783877172376256,109783877172220006,109783877172532506,2500.000,2500.096,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49906,64,kCTBBeamChkvHxLx,109783877286762486,109783877286762486,109783877286606236,109783877286918736,2500.000,2503.776,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49926,64,kCTBBeamChkvHxLx,109783877338548632,109783877338548632,109783877338392382,109783877338704882,2500.000,2506.112,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49946,16,kCTBBeamChkvHLx,109783877390012260,109783877390012260,109783877389856010,109783877390168510,2500.000,2500.160,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49966,64,kCTBBeamChkvHxLx,109783877438092647,109783877438092647,109783877437936397,109783877438248897,2500.000,2506.352,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,49986,64,kCTBBeamChkvHxLx,109783877492633531,109783877492633531,109783877492477281,109783877492789781,2500.000,2520.496,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,50006,8192,kCTBOffSpillSnapshot,109783877609876256,109783877609876256,109783877609720006,109783877610032506,2500.000,2500.096,5000.000
np02vd_raw_run039253_0138_df-s03-d0_dw_0_20250830T082012.hdf5,39253,50026,64,kCTBBeamChkvHxLx,109783878179575608,109783878179575608,109783878179419358,109783878179731858,2500.000,2521.728,5000.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19409,0,kCTBBeamChkvHL,109838923976132242,109838923976132242,109838923976107242,109838923976307242,400.000,419.872,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19429,64,kCTBBeamChkvHxLx,109838923995388816,109838923995388816,109838923995363816,109838923995563816,400.000,429.056,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19449,0,kCTBBeamChkvHL,109838924005885048,109838924005885048,109838924005860048,109838924006060048,400.000,400.768,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19469,0,kCTBBeamChkvHL,109838925325629674,109838925325629674,109838925325604674,109838925325804674,400.000,410.784,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19489,0,kCTBBeamChkvHL,109838925375477419,109838925375477419,109838925375452419,109838925375652419,400.000,406.704,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19509,0,kCTBBeamChkvHL,109838925408308569,109838925408308569,109838925408283569,109838925408483569,400.000,425.104,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19529,0,kCTBBeamChkvHL,109838925445059962,109838925445059962,109838925445034962,109838925445234962,400.000,415.392,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19549,0,kCTBBeamChkvHL,109838925472844552,109838925472844552,109838925472819552,109838925473019552,400.000,424.832,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19569,0,kCTBBeamChkvHL,109838925495674883,109838925495674883,109838925495649883,109838925495849883,400.000,430.128,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19589,0,kCTBBeamChkvHL,109838925529650103,109838925529650103,109838925529625103,109838925529825103,400.000,417.648,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19609,0,kCTBBeamChkvHL,109838925551429077,109838925551429077,109838925551404077,109838925551604077,400.000,401.232,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19629,0,kCTBBeamChkvHL,109838925576733299,109838925576733299,109838925576708299,109838925576908299,400.000,404.784,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19649,0,kCTBBeamChkvHL,109838926890026548,109838926890026548,109838926890001548,109838926890201548,400.000,424.768,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19669,0,kCTBBeamChkvHL,109838926923245655,109838926923245655,109838926923220655,109838926923420655,400.000,410.480,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19689,0,kCTBBeamChkvHL,109838926955044518,109838926955044518,109838926955019518,109838926955219518,400.000,424.288,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19709,64,kCTBBeamChkvHxLx,109838926986055370,109838926986055370,109838926986030370,109838926986230370,400.000,405.920,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19729,0,kCTBBeamChkvHL,109838927026732053,109838927026732053,109838927026707053,109838927026907053,400.000,416.848,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19749,0,kCTBBeamChkvHL,109838927050876134,109838927050876134,109838927050851134,109838927051051134,400.000,418.144,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19769,0,kCTBBeamChkvHL,109838927092699292,109838927092699292,109838927092674292,109838927092874292,400.000,404.672,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19789,0,kCTBBeamChkvHL,109838927128736781,109838927128736781,109838927128711781,109838927128911781,400.000,428.496,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19809,0,kCTBBeamChkvHL,109838927153877537,109838927153877537,109838927153852537,109838927154052537,400.000,408.592,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19829,0,kCTBBeamChkvHL,109838928483654758,109838928483654758,109838928483629758,109838928483829758,400.000,428.128,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19849,0,kCTBBeamChkvHL,109838928519159821,109838928519159821,109838928519134821,109838928519334821,400.000,413.136,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19869,0,kCTBBeamChkvHL,109838928555023984,109838928555023984,109838928554998984,109838928555198984,400.000,415.744,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19889,0,kCTBBeamChkvHL,109838928579546995,109838928579546995,109838928579521995,109838928579721995,400.000,431.920,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19909,0,kCTBBeamChkvHL,109838928618125576,109838928618125576,109838928618100576,109838928618300576,400.000,409.216,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19929,0,kCTBBeamChkvHL,109838928638189049,109838928638189049,109838928638164049,109838928638364049,400.000,400.784,3200.000
np02vd_raw_run039349_0035_df-s03-d3_dw_0_20250909T125946.hdf5,39349,19949,0,kCTBBeamChkvHL,109838928655238305,109838928655238305,109838928655213305,109838928655413305,400.000,420.880,3200.000
np02vd_raw_run039349_0041_df-s05-d3_dw_0_20250909T130716.hdf5,39349,22777,0,kCTBBeamChkvHL,109838952160933729,109838952160933729,109838952160908729,109838952161108729,400.000,411.664,3200.000
np02vd_raw_run039349_0041_df-s05-d3_dw_0_20250909T130716.hdf5,39349,22797,0,kCTBBeamChkvHL,109838952188224709,109838952188224709,109838952188199709,109838952188399709,400.000,427.344,3200.000
np02vd_raw_run039349_0041_df-s05-d3_dw_0_20250909T130716.hdf5,39349,22817,0,kCTBBeamChkvHL,109838952218609922,109838952218609922,109838952218584922,109838952218784922,400.000,414.752,3200.000
