idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	12	2027304	0	9.756986167281866
1	6505	130	13	1909076	0	10.09650086145848
2	6512	130	14	1828372	0	11.418334783054888
3	6520	130	20	1916188	0	17.68280974123627
4	6528	130	13	2036448	0	10.72626023273915
5	6529	130	13	1959980	0	10.411302765831351
6	6532	130	24	2267072	0	21.37414757721126
7	6536	130	13	1976968	0	10.393541088327765
8	6545	130	17	1986780	0	14.841609339229763
9	6550	130	11	1782560	0	9.054930809885263
10	6570	131	26	2208400	0	23.393305668607354
11	6588	131	11	1830348	0	8.59225614182651
12	6604	132	33	2408404	0	30.85442270245403
13	6606	132	14	2088752	0	12.157359547913074
14	6612	132	16	2174160	0	14.159845344722271
15	6642	132	22	2211608	0	19.999303797259927
16	6650	132	14	2156824	0	11.919059890322387
17	6711	134	12	1873264	0	9.369984906166792
18	6748	134	15	1903036	0	12.720596661791205
19	6775	135	13	1881696	0	10.39482512511313
20	6786	135	23	2147396	0	20.82036071550101
21	6804	136	14	1961224	0	11.773176808841527
22	6805	136	13	2097804	0	11.086055781692266
23	6806	136	13	2130208	0	11.118418875150383
24	6821	136	14	1935800	0	12.107025139033794
25	6822	136	19	2289460	0	16.861500018276274
26	6837	136	16	2233940	0	13.752463029697537
27	6844	136	15	2143032	0	13.280706513673067
28	6852	137	17	1980364	0	14.358126361854374
29	6867	137	14	1911184	0	12.028892943635583
30	6874	137	29	2320024	0	26.708670135587454
31	6878	137	19	2017660	0	16.807346541434526
32	6887	137	13	1897332	0	10.795635087415576
33	6888	137	28	2236168	0	26.01162003632635
34	6898	137	13	1887308	0	10.812770274467766
