idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1660816	0	nan
1	6505	130	12	1559684	0	nan
2	6512	130	13	1498716	0	nan
3	6520	130	16	1534792	0	nan
4	6528	130	12	1652940	0	nan
5	6529	130	12	1583552	0	nan
6	6532	130	18	1988356	0	nan
7	6536	130	12	1608224	0	nan
8	6545	130	15	1690812	0	nan
9	6550	130	10	1452820	0	nan
10	6570	131	21	1904332	0	nan
11	6588	131	10	1473340	0	nan
12	6604	132	26	2151484	0	nan
13	6606	132	13	1750352	0	nan
14	6612	132	14	1869148	0	nan
15	6642	132	17	1955328	0	nan
16	6650	132	13	1783724	0	nan
17	6711	134	10	1501508	0	nan
18	6748	134	13	1548492	0	nan
19	6775	135	11	1524996	0	nan
20	6786	135	18	1877672	0	nan
21	6804	136	13	1590732	0	nan
22	6805	136	12	1721196	0	nan
23	6806	136	12	1817764	0	nan
24	6821	136	13	1555872	0	nan
25	6822	136	16	1972300	0	nan
26	6837	136	14	1862292	0	nan
27	6844	136	14	1770500	0	nan
28	6852	137	13	1603364	0	nan
29	6867	137	12	1589360	0	nan
30	6874	137	22	2050376	0	nan
31	6878	137	16	1731292	0	nan
32	6887	137	11	1525748	0	nan
33	6888	137	21	1976244	0	nan
34	6898	137	11	1525424	0	nan
