idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	12	1893216	0	nan
1	6505	130	13	1813564	0	nan
2	6512	130	15	1740180	0	nan
3	6520	130	18	1805432	0	nan
4	6528	130	13	1884956	0	nan
5	6529	130	13	1815280	0	nan
6	6532	130	19	2123176	0	nan
7	6536	130	12	1840160	0	nan
8	6545	130	16	1892500	0	nan
9	6550	130	12	1697224	0	nan
10	6570	131	24	2093220	0	nan
11	6588	131	12	1722068	0	nan
12	6604	132	29	2207696	0	nan
13	6606	132	14	1976776	0	nan
14	6612	132	16	2068712	0	nan
15	6642	132	19	2095192	0	nan
16	6650	132	15	2009508	0	nan
17	6711	134	12	1781496	0	nan
18	6748	134	16	1782304	0	nan
19	6775	135	13	1771480	0	nan
20	6786	135	20	2004600	0	nan
21	6804	136	16	1830128	0	nan
22	6805	136	14	1947280	0	nan
23	6806	136	14	2012324	0	nan
24	6821	136	14	1798256	0	nan
25	6822	136	19	2159716	0	nan
26	6837	136	15	2058016	0	nan
27	6844	136	17	1997888	0	nan
28	6852	137	16	1858460	0	nan
29	6867	137	14	1799116	0	nan
30	6874	137	24	2170624	0	nan
31	6878	137	18	1943396	0	nan
32	6887	137	13	1793324	0	nan
33	6888	137	24	2061032	0	nan
34	6898	137	12	1791876	0	nan
