idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	12	1886304	0	nan
1	6505	130	13	1796960	0	nan
2	6512	130	14	1735056	0	nan
3	6520	130	17	1787068	0	nan
4	6528	130	12	1868552	0	nan
5	6529	130	12	1812692	0	nan
6	6532	130	19	2105160	0	nan
7	6536	130	12	1821264	0	nan
8	6545	130	15	1871284	0	nan
9	6550	130	11	1675232	0	nan
10	6570	131	22	2085640	0	nan
11	6588	131	10	1716708	0	nan
12	6604	132	27	2222324	0	nan
13	6606	132	13	1962384	0	nan
14	6612	132	14	2051892	0	nan
15	6642	132	18	2090324	0	nan
16	6650	132	13	2018216	0	nan
17	6711	134	11	1777576	0	nan
18	6748	134	14	1786320	0	nan
19	6775	135	11	1771140	0	nan
20	6786	135	18	2000992	0	nan
21	6804	136	13	1817996	0	nan
22	6805	136	13	1938280	0	nan
23	6806	136	13	2003108	0	nan
24	6821	136	13	1803748	0	nan
25	6822	136	17	2162292	0	nan
26	6837	136	14	2068304	0	nan
27	6844	136	14	1997780	0	nan
28	6852	137	15	1846852	0	nan
29	6867	137	13	1796764	0	nan
30	6874	137	23	2173048	0	nan
31	6878	137	17	1932504	0	nan
32	6887	137	12	1789744	0	nan
33	6888	137	22	2062472	0	nan
34	6898	137	12	1777560	0	nan
