idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1894008	0	nan
1	6505	130	12	1813424	0	nan
2	6512	130	14	1740276	0	nan
3	6520	130	17	1790732	0	nan
4	6528	130	12	1895660	0	nan
5	6529	130	12	1830372	0	nan
6	6532	130	18	2115736	0	nan
7	6536	130	12	1843376	0	nan
8	6545	130	15	1899796	0	nan
9	6550	130	11	1695356	0	nan
10	6570	131	23	2089368	0	nan
11	6588	131	11	1725700	0	nan
12	6604	132	28	2226348	0	nan
13	6606	132	14	1990720	0	nan
14	6612	132	15	2077140	0	nan
15	6642	132	18	2106112	0	nan
16	6650	132	14	2027368	0	nan
17	6711	134	11	1783708	0	nan
18	6748	134	14	1794356	0	nan
19	6775	135	12	1788804	0	nan
20	6786	135	18	2006576	0	nan
21	6804	136	13	1843516	0	nan
22	6805	136	13	1949856	0	nan
23	6806	136	13	2012980	0	nan
24	6821	136	13	1801856	0	nan
25	6822	136	17	2161680	0	nan
26	6837	136	14	2074732	0	nan
27	6844	136	14	2008876	0	nan
28	6852	137	14	1860072	0	nan
29	6867	137	13	1789972	0	nan
30	6874	137	22	2178156	0	nan
31	6878	137	18	1950420	0	nan
32	6887	137	12	1790460	0	nan
33	6888	137	23	2065660	0	nan
34	6898	137	13	1772224	0	nan
