idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1961980	0	nan
1	6505	130	11	1870920	0	nan
2	6512	130	13	1785604	0	nan
3	6520	130	15	1847092	0	nan
4	6528	130	11	1964984	0	nan
5	6529	130	11	1882376	0	nan
6	6532	130	17	2207380	0	nan
7	6536	130	11	1899628	0	nan
8	6545	130	14	1957560	0	nan
9	6550	130	10	1734480	0	nan
10	6570	131	20	2170548	0	nan
11	6588	131	9	1775124	0	nan
12	6604	132	25	2303368	0	nan
13	6606	132	12	2058400	0	nan
14	6612	132	14	2159304	0	nan
15	6642	132	17	2187336	0	nan
16	6650	132	13	2098148	0	nan
17	6711	134	10	1839668	0	nan
18	6748	134	13	1845388	0	nan
19	6775	135	11	1829660	0	nan
20	6786	135	17	2072516	0	nan
21	6804	136	12	1892504	0	nan
22	6805	136	12	2013128	0	nan
23	6806	136	12	2085944	0	nan
24	6821	136	12	1855940	0	nan
25	6822	136	16	2249724	0	nan
26	6837	136	13	2150432	0	nan
27	6844	136	13	2086372	0	nan
28	6852	137	13	1918756	0	nan
29	6867	137	12	1852908	0	nan
30	6874	137	21	2251896	0	nan
31	6878	137	16	2020308	0	nan
32	6887	137	11	1849640	0	nan
33	6888	137	20	2124332	0	nan
34	6898	137	11	1827256	0	nan
