idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1962880	0	nan
1	6505	130	11	1864792	0	nan
2	6512	130	13	1783032	0	nan
3	6520	130	16	1851832	0	nan
4	6528	130	11	1964208	0	nan
5	6529	130	11	1884136	0	nan
6	6532	130	18	2204864	0	nan
7	6536	130	11	1899216	0	nan
8	6545	130	14	1958388	0	nan
9	6550	130	10	1742392	0	nan
10	6570	131	21	2164332	0	nan
11	6588	131	9	1774092	0	nan
12	6604	132	25	2307628	0	nan
13	6606	132	12	2050772	0	nan
14	6612	132	14	2158932	0	nan
15	6642	132	17	2191076	0	nan
16	6650	132	13	2101332	0	nan
17	6711	134	10	1836280	0	nan
18	6748	134	13	1848088	0	nan
19	6775	135	11	1826512	0	nan
20	6786	135	17	2077684	0	nan
21	6804	136	12	1892456	0	nan
22	6805	136	12	2020036	0	nan
23	6806	136	12	2090028	0	nan
24	6821	136	12	1856088	0	nan
25	6822	136	16	2247544	0	nan
26	6837	136	13	2150116	0	nan
27	6844	136	13	2088832	0	nan
28	6852	137	13	1923156	0	nan
29	6867	137	12	1855428	0	nan
30	6874	137	21	2239264	0	nan
31	6878	137	16	2015900	0	nan
32	6887	137	11	1843768	0	nan
33	6888	137	21	2123448	0	nan
34	6898	137	11	1818160	0	nan
