idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1905776	0	nan
1	6505	130	12	1818424	0	nan
2	6512	130	13	1752084	0	nan
3	6520	130	16	1807116	0	nan
4	6528	130	13	1903472	0	nan
5	6529	130	13	1834108	0	nan
6	6532	130	20	2125604	0	nan
7	6536	130	12	1844276	0	nan
8	6545	130	15	1907672	0	nan
9	6550	130	10	1702620	0	nan
10	6570	131	21	2094756	0	nan
11	6588	131	10	1727844	0	nan
12	6604	132	27	2227536	0	nan
13	6606	132	13	1981168	0	nan
14	6612	132	15	2074656	0	nan
15	6642	132	18	2106180	0	nan
16	6650	132	13	2025160	0	nan
17	6711	134	11	1782536	0	nan
18	6748	134	13	1792996	0	nan
19	6775	135	11	1783312	0	nan
20	6786	135	17	2015276	0	nan
21	6804	136	13	1847228	0	nan
22	6805	136	12	1956588	0	nan
23	6806	136	12	2020872	0	nan
24	6821	136	13	1806096	0	nan
25	6822	136	16	2167656	0	nan
26	6837	136	14	2079728	0	nan
27	6844	136	14	2017432	0	nan
28	6852	137	14	1859752	0	nan
29	6867	137	13	1792896	0	nan
30	6874	137	22	2179408	0	nan
31	6878	137	17	1955632	0	nan
32	6887	137	11	1796528	0	nan
33	6888	137	22	2066848	0	nan
34	6898	137	12	1776840	0	nan
